"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","log_var_ctrl","log_var_trt","log_nb1_ctrl","log_nb1_trt","log_nb2_ctrl","log_nb2_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"302042",0.00378618118354979,0.001332363491356,15353,27463,23.6,17.4,221.3,139.3,23.6,17.4,197.7,121.9,8.3771186440678,7.00574712643678,5.40402782097015,4.94378298710842,3.20274644293832,2.91235066461494,5.29179614955777,4.81137101657199,2.12550401814501,1.94673083026674,"Prkab2"
"302049",0.00626368368690517,0.00470995800245176,8652,13634,0.8,1.4,3.2,9.8,0.8,1.4,2.4,8.4,3,6,1.43508452528932,2.37954613413017,0.587786664902119,0.8754687373539,1.22377543162212,2.24070968927596,1.09861228866811,1.79175946922806,"LOC102550575"
"302067",0.0114891337611804,0.00786372670877052,1337,4958,12.2,8,115.2,88.5,12.2,8,103,80.5,8.44262295081967,10.0625,4.75531284441781,4.49423862528081,2.58021682959233,2.19722457733622,4.64439089914137,4.40060302024682,2.13329303649043,2.30881564274468,"Sec22b"
"302069",0.0115944168563118,0.00440833670529611,1256,14832,108,131.4,7530.5,6651.3,108,131.4,7422.5,6519.9,68.7268518518518,49.6187214611872,8.92684950414287,8.80271793851416,4.69134788222914,4.88582764350291,8.91240592306005,8.78276768220431,4.2301399795137,3.90436821132926,"Sec22b"
"302104",0.00289454488295881,0.00179702509869863,18541,26191,22.4,25.6,89.3,121.3,22.4,25.6,66.9,95.7,2.98660714285714,3.73828125,4.50313746042294,4.80647704269313,3.15273602236366,3.28091121578765,4.21803603456465,4.57161340245925,1.09413800827319,1.31862594697339,"Notch2"
"302116",0.000133561722747996,0.00470890037951321,30234,13663,23.6,30,37.3,208.5,23.6,30,13.7,178.5,0.580508474576271,5.95,3.6454498961866,5.34472373936219,3.20274644293832,3.43398720448515,2.68784749378469,5.19017520792833,-0.543850879197486,1.78339121955754,"Hmgcs2"
"302119",0.00626368368690517,0.00579630673847415,8653,9791,0.8,1.2,3.2,2.7,0.8,1.2,2.4,1.5,3,1.25,1.43508452528932,1.30833281965018,0.587786664902119,0.78845736036427,1.22377543162212,0.916290731874155,1.09861228866811,0.22314355131421,"LOC120100892"
"302125",0.00844993489515636,0.00064554921921376,4414,29397,49.2,41.6,1195.7,21.8,49.2,41.6,1146.5,0,23.3028455284553,-0.475961538461538,7.08732304757947,3.1267605359604,3.91601502669768,3.75185425327532,7.0453409419347,0,3.1485754787997,NA,"Zfp697"
"302130",0.000887519422391169,0,27196,31343,2.4,0,6.3,0,2.4,0,3.9,0,1.625,NA,1.98787434815435,0,1.22377543162212,0,1.58923520511658,0,0.485507815781701,NA,"-"
"302155",0.00702723627386932,0.00249916710312706,7001,23709,1.2,1.4,2.7,3.8,1.2,1.4,1.5,2.4,1.25,1.71428571428571,1.30833281965018,1.56861591791385,0.78845736036427,0.8754687373539,0.916290731874155,1.22377543162212,0.22314355131421,0.538996500732687,"Wars2"
"302167",0.00853743899142769,0.0058791151651763,4279,9515,7.2,4.8,34.7,12.7,7.2,4.8,27.5,7.9,3.81944444444444,1.64583333333333,3.57515068878559,2.61739583283408,2.10413415427021,1.75785791755237,3.3499040872746,2.18605127673809,1.34010497865052,0.498246841559131,"-"
"302174",0.0165738216759297,0.00149909274408095,62,27011,11.4,14.2,246.8,189.2,11.4,14.2,235.4,175,20.6491228070175,12.3239436619718,5.51262196919504,5.24807615011129,2.51769647261099,2.72129542785223,5.46552528553194,5.17048399503815,3.02767283942573,2.5115440093163,"Spag17"
