[2026-05-21 15:56:53] Method-aligned SEQUENCE simulation started.
[2026-05-21 15:56:53] Repository root: /root/REAPER98632
[2026-05-21 15:56:53] Output directory: /root/REAPER98632/exports/manuscript_final_clean/simulation_validation
[2026-05-21 15:56:53] Simulation started: 320 planned runs
[2026-05-21 16:04:35] Simulation progress: 53/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=7.71 min | ETA=38.8 min
[2026-05-21 16:04:45] Simulation progress: 54/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=14 | timeout=240 sec | elapsed=7.87 min | ETA=38.8 min
[2026-05-21 16:04:54] Simulation progress: 55/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=15 | timeout=240 sec | elapsed=8.02 min | ETA=38.7 min
[2026-05-21 16:05:04] Simulation progress: 56/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=16 | timeout=240 sec | elapsed=8.2 min | ETA=38.6 min
[2026-05-21 16:05:16] Simulation progress: 57/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=17 | timeout=240 sec | elapsed=8.38 min | ETA=38.7 min
[2026-05-21 16:05:25] Simulation progress: 58/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=18 | timeout=240 sec | elapsed=8.53 min | ETA=38.5 min
[2026-05-21 16:05:34] Simulation progress: 59/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=19 | timeout=240 sec | elapsed=8.7 min | ETA=38.5 min
[2026-05-21 16:05:44] Simulation progress: 60/320 | profile=fixed | LFC=1 | DE=0.05 | null_inflation=0 | rep=20 | timeout=240 sec | elapsed=8.86 min | ETA=38.4 min
[2026-05-21 16:05:54] Simulation progress: 61/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=1 | timeout=240 sec | elapsed=9.03 min | ETA=38.3 min
[2026-05-21 16:06:04] Simulation progress: 62/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=2 | timeout=240 sec | elapsed=9.19 min | ETA=38.2 min
[2026-05-21 16:06:13] Simulation progress: 63/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=3 | timeout=240 sec | elapsed=9.33 min | ETA=38.1 min
[2026-05-21 16:06:20] Simulation progress: 64/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=4 | timeout=240 sec | elapsed=9.45 min | ETA=37.8 min
[2026-05-21 16:06:28] Simulation progress: 65/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=5 | timeout=240 sec | elapsed=9.58 min | ETA=37.6 min
[2026-05-21 16:06:36] Simulation progress: 66/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=6 | timeout=240 sec | elapsed=9.73 min | ETA=37.4 min
[2026-05-21 16:06:43] Simulation progress: 67/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=7 | timeout=240 sec | elapsed=9.84 min | ETA=37.2 min
