"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"182986",0.00359107556836864,0.00681767186668795,16708,7422,3.2,3.4,3.7,11.8,0.048828125,0.726643598615917,0.15625,2.47058823529412,-1.85629799036563,0.904456274227152,"-"
"182993",0.00334818726998673,0.0118610733975326,17987,1055,11,16.4,54,120.3,0.355371900826446,0.386302795954789,3.90909090909091,6.33536585365854,1.36330484289519,1.84614756327503,"Uggt2"
"183098",0.00179885159312004,0.00725297463063812,24616,6424,18.6,17.4,63.3,305.3,0.129205688518904,0.950918219051394,2.40322580645161,16.5459770114943,0.876811920900367,2.80614299139765,"Hs6st3"
"183120",0.00288320593178069,0.00430137370740598,19890,13733,6,3.6,40.5,24.3,0.958333333333333,1.59722222222222,5.75,5.75,1.74919985480926,1.74919985480926,"-"
"183154",0.00358865596981963,0.00271835150857481,16719,19777,4.2,2,7.2,3.5,0.170068027210884,0.375,0.714285714285714,0.75,-0.336472236621213,-0.287682072451781,"LOC100909886"
"183173",0.00201283142040743,0.00243150147923722,23731,20807,43.4,30.2,300.3,127.7,0.136390664486398,0.106903205999737,5.91935483870968,3.22847682119205,1.77822746300948,1.17201045362298,"Stk24"
"183175",0.00542110063931235,0.00350819052775337,10249,16459,2,3.6,9.5,6.3,1.875,0.208333333333333,3.75,0.75,1.32175583998232,-0.287682072451781,"Stk24"
"183176",0.0036334699587995,0.00124977468352633,16493,24991,20,24,68.5,121,0.12125,0.168402777777778,2.425,4.04166666666667,0.885831524389446,1.39665714815544,"Stk24"
"183207",0.00429953679832167,0.0062571923715351,13715,8733,28,21.2,232.5,249.7,0.260841836734694,0.508410466358135,7.30357142857143,10.7783018867925,1.98836346530765,2.37753502865629,"-"
"183215",0.00194926169829368,0.00129686883152101,23979,24848,7,7.6,21.5,3.3,0.295918367346939,-0.0744459833795014,2.07142857142857,-0.565789473684211,0.728238500371216,NA,"Dock9"
