"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","empirical_p","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","standard_flag","strong_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","hc_pass","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT0_ZT6","Lead_RawEVS","Lead","456201","456201","Cys1",218.485204583738,-0.572380467273991,-0.0219904590236204,"downregulated",-1.29914703673645,0.19389347350492,0.721355874393235,1,1,0.333038866035672,0.994912283748281,0.999999999999,1,0.477505080848426,0.0105005559139679,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.440581744089453,FALSE,113.896029833099,123.322903632623,149.212023343986,249.123741439802,244.118612536415,412.02845682667,168.474128348905,112.804503087285,153.281299510993,458.590347277604,0.254808833221004,0.179965245006709,0.228132678737864,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","436176","436176","Capzb",534.068813229404,0.128524333952321,0.0180716958730951,"upregulated",0.599580355889493,0.548785942187799,0.854869193610375,1,1,0.655051989237852,0.994912283748281,0.999999999999,1,0.183724230171425,0.00332020841217651,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.214357146110386,FALSE,676.431299130724,446.474586299589,466.287572949955,550.981705520146,651.907658477926,514.680781891409,491.762320585993,394.083264032204,525.754857322707,622.324086083386,0.0277983848303176,0.148885620635152,0.0532692917399779,6,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","485391","485391","Atp5mc2",537.282162242421,0.151912658349749,0.00796216417424902,"upregulated",0.406981261485071,0.684021750990308,0.902189189851261,1,1,0.761701689326065,0.994912283748281,0.999999999999,1,0.118215081213528,0.000941247884494291,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.373266960241416,FALSE,219.458203824752,689.694757352818,333.763736427336,957.398904146393,626.940982195793,561.512948626013,357.438353388893,583.067431542072,466.741557010974,576.804747909165,0.172652058662826,0.148756932403802,0.165438588836314,8,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","311277","311277","Ank3",378.923595309115,-0.352798591302697,-0.0118734228000022,"downregulated",-0.755000147388888,0.450248893784601,0.821374099347925,1,1,0.573734375845616,0.994912283748281,0.999999999999,1,0.241289128167405,0.00286492783577551,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.467282811166096,FALSE,309.741642107087,173.565568075544,279.772543769973,320.951389519161,581.168742345215,262.543965027327,229.944418422154,295.9286964108,286.636030085557,1048.98295732833,0.309967796190711,0.157695502816591,0.259464584666247,8,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","200155","200155","Saraf",498.057244397816,-0.129526740868004,-0.0183237621695989,"downregulated",-0.598170428706132,0.549726220647872,0.855028716743219,1,1,0.655810776727249,0.994912283748281,0.999999999999,1,0.183221450986687,0.00335730629224888,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.216538188201941,FALSE,602.815572531282,493.291614530493,390.699903229647,493.701429203696,398.079782942904,574.28535773545,409.801933821661,629.947225032892,539.550174278696,448.399450671435,0.0282584921418817,0.150441393298738,0.0542345716420203,6,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","539597","539597","Lancl1",453.665269819579,-0.00526916427634942,-0.000348639137162491,"downregulated",-0.0174999065065466,0.986037807432534,0.996476072040212,1,1,0.989596356123179,0.999133685827716,0.999999999999,1,0.004541912528602,1.58348846503931e-06,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.301096710109752,FALSE,268.072362899856,368.82683216053,335.727052523968,541.889598168329,750.38732603523,457.441466993559,367.683401734435,445.358038162789,471.339995996304,529.926623520787,0.0867918902706274,0.15269911414314,0.106619906412324,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","522187","522187","Timm8b",770.264086446725,0.15874693593651,0.0220557721081504,"upregulated",0.723987111788971,0.469073647529273,0.828015429864087,1,1,0.589574990080039,0.994912283748281,0.999999999999,1,0.229460947639856,0.0050609383688649,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.219267626939168,FALSE,818.106848435311,817.585175934798,635.132757260255,753.735699465679,1037.50410327976,657.069490852175,702.354981022125,909.760992431223,823.120578374034,548.270237411891,0.0330120462911411,0.142287581170757,0.0564138957370502,8,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","529800","529800","Uqcrc1",439.594321715711,0.137753706957491,0.00969842029475759,"upregulated",0.432098581270312,0.665669765783026,0.897414397710354,1,1,0.747481359943045,0.994912283748281,0.999999999999,1,0.126399632936394,0.00122587676532023,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.318801571975806,FALSE,325.020377816405,570.939368669552,334.745394475652,503.702747290695,568.685404204149,400.675204284948,243.604482882876,499.562799386549,304.263379529322,644.744058616958,0.107069077935823,0.153509918975264,0.119738886448776,10,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","469683","469683","Map2k2",303.463854954609,-0.214134942540822,-0.0084859775037962,"downregulated",-0.499591147470525,0.617362992470422,0.87490749384739,1,1,0.709705431573664,0.994912283748281,0.999999999999,1,0.148921870981563,0.00126374764697279,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.428620370126666,FALSE,152.787357093182,211.247566407734,221.854718919347,334.589550546888,485.463149930371,280.519948218387,215.146015256372,213.889057801866,220.72507129583,698.416114076114,0.241206777054024,0.165236647288198,0.217217674510275,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","335369","335369","-",299.415253454664,-0.567589768454388,-0.0263461878278971,"downregulated",-1.41408391093194,0.157337266520843,0.714231618630444,1,1,0.292042295167894,0.994912283748281,0.999999999999,1,0.534554247086356,0.0140834665979373,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.40138337199546,FALSE,252.793627190538,246.645807265246,191.423319421561,327.315864665433,188.63710968723,257.813443134943,219.699370076613,256.373870652921,236.819607744485,816.630514707675,0.200324697653163,0.165748688261154,0.189847740432671,8,FALSE
