"rank","feature_id","gene_symbol","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap","var_fit","d1","d2","nb_support"
176,"121324","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.221645814775746,0.00182311926043273,7.4720984472881e-07,0.15468105440736
177,"121358","Tmem132d",0,0,0,0,0,NA,0,0,0,NA,0,-0.219822320384276,0.00182387104862311,7.56366536022277e-07,0.15468105440736
178,"121426","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.21799806962627,0.00182463199350478,7.65523227315743e-07,0.15468105440736
179,"121775","Snrnp35",0,0,0,0,0,NA,0,0,0,NA,0,-0.216173053345036,0.00182540209507774,7.7467991860921e-07,0.15468105440736
180,"123638","RGD1311899",0,0,0,0,0,NA,0,0,0,NA,0,-0.214347262383884,0.001826181353342,7.83836609902677e-07,0.15468105440736
181,"123688","Git2",0,0,0,0,0,NA,0,0,0,NA,0,-0.212520687586122,0.00182696976829755,7.92993301196143e-07,0.15468105440736
182,"125312","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.210693319795058,0.00182776733994439,8.0214999248961e-07,0.15468105440736
183,"125449","Zfp655",0,0,0,0,0,NA,0,0,0,NA,0,-0.208865149854002,0.00182857406828253,8.11306683783077e-07,0.15468105440736
184,"126007","LOC120095892",0,0,0,0,0,NA,0,0,0,NA,0,-0.207036168606263,0.00182938995331196,8.20463375076543e-07,0.15468105440736
185,"126373","LOC498154",0,0,0,0,0,NA,0,0,0,NA,0,-0.205206366895148,0.00183021499503268,8.2962006637001e-07,0.15468105440736
186,"127108","Cux1",0,0,0,0,0,NA,0,0,0,NA,0,-0.203375735563967,0.0018310491934447,8.38776757663477e-07,0.15468105440736
187,"128482","Rimbp2",0,0,0,0,0,NA,0,0,0,NA,0,-0.201544265456028,0.00183189254854801,8.47933448956943e-07,0.15468105440736
188,"129543","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.199711947414641,0.00183274506034261,8.5709014025041e-07,0.15468105440736
189,"130330","Med13l",0,0,0,0,0,NA,0,0,0,NA,0,-0.197878772283113,0.00183360672882851,8.66246831543877e-07,0.15468105440736
