"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
19913,"360108",0.00483328961341677,3.6,17.3,3.6,13.7,1.0570987654321,3.80555555555556,1.52605630349505,2.68784749378469,1.16179119028964,1.56977265604167,0.231358268902589,17.3,2.90690105984738,4.18661983833127,0,0
19914,"126120",0.00483338816237029,4.4,8.8,4.4,4.4,0.227272727272727,1,1.68639895357023,1.68639895357023,0,0.693147180559945,0.153732590112509,8.8,2.28238238567653,4.18661983833127,0,0
19915,"566987",0.00483351203988041,97.2,4643.2,97.2,4546,0.481168182357026,46.7695473251029,4.58700621536042,8.42222295382501,3.83521673846459,3.86638835122348,0.478081811455471,4643.2,8.44337440821259,4.22683374526818,0,0
19916,"277473",0.00483472325700616,3.2,3.2,3.2,0,0,0,1.43508452528932,0,-1.43508452528932,0,0.0642394918064725,3.2,1.43508452528932,4.27944004589878,0,0
19917,"161850",0.00483487080596996,5.6,16.3,5.6,10.7,0.341198979591837,1.91071428571429,1.88706964903238,2.45958884180371,0.572519192771331,1.06839851007161,0.194681732139934,16.3,2.85070650150373,4.3502779363593,0,0
19918,"358592",0.00483510739140794,307.8,14118.7,307.8,13810.9,0.145775570493147,44.8697205977908,5.73269381815062,9.53328581840258,3.80059200025196,3.82580521741527,0.494561753655883,14118.7,9.5553262643626,4.43911560165801,0,0
19919,"468172",0.00483530272445816,28.8,422.2,28.8,393.4,0.474295910493827,13.6597222222222,3.39450839351136,5.97736562272848,2.58285722921712,2.68510374827232,0.362803079318884,422.2,6.04784488054409,4.3502779363593,0,0
19920,"254977",0.00483577734513391,988.4,201357.3,988.4,200368.9,0.20509961281337,202.720457304735,6.89709869879361,12.207920437311,5.31082173851735,5.31674874678482,0.631331501740852,201357.3,12.2128411871832,4.3502779363593,0,0
19921,"429642",0.00483578998069276,4.6,10.3,4.6,5.7,0.26937618147448,1.23913043478261,1.7227665977411,1.90210752639692,0.179340928655817,0.806087591740541,0.165945918150343,10.3,2.42480272571829,4.3502779363593,0,0
19922,"414907",0.00483594292856418,6.2,60.2,6.2,54,1.4047866805411,8.70967741935484,1.97408102602201,4.00733318523247,2.03325215921046,2.27312306026373,0.300850369165826,60.2,4.11414718951828,4.29456060889261,0,0
