"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","iod_ctrl","iod_trt","cv2_ctrl","cv2_trt","gene_symbol"
"193307",0.00523231007721213,0.00148181985169667,11520,24175,231.4,107.6,16826.8,1072.3,72.7173725151253,9.96561338289963,0.314249665147473,0.0926172247481378,"Mbnl2"
"193328",0.0066935931557992,0.0074997208389878,7235,5895,50,43.2,1604,716.2,32.08,16.5787037037037,0.6416,0.383766289437586,"-"
"193343",0.00823397154081009,0.00973874626469542,4399,2914,3.2,2.6,10.7,5.8,3.34375,2.23076923076923,1.044921875,0.857988165680473,"-"
"193347",0.00556937102441123,0.00244635763322251,10291,20250,3,4.2,11,34.2,3.66666666666667,8.14285714285714,1.22222222222222,1.93877551020408,"-"
"193349",0.00594700100686409,0.0104741333788691,9103,2212,6.8,5.4,21.2,44.3,3.11764705882353,8.2037037037037,0.458477508650519,1.51920438957476,"-"
"193373",0.00550431266924629,0.00362343915546617,10495,16074,453,317.8,72155.5,30565.2,159.283664459161,96.1774701069855,0.351619568342519,0.302635211161062,"Ipo5"
"193374",0.00260200313654883,0.000975713185845409,23723,26108,5.8,9.2,28.7,133.7,4.94827586206897,14.5326086956522,0.853151010701546,1.57963137996219,"Ipo5"
"193375",0.00392383388254948,0.0115076330883127,17407,1450,10.6,14.6,46.3,104.3,4.36792452830189,7.14383561643836,0.412068351726593,0.489303809345093,"Ipo5"
"193428",0.00340577945591951,0.00953614809739192,20031,3146,0.6,2.8,1.8,6.7,3,2.39285714285714,5,0.854591836734694,"Farp1"
"193446",0.00231103457698003,0.00611073457547415,24635,8415,28.4,16.8,377.3,80.7,13.2852112676056,4.80357142857143,0.467789129141043,0.285926870748299,"Farp1"
"193462",0.00750288201597672,0.00840426898646878,5542,4484,6.6,4,18.3,28.5,2.77272727272727,7.125,0.420110192837466,1.78125,"Farp1"
"193479",0.00646414252746106,5.3231177796359e-05,7794,29536,41.6,17.6,794.8,215.3,19.1057692307692,12.2329545454545,0.459273298816568,0.69505423553719,"Farp1"
"193504",0.00478061585950915,0.00751339948030692,13368,5866,1.2,3.2,7.2,51.2,6,16,5,5,"-"
"193552",0.0019349585110883,0.0110735778131065,25689,1746,5.6,4,13.3,28.5,2.375,7.125,0.424107142857143,1.78125,"Ubac2"
"193554",0.000508567056774545,0.00257760815945089,29182,19618,46.2,63.2,481.7,2091.7,10.4264069264069,33.0965189873418,0.225679803601882,0.523679097900977,"Ubac2"
"193581",0.00220970490196223,0.000816492589883281,24919,26696,4,1.6,20.5,5.3,5.125,3.3125,1.28125,2.0703125,"Tm9sf2"
"193582",0.00464402442507602,0.00149132551359867,14023,24081,388.2,195.8,37288.2,2350.7,96.0540958268933,12.0056179775281,0.247434559059488,0.0613157200078043,"Tm9sf2"
"193623",0.00245339867134018,0.00498702486336274,24235,11326,17,9,190.5,99.5,11.2058823529412,11.0555555555556,0.65916955017301,1.22839506172839,"Clybl"
"193645",0.000988340807454637,0.00309175320544495,28097,17709,23.4,12.2,77.3,20.7,3.3034188034188,1.69672131147541,0.141171743735846,0.13907551733405,"Zic2"
