"feature_id","original_rank_index","baseMean","alpha_used","dispFit","dispersion","mean_trt","mean_untrt","baseMean_scoring","iod_nb","cv2_nb","log_baseMean","log_iod_nb","log_cv2_nb","rank_index","log_baseMean_smooth","log_iod_nb_smooth","log_cv2_nb_smooth"
"115097",21319,14.2949867968727,0.0594340309075635,0.576734591847933,0.219819497070044,15.6912235547595,12.8987500389859,14.2949867968727,1.84960868710855,0.129388625074714,2.65990890215529,0.614974096234754,-2.04493480592054,21319,3.35956057694071,1.75199473367382,-1.60756584326689
"549054",21320,11.1086113795643,0.84254747504048,0.722315891157,0.796208367487142,5.78018431418493,16.4370384449436,11.1086113795643,10.3595324690578,0.932567727422306,2.4077206075018,2.3379071073437,-0.0698135001581012,21320,3.33964362521605,1.75991100112235,-1.57973262409371
"263939",21321,24.6869325539573,0.0443989539282155,0.363086920925454,0.143501112743612,23.6354498470353,25.7384152608793,24.6869325539573,2.09607398109211,0.0849062141078404,3.20627405724102,0.740066062158467,-2.46620799508255,21321,3.34902020731467,1.77390491846046,-1.57511528885421
"314136",21322,26.3318933621734,0.113713972294897,0.344727519502442,0.188522948877488,29.7342216564897,22.9295650678571,26.3318933621734,3.99430419225837,0.151690732501458,3.27078087985466,1.38486939440148,-1.88591148545318,21322,3.32590225022024,1.76238051576326,-1.56352173445698
"257330",21323,74.313863533501,0.142193797947595,0.16682654427949,0.150711829691267,77.6931906804935,70.9345363865085,74.313863533501,11.5669704959878,0.155650237331199,4.30829752292524,2.44815366560436,-1.86014385732087,21323,3.31119606027436,1.76104822602982,-1.55014783424454
"135458",21324,46.243757999496,0.11681988698775,0.226088129664188,0.15220686829577,44.8832592368165,47.6042567621756,46.243757999496,6.40219058338998,0.138444427104297,3.83392649267716,1.85664021045633,-1.97728628222083,21324,3.32979880351188,1.77166314257327,-1.55813566093861
"170430",21325,35.0714863188585,0.236486498974248,0.276066993298694,0.251106678117062,30.8961395623467,39.2468330753702,35.0714863188585,9.29393301337008,0.264999690314596,3.55738844474414,2.22936182312337,-1.32802662162076,21325,3.28365414323384,1.74489389956023,-1.53876024367361
"450964",21326,7.6834026997246,0.1299527123157,1.01347195994479,0.40826095147027,7.74196905402543,7.62483634542376,7.6834026997246,1.99847902064298,0.260103381111941,2.03906250889752,0.692386401562468,-1.34667610733505,21326,3.26782031062332,1.72688858248929,-1.54093172813403
"338491",21327,37.9605173603128,0.0735172701357548,0.260322884055096,0.133175033184185,37.7806297887225,38.140404931903,37.9605173603128,3.79075360927113,0.0998604305966153,3.63654660274034,1.33256484082432,-2.30398176191601,21327,3.26659239130005,1.72565957050772,-1.54093282079233
"164124",21328,3.97150849412267,0.425041684749676,1.89602065824891,1.01804393918062,3.05008728443263,4.89292970381272,3.97150849412267,2.68805666133955,0.676835178702886,1.37914599585816,0.988818501806128,-0.390327494052034,21328,3.26653239990696,1.7150434265233,-1.55148897338366
"569186",21329,24.5833437019289,0.0849168571147519,0.364325310015338,0.172564800047292,24.7358651893424,24.4308222145154,24.5833437019289,3.08754028453953,0.125594806059571,3.20206912832511,1.12737474949312,-2.07469437883199,21329,3.26123470976768,1.7337016532823,-1.52753305648538
"107806",21330,9.19474314111785,0.467275238178519,0.858261392440162,0.625015203142924,9.7531991536285,8.6362871286072,9.19474314111785,5.29647579125615,0.576033034307495,2.21863192304053,1.66704165433806,-0.551590268702474,21330,3.28061981695359,1.74235294691484,-1.53826687003875
"165078",21331,48.0560523718802,0.0926016916672151,0.220171427469678,0.135145163994869,47.5527736229046,48.5593311208559,48.0560523718802,5.4500717444844,0.11341072509055,3.87236808735666,1.69562877271408,-2.17673931464258,21331,3.27539258569278,1.73889741718042,-1.53649516851236
"214633",21332,27.8706810485301,0.102316793897547,0.329514997685293,0.17679782047501,28.1579843678998,27.5833777291604,27.8706810485301,3.85163872862672,0.138196792605104,3.3275752778128,1.34849870153822,-1.97907657627458,21332,3.24123738982551,1.73701526614954,-1.50422212367597
"416772",21333,35.1022086738067,0.184795478756447,0.27588593515315,0.21518270766612,38.3641874970969,31.8402298505165,35.1022086738067,7.48672945728482,0.213283714619115,3.55826405367179,2.01313204759965,-1.54513200607214,21333,3.29924534769976,1.77528503958575,-1.52396030811401
"443604",21334,24.6133658785154,0.160077834892971,0.363965326681171,0.226631655922954,28.5408754676982,20.6858562893325,24.6133658785154,4.94005431926127,0.200706166870634,3.20328962378382,1.59737632694125,-1.60591329684257,21334,3.27693292938172,1.77072580764313,-1.5062071217386
"352468",21335,5.18692092701165,0.142869035319213,1.46795466057943,0.591439548057395,3.36427960928594,7.00956224473735,5.18692092701165,1.74105038911919,0.335661640811299,1.64614025079801,0.554488602997431,-1.09165164780058,21335,3.29942423638655,1.78087359845145,-1.51855063793509
"342464",21336,13.4002352968537,0.464612412111524,0.610623566808509,0.513058055454973,13.213605359268,13.5868652344394,13.4002352968537,7.22591564413318,0.539237967398213,2.5952722662694,1.97767395872058,-0.617598307548819,21336,3.29900870894792,1.79387186431479,-1.50513684463313
"123672",21337,14.9753236378676,1e-08,0.553676880700231,0.185909327632467,17.3907727124079,12.5598745633273,14.9753236378676,1.00000014975324,0.0667765301061387,2.70640375564562,1.49753225265019e-07,-2.70640360589239,21337,3.28525199035917,1.78723034168372,-1.49802164867545
"290257",21338,31.78687703671,0.185142485594668,0.297443358625139,0.221692873020292,32.4344614525255,31.1392926208945,31.78687703671,6.88510142386858,0.216602008933344,3.45905353281212,1.92935986320771,-1.52969366960441,21338,3.30718154458761,1.79611245390504,-1.51106909068257
"254677",21339,7.5962170098616,0.635832640203731,1.02430989214491,0.784453186891287,6.4127436772694,8.7796903424538,7.5962170098616,5.82992271694079,0.767477115170913,2.02765036150741,1.76300374417519,-0.264646617332221,21339,3.34537818770688,1.82817009856584,-1.51720808914104
"257962",21340,20.3579199373624,0.216757830398523,0.425581234122013,0.284611194618784,23.9510207664833,16.7648191082415,20.3579199373624,5.41273855704952,0.265878762354088,3.01347002228651,1.68875516756278,-1.32471485472373,21340,3.33567453804518,1.81535971952065,-1.52031481852453
"438715",21341,7.80144825150688,0.299306715072589,0.999183909355661,0.51471940133393,7.26778997657369,8.33510652644008,7.80144825150688,3.33502584896732,0.427488043431314,2.05430938973051,1.20448043015234,-0.849828959578173,21341,3.33120880801768,1.8095542822454,-1.52165452577228
"306767",21342,15.487950014597,0.146440990024632,0.537641363422039,0.268590411698537,16.6245301369376,14.3513698922564,15.487950014597,3.2680707335896,0.211007314106097,2.7400623031657,1.18419982106878,-1.55586248209692,21342,3.32052957956182,1.8051047054193,-1.51542487414252
"202465",21343,10.1703994999915,0.08355301647798,0.782565651238483,0.311362114211522,10.1062361963758,10.2345628036072,10.1703994999915,1.84976755701043,0.181877570985484,2.31948149149066,0.615059986337028,-1.70442150515363,21343,3.32014124297055,1.80711986102972,-1.51302138194084
"12344",21344,2.25778117068318,3.28292630240903,3.28263778225266,3.28280500942091,1.852679962776,2.66288237859035,2.25778117068318,8.41212919031965,3.72583902264286,0.81438254813615,2.12967461558268,1.31529206744653,21344,3.32220399622036,1.7962294942061,-1.52597450201426
"9988",21345,310.696865649558,0.045003987926613,0.0925482859365338,0.0590452265440965,292.157594275105,329.236137024011,310.696865649558,14.9825979905292,0.0482225591790437,5.73881772831966,2.70688939366115,-3.03192833465851,21345,3.298669500461,1.77757858413271,-1.52109091632828
"295653",21346,8.64268384984645,0.270529167665485,0.908663613625478,0.458716650329224,9.95136646006598,7.33400123962692,8.64268384984645,3.33809806829489,0.386233966935421,2.15671316534948,1.20540120416544,-0.951311961184036,21346,3.29810981534463,1.77760674025607,-1.52050307508856
"26548",21347,12.0043410804547,0.111074796109099,0.673582003794332,0.291040053423697,11.803973883586,12.2047082773235,12.0043410804547,2.33337973793559,0.194377993952101,2.48526834107438,0.847317747876126,-1.63795059319825,21347,3.33187297137633,1.77780508113034,-1.55406789024598
"440830",21348,2.14314451260344,5.88346397297412,3.45452452989255,4.41958626560438,2.87586407935676,1.41042494585011,2.14314451260344,13.6091135287795,6.35006806528763,0.762274148937111,2.6107396807272,1.84846553179009,21348,3.29339534709665,1.76227825241697,-1.53111709467969
"286603",21349,22.5696315556277,0.0509928925680517,0.390657328289511,0.180411681995302,20.4577976641499,24.6814654471056,22.5696315556277,2.15089079721663,0.0953002175474287,3.11660526617815,0.765882080617772,-2.35072318556038,21349,3.26074173325226,1.75429881715554,-1.50644291609672
"225751",21350,4.2673854840691,0.855876230934799,1.76935875744776,1.21127474823505,3.93407369050751,4.6006972776307,4.2673854840691,4.65235380405094,1.09021175176674,1.45100134089621,1.53737328594564,0.0863719450494392,21350,3.25459072191929,1.76047590543856,-1.49411481648072
"49048",21351,4.2334533693575,0.408236916388391,1.78298595183759,0.987018307338933,4.03828656201055,4.42862017670445,4.2334533693575,2.72825194918055,0.644450690995709,1.44301805936078,1.00366109245433,-0.439356966906446,21351,3.26446029199664,1.76455612713723,-1.49990416485941
"390151",21352,101.613858078094,0.185599628178867,0.140596926665803,0.169771413743989,112.853373190522,90.3743429656657,101.613858078094,19.8594942771144,0.195440805542996,4.6211799242494,2.98868219389776,-1.63249773035164,21352,3.26352247288092,1.75583157710914,-1.50769089577179
