"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"62250","Vti1a",117,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"62368","-",118,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"63160","Shisa9",119,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"65364","Abca17",120,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"68608","Maml1",121,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"68806","-",122,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"68944","Ube2b",123,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"69098","-",124,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"71643","-",125,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"71882","LOC102547395",126,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"73234","Sarm1",127,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"73566","-",128,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"74366","Mmp28",129,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"75162","Ppm1e",130,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"75200","Tex14",131,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"75967","Luc7l3",132,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"76394","Prr15l",133,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"76580","Srcin1",134,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"76752","Plxdc1",135,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"76753","Plxdc1",136,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"77109","Krt15",137,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"77485","Ezh1",138,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"78062","Hexim1",139,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"78513","-",140,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"78544","Tanc2",141,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"79480","Slc16a6",142,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"79685","Kcnj2",143,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"79780","LOC102549836",144,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"79891","Fam104a",145,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"80060","Nat9",146,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"80430","-",147,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"80578","Ube2o",148,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"81203","Rptor",149,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"81251","Aatk",150,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"81389","Pde6g",151,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"81685","Wdr45b",152,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"82659","Pmm2",153,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"82808","Ppl",154,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"82815","Glyr1",155,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"84604","-",156,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"85215","Cyfip2",157,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"85273","Sgcd",158,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"85524","Rnf130",159,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"86690","-",160,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"88330","Myh2",161,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"88417","LOC100911946",162,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"88684","Vamp2",163,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"88968","Plscr3",164,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"89120","Dlg4",165,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"89164","Med11",166,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"89450","Mis12",167,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"90119","Rtn4rl1",168,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"90491","Blmh",169,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"90682","Git1",170,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"91289","Nf1",171,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"91651","LOC108352110",172,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"92046","Ddx52",173,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"92320","Ppm1d",174,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"92585","Trim37",175,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"92712","Rnf43",176,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"94556","Wipf2",177,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"94816","-",178,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"94987","Nbr1",179,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"95448","Mapt",180,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"95976","Psmc5",181,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"96153","Helz",182,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"97686","-",183,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"98043","Foxk2",184,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"98458","Cadm2",185,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"98459","Cadm2",186,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"99105","-",187,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"99171","-",188,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"100213","-",189,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"100675","-",190,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"101181","Paxbp1",191,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"103397","Nepro",192,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"105759","Tmem39a",193,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"106010","Golgb1",194,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"107123","Dlg1",195,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"107238","Fam43a",196,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"107499","Il1rap",197,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"107697","-",198,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"108041","Fam131a",199,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"108286","Klhl24",200,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"108290","Klhl24",201,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"108699","Pi4ka",202,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"108869","Pkp2",203,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"109857","Robo1",204,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"109901","Robo2",205,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"111191","Mrap",206,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"111314","Ifnar1",207,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"111535","Slc5a3",208,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"111655","-",209,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"111675","Cbr3",210,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"112641","-",211,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"113468","Dzip3",212,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"113798","Sidt1",213,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"114292","Cfap91",214,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"114519","LOC108352342",215,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"114540","Slc15a2",216,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"114932","Kalrn",217,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"115159","Iqcg",218,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"115301","Pigx",219,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"117432","N4bp2l2",220,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"117756","Elavl1",221,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"117795","LOC683489",222,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"117972","Fry",223,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"119681","LOC680456",224,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"120029","Sap25",225,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"121589","Aacs",226,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"121731","Tctn2",227,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"122465","Naa25",228,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"122672","Dtx1",229,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"122684","Rasal1",230,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"122774","Tbx3",231,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"123434","Bicdl1",232,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"125105","LOC102553253",233,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
