"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
179,"293108",0,0,0,0,0,0,0,0,1.3035928372216,-7.28375473342187e-07
180,"293745",0,0,0,0,0,0,0,0,1.311055547331,-7.53769256659121e-07
181,"300214",0,0,0,0,0,0,0,0,1.31851750367115,-7.79163039976056e-07
182,"301552",0,0,0,0,0,0,0,0,1.32597868084825,-8.0455682329299e-07
183,"301942",0,0,0,0,0,0,0,0,1.33343905346853,-8.29950606609923e-07
184,"302565",0,0,0,0,0,0,0,0,1.34089859613821,-8.55344389926857e-07
185,"304391",0,0,0,0,0,0,0,0,1.34835728346349,-8.80738173243788e-07
186,"306174",0,0,0,0,0,0,0,0,1.35581509005061,-9.06131956560724e-07
187,"307948",0,0,0,0,0,0,0,0,1.36327199050576,-9.31525739877657e-07
188,"308614",0,0,0,0,0,0,0,0,1.37072795943518,-9.56919523194591e-07
189,"313849",0,0,0,0,0,0,0,0,1.37818297144507,-9.82313306511524e-07
190,"314148",0,0,0,0,0,0,0,0,1.38563700114165,-1.00770708982846e-06
191,"314423",0,0,0,0,0,0,0,0,1.39309002313115,-1.03310087314539e-06
192,"314966",0,0,0,0,0,0,0,0,1.40054201201977,-1.05849465646232e-06
193,"316181",0,0,0,0,0,0,0,0,1.40799294241374,-1.08388843977926e-06
194,"323477",0,0,0,0,0,0,0,0,1.41544278891926,-1.10928222309619e-06
195,"325069",0,0,0,0,0,0,0,0,1.42289152614256,-1.13467600641313e-06
196,"326011",0,0,0,0,0,0,0,0,1.43033912868986,-1.16006978973006e-06
197,"327631",0,0,0,0,0,0,0,0,1.43778557116737,-1.18546357304699e-06
198,"329507",0,0,0,0,0,0,0,0,1.4452308281813,-1.21085735636393e-06
199,"329629",0,0,0,0,0,0,0,0,1.45267487433788,-1.23625113968086e-06
200,"330409",0,0,0,0,0,0,0,0,1.46011768424332,-1.26164492299779e-06
201,"331087",0,0,0,0,0,0,0,0,1.46755923250383,-1.28703870631472e-06
202,"333697",0,0,0,0,0,0,0,0,1.47499949372564,-1.31243248963166e-06
203,"336490",0,0,0,0,0,0,0,0,1.48243844251496,-1.33782627294859e-06
204,"337169",0,0,0,0,0,0,0,0,1.48987605347801,-1.36322005626553e-06
205,"337203",0,0,0,0,0,0,0,0,1.49731230122099,-1.38861383958246e-06
206,"337732",0,0,0,0,0,0,0,0,1.50474716035014,-1.41400762289939e-06
207,"342283",0,0,0,0,0,0,0,0,1.51218060547167,-1.43940140621632e-06
208,"342515",0,0,0,0,0,0,0,0,1.51961261119179,-1.46479518953326e-06
209,"342983",0,0,0,0,0,0,0,0,1.52704315211672,-1.49018897285019e-06
210,"344588",0,0,0,0,0,0,0,0,1.53447220285268,-1.51558275616713e-06
211,"345116",0,0,0,0,0,0,0,0,1.54189973800588,-1.54097653948406e-06
212,"346010",0,0,0,0,0,0,0,0,1.54932573218255,-1.56637032280099e-06
213,"348696",0,0,0,0,0,0,0,0,1.55675015998889,-1.59176410611793e-06
214,"348814",0,0,0,0,0,0,0,0,1.56417299603112,-1.61715788943486e-06
215,"350519",0,0,0,0,0,0,0,0,1.57159421491547,-1.6425516727518e-06
216,"352240",0,0,0,0,0,0,0,0,1.57901379124814,-1.66794545606873e-06
217,"353201",0,0,0,0,0,0,0,0,1.58643169963535,-1.69333923938566e-06
218,"353305",0,0,0,0,0,0,0,0,1.59384791468333,-1.7187330227026e-06
219,"353693",0,0,0,0,0,0,0,0,1.60126241099828,-1.74412680601953e-06
220,"357633",0,0,0,0,0,0,0,0,1.60867516318643,-1.76952058933646e-06
221,"364996",0,0,0,0,0,0,0,0,1.61608614585399,-1.7949143726534e-06
222,"365592",0,0,0,0,0,0,0,0,1.62349533360717,-1.82030815597032e-06
223,"365984",0,0,0,0,0,0,0,0,1.6309027010522,-1.84570193928726e-06
224,"366035",0,0,0,0,0,0,0,0,1.6383082227953,-1.8710957226042e-06
225,"368651",0,0,0,0,0,0,0,0,1.64571187344266,-1.89648950592113e-06
226,"369101",0,0,0,0,0,0,0,0,1.65311362760052,-1.92188328923806e-06
227,"370928",0,0,0,0,0,0,0,0,1.6605134598751,-1.947277072555e-06
228,"370945",0,0,0,0,0,0,0,0,1.6679113448726,-1.97267085587192e-06
229,"374487",0,0,0,0,0,0,0,0,1.67530725719924,-1.99806463918886e-06
230,"375097",0,0,0,0,0,0,0,0,1.68270117146125,-2.0234584225058e-06
231,"375156",0,0,0,0,0,0,0,0,1.69009306226483,-2.04885220582273e-06
232,"376936",0,0,0,0,0,0,0,0,1.6974829042162,-2.07424598913966e-06
233,"377901",0,0,0,0,0,0,0,0,1.70487067192159,-2.09963977245659e-06
234,"383929",0,0,0,0,0,0,0,0,1.71225633998721,-2.12503355577353e-06
235,"385795",0,0,0,0,0,0,0,0,1.71963988301927,-2.15042733909046e-06
236,"391779",0,0,0,0,0,0,0,0,1.72702127562399,-2.1758211224074e-06
237,"392061",0,0,0,0,0,0,0,0,1.73440049240758,-2.20121490572433e-06
238,"392588",0,0,0,0,0,0,0,0,1.74177750797628,-2.22660868904126e-06
239,"400636",0,0,0,0,0,0,0,0,1.74915229693628,-2.25200247235819e-06
240,"401132",0,0,0,0,0,0,0,0,1.75652483389381,-2.27739625567513e-06
241,"404651",0,0,0,0,0,0,0,0,1.76389509345509,-2.30279003899207e-06
242,"404898",0,0,0,0,0,0,0,0,1.77126305022632,-2.328183822309e-06
243,"406755",0,0,0,0,0,0,0,0,1.77862867881374,-2.35357760562593e-06
244,"410116",0,0,0,0,0,0,0,0,1.78599195382354,-2.37897138894286e-06
245,"411807",0,0,0,0,0,0,0,0,1.79335284986196,-2.4043651722598e-06
246,"412588",0,0,0,0,0,0,0,0,1.80071134153521,-2.42975895557673e-06
247,"416490",0,0,0,0,0,0,0,0,1.8080674034495,-2.45515273889367e-06
