"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
52,0.520011336083383,16197,16514,318,22345.6,1490361.1,0.00310359917759098,66.6959535658027,0.00298474659735262,22345.6,4.47515394529572e-05,66.6929688192053
53,0.529993387284693,16515,16831,317,19873,850480.5,0.00300601559409425,42.7957781915161,0.00215346340217965,19873,5.03195290092085e-05,42.7936247281139
54,0.540006927606512,16832,17149,318,25482.2,1501832.7,0.00291515516496346,58.9365400161681,0.00231285132430356,25482.2,3.92430794829332e-05,58.9342271648438
55,0.549988978807822,17150,17466,317,24600.4,1757995.4,0.00282903739716183,71.462065657469,0.00290491478420956,24600.4,4.0649745532593e-05,71.4591607426848
56,0.560002519129641,17467,17784,318,23037.4,5078962.3,0.00275581574973487,220.465951018778,0.009569914617916,23037.4,4.34076762134616e-05,220.45638110416
57,0.569984570330951,17785,18101,317,27984.4,1980802.2,0.0026834630846509,70.7823716070382,0.00252935105298088,27984.4,3.57341947656551e-05,70.7798422559852
58,0.57999811065277,18102,18419,318,24730.2,7779936,0.00259953224953372,314.592522502851,0.0127209857786371,24730.2,4.04363895156529e-05,314.579801517072
59,0.590011650974588,18420,18737,318,25105.4,1936959.6,0.00254437789265,77.1531065029834,0.00307316778473888,25105.4,3.98320680013065e-05,77.1500333351987
60,0.599993702175898,18738,19054,317,27661,2575327.9,0.0024595297599832,93.1032102960847,0.00336586566993546,27661,3.61519829362641e-05,93.0998444304148
61,0.610007242497717,19055,19372,318,29339.2,9670511.7,0.00237831744590405,329.610613104652,0.0112344785510393,29339.2,3.40840922724546e-05,329.599378626101
62,0.619989293699027,19373,19689,317,19236,679478.3,0.00231329301131148,35.3232636722811,0.00183631023457481,19236,5.19858598461219e-05,35.3214273620466
63,0.630002834020846,19690,20007,318,15798.4,824806.6,0.00225679421925328,52.2082362770914,0.00330465340016023,15798.4,6.32975491188981e-05,52.2049316236912
64,0.639984885222156,20008,20324,317,23022.2,1419227.7,0.00217152346283197,61.6460503340254,0.00267767851612902,23022.2,4.34363353632581e-05,61.6433726555093
65,0.649998425543975,20325,20642,318,20381.6,1452442.6,0.00210172950690119,71.262442595282,0.0034964106152256,20381.6,4.90638615221572e-05,71.2589461846668
66,0.660011965865793,20643,20960,318,25119.8,2312654.6,0.00202467390656388,92.0650084793669,0.00366503747957256,25119.8,3.98092341499534e-05,92.0613434418873
67,0.669994017067103,20961,21277,317,25999.4,884763.7,0.00195343624040873,34.0301583882705,0.00130888245068234,25999.4,3.84624260559859e-05,34.0288495058198
68,0.680007557388922,21278,21595,318,20578.8,1025932.4,0.00187404611657844,49.8538495927848,0.00242258292965502,20578.8,4.85936983691955e-05,49.8514270098552
69,0.689989608590232,21596,21912,317,24508.4,1245167.9,0.00180549332361243,50.8057604739599,0.00207299376842062,24508.4,4.08023371578724e-05,50.8036874801915
70,0.700003148912051,21913,22230,318,43228.8,49864560.2,0.00172221984649344,1153.50322470205,0.0266836744184907,43228.8,2.31327263305944e-05,1153.47654102763
71,0.709985200113361,22231,22547,317,13780,616917.4,0.00165532135486785,44.7690420899855,0.00324884195137776,13780,7.25689404934688e-05,44.7657932480341
72,0.71999874043518,22548,22865,318,16632.8,303419,0.00159959850651737,18.2422081669953,0.00109676110859238,16632.8,6.01221682458756e-05,18.2411114058867
73,0.730012280756998,22866,23183,318,19704.8,431597.9,0.00153488747926045,21.9031860257399,0.00111156601567841,19704.8,5.07490560675571e-05,21.9020744597242
74,0.739994331958308,23184,23500,317,33621.2,6931773.7,0.00147084048809245,206.172703532295,0.0061322232261875,33621.2,2.97431382580039e-05,206.166571309069
75,0.750007872280127,23501,23818,318,4731,118069.6,0.00142581620723974,24.9565842316635,0.00527511820580501,4731,0.00021137180300148,24.9513091134577
76,0.759989923481437,23819,24135,317,25505.4,1828573.5,0.00137091858859085,71.6935825354631,0.00281091778742788,25505.4,3.92073835344672e-05,71.6907716176757
77,0.770003463803256,24136,24453,318,20022.4,7138967.6,0.00132300789032415,356.549045069522,0.0178075078446901,20022.4,4.99440626498322e-05,356.531237561677
