"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
89,0.890008502062537,27947,28264,318,16786.4,1829887.2,0.00173868325866443,109.010103417052,0.00649395364205856,16786.4,5.95720345041224e-05,109.00360946341
90,0.899990553263847,28265,28581,317,17150.2,1105291.8,0.00161967107773465,64.4477498804679,0.00375784246717052,17150.2,5.83083579200243e-05,64.4439920380007
91,0.910004093585666,28582,28899,318,19843.2,4528448.1,0.00147302427955779,228.211583817126,0.0115007450319065,19843.2,5.03950975649089e-05,228.200083072094
92,0.919986144786976,28900,29216,317,20214.4,1616698,0.0013236429050098,79.9775407630204,0.00395646374678548,20214.4,4.94696849770461e-05,79.9735842992736
93,0.929999685108795,29217,29534,318,17891.4,1330489.9,0.00116074772622995,74.3647730194395,0.00415645354860098,17891.4,5.58927752998647e-05,74.3606165658909
94,0.940013225430614,29535,29852,318,18302.8,1155782.3,0.000990497250795614,63.1478407675328,0.0034501737858433,18302.8,5.46364490679022e-05,63.144390593747
95,0.949995276631924,29853,30169,317,10893,499976.8,0.000810697502520391,45.8989075553107,0.0042136149412752,10893,9.18020747268888e-05,45.8946939403695
96,0.960008816953743,30170,30487,318,11272,659561.3,0.000624496099993807,58.5132452093683,0.00519102601218669,11272,8.87154009936125e-05,58.5080541833562
97,0.969990868155052,30488,30804,317,12312.8,2727594.3,0.00043201607183053,221.525103956858,0.0179914482454728,12312.8,8.12162952374765e-05,221.507112508612
98,0.980004408476871,30805,31122,318,18864.2,8120952.7,0.00025003904262437,430.495472906352,0.0228207648830245,18864.2,5.3010464265646e-05,430.472652141469
99,0.989986459678181,31123,31439,317,6832.2,263099.4,6.60117072456298e-05,38.5087380346009,0.00563635988914272,6832.2,0.000146365738707883,38.5031016747117
100,1,31440,31757,318,0,0,0,NA,NA,NA,NA,NA
