"feature_id","rank_trt","iod_fitted_trt","cv2_fitted_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_fitted_ctrl","cv2_fitted_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod","composite_cv2","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"433856",1030,1.08888506290472,0.0635079701952179,1,2914,2914,427,1.29827698205872,0.511225101422951,1,2221,2221,728,2.38716204496345,0.574733071618169,1.81242897334528,1,2914,2914
"200535",1107,1.07921372797443,0.0624808063523119,1,2991,2991,378,1.32258056260514,0.516384692602685,1,2172,2172,742,2.40179429057957,0.578865498954997,1.82292879162458,1,2991,2991
"436210",140,1.58141500759902,0.18994128309938,1,2024,2024,1346,1.14321768607783,0.470524916802873,1,3140,3140,743,2.72463269367685,0.660466199902253,2.0641664937746,1,3140,3140
"424272",681,1.17653695097482,0.081393865059411,1,2565,2565,817,1.21696292320382,0.499078601751194,1,2611,2611,749,2.39349987417864,0.580472466810605,1.81302740736804,1,2611,2611
"121081",1481,1.00813764900425,0.0218131592169755,1,3365,3365,21,1.97782698562166,0.640924158269812,1,1815,1815,751,2.98596463462592,0.662737317486787,2.32322731713913,1,3365,3365
"548856",954,1.10718543359604,0.0645452562904154,1,2838,2838,560,1.25525937314717,0.498141201302047,1,2354,2354,757,2.36244480674321,0.562686457592463,1.79975834915075,1,2838,2838
"244056",379,1.3189144962258,0.116772854733687,1,2263,2263,1137,1.17585188744789,0.481685744017966,1,2931,2931,758,2.49476638367369,0.598458598751653,1.89630778492204,1,2931,2931
"405690",86,1.67379274640263,0.2125235916759,1,1970,1970,1443,1.12688122205935,0.465923704042012,1,3237,3237,764,2.80067396846198,0.678447295717913,2.12222667274407,1,3237,3237
"37466",746,1.15803460723095,0.0770334590246762,1,2630,2630,808,1.21855563693236,0.498460356952648,1,2602,2602,777,2.37659024416331,0.575493815977325,1.80109642818599,1,2630,2630
"286713",1086,1.08253533728163,0.0632325720090989,1,2970,2970,472,1.28099681100491,0.50651969777327,1,2266,2266,779,2.36353214828654,0.569752269782369,1.79377987850417,1,2970,2970
"135530",185,1.51936912787311,0.17322653107172,1,2069,2069,1375,1.13864896158384,0.469142187375198,1,3169,3169,780,2.65801808945695,0.642368718446917,2.01564937101003,1,3169,3169
"352636",895,1.1118960620844,0.0580979113187254,1,2779,2779,673,1.23536149643917,0.501325903247846,1,2467,2467,784,2.34725755852357,0.559423814566571,1.78783374395699,1,2779,2779
"535929",719,1.16444817511575,0.0777680824959859,1,2603,2603,855,1.21164306784203,0.495070277483222,1,2649,2649,787,2.37609124295778,0.572838359979208,1.80325288297858,1,2649,2649
"529355",603,1.20351280697946,0.086189602599454,1,2487,2487,998,1.20143113124755,0.494441488336008,1,2792,2792,800,2.40494393822701,0.580631090935462,1.82431284729154,1,2792,2792
"568762",1417,1.01961826601575,0.0284225568635748,1,3301,3301,210,1.48202717409845,0.563122744506625,1,2004,2004,814,2.5016454401142,0.5915453013702,1.910100138744,1,3301,3301
"578490",1301,1.04062681401706,0.0415829198119582,1,3185,3185,340,1.34490517506765,0.520611436862396,1,2134,2134,820,2.38553198908471,0.562194356674354,1.82333763241036,1,3185,3185
"229627",1448,1.013753846561,0.0248879355165741,1,3332,3332,213,1.47683111382969,0.560767825281122,1,2007,2007,830,2.49058496039069,0.585655760797696,1.904929199593,1,3332,3332
"334478",155,1.56020613518112,0.185081393925955,1,2039,2039,1515,1.1145314017308,0.459789805731077,1,3309,3309,835,2.67473753691192,0.644871199657032,2.02986633725489,1,3309,3309
"225383",1449,1.01356114333447,0.0247713754295944,1,3333,3333,299,1.3815974597137,0.536697132391438,1,2093,2093,874,2.39515860304817,0.561468507821033,1.83369009522714,1,3333,3333
"484126",111,1.62890453037745,0.203389201580478,1,1995,1995,1648,1.09528851906245,0.457911197048972,1,3442,3442,880,2.7241930494399,0.66130039862945,2.06289265081045,1,3442,3442
"438129",1115,1.0776210693989,0.0617109919633094,1,2999,2999,659,1.23916175681995,0.501192293710915,1,2453,2453,887,2.31678282621886,0.562903285674224,1.75387954054463,1,2999,2999
"366173",1081,1.08245665405383,0.0629340580325106,1,2965,2965,751,1.2209426220619,0.502071298508554,1,2545,2545,916,2.30339927611573,0.565005356541064,1.73839391957466,1,2965,2965
"93501",292,1.39432615926574,0.135439068879379,1,2176,2176,1546,1.10804091497783,0.458568191466867,1,3340,3340,919,2.50236707424358,0.594007260346245,1.90835981389733,1,3340,3340
"109155",698,1.16965371864592,0.079570835710598,1,2582,2582,1149,1.17343965583569,0.479440821636899,1,2943,2943,924,2.34309337448161,0.559011657347497,1.78408171713411,1,2943,2943
"533653",793,1.1443613817512,0.0751996741640539,1,2677,2677,1054,1.19092565248923,0.492567023506695,1,2848,2848,924,2.33528703424042,0.567766697670748,1.76752033656967,1,2848,2848
"358317",481,1.25526728992935,0.0991360400698653,1,2365,2365,1370,1.1394672819373,0.469269843732938,1,3164,3164,926,2.39473457186665,0.568405883802804,1.82632868806385,1,3164,3164
"394898",440,1.27830624925045,0.105787541972006,1,2324,2324,1425,1.13000967747473,0.466981500773471,1,3219,3219,932,2.40831592672518,0.572769042745477,1.8355468839797,1,3219,3219
"318002",1300,1.04084025527635,0.0417514957678691,1,3184,3184,577,1.25257531624811,0.496886875611068,1,2371,2371,938,2.29341557152446,0.538638371378937,1.75477720014553,1,3184,3184
"60409",999,1.09515360583001,0.0611197962754115,1,2883,2883,901,1.20891551360535,0.497530141319942,1,2695,2695,950,2.30406911943535,0.558649937595353,1.74541918184,1,2883,2883
"249129",1549,0.996476628618751,0.0162572477362772,1,3433,3433,354,1.33612278073031,0.517545568723619,1,2148,2148,952,2.33259940934906,0.533802816459897,1.79879659288916,1,3433,3433
"46507",949,1.10779459363459,0.0641439001642254,1,2833,2833,992,1.20285472136027,0.494480685613951,1,2786,2786,970,2.31064931499486,0.558624585778176,1.75202472921669,1,2833,2833
"430906",1331,1.03485079186748,0.0387102961532264,1,3215,3215,616,1.24417428192669,0.502925793036127,1,2410,2410,974,2.27902507379417,0.541636089189353,1.73738898460482,1,3215,3215
"150270",1701,0.97347759237843,0.00682470689263681,1,3585,3585,262,1.41189128557585,0.54340980246274,1,2056,2056,982,2.38536887795428,0.550234509355377,1.8351343685989,1,3585,3585
"384594",386,1.31425284237002,0.115378303069808,1,2270,2270,1583,1.10477636801954,0.461164408027614,1,3377,3377,984,2.41902921038957,0.576542711097421,1.84248649929215,1,3377,3377
"250872",289,1.39558991630784,0.136288102720314,1,2173,2173,1701,1.08721669739901,0.451892175646307,1,3495,3495,995,2.48280661370686,0.588180278366622,1.89462633534023,1,3495,3495
"282271",304,1.38346618407931,0.133994908774672,1,2188,2188,1687,1.08819357649935,0.453300603729403,1,3481,3481,996,2.47165976057866,0.587295512504075,1.88436424807459,1,3481,3481
