"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.52,16398,16083,16398,316,5.5,23,0.711468020726667,4,0.663911845730027,6.01738604275162,0.927832825026646,3.30728125499917,3.9826181784096,1.70458277565567,1.70458277565567,0.033112582781457,0.105797561840604,0.0514396352294157,0.0801991176829052
0.53,16713,16399,16713,315,3.4,10.2,1.38209763750052,3,0.918367346938776,6.31176647593569,1.71481573588657,2,2.55371380563662,1.22377543162212,1.22377543162212,1.4704940723512e-17,0.158272216757356,0.0591093362253487,0.162921297621269
0.54,17028,16714,17028,315,7.4,28.5,0.337499343206693,5.20833333333333,0.43328135442192,6.37303361048812,0.47888213564953,3.36873709889285,4.10494535821191,2.00148000021012,2.00148000021012,0.0731236203090508,0.0582361792523545,0.0607055720818296,0.0330085380685067
0.55,17344,17029,17344,316,14.6,69.85,0.178628162951251,6,0.315374933375196,5.86699991414005,0.2361908690443,4.71272461980465,4.63959505684857,2.68092769367601,2.68092769367601,0.0993377483443709,0.03392112720001,0.047521519382139,0.0074985170139826
0.56,17659,17345,17659,315,13,49.3,0.232644490930666,5.21875,0.336607981395626,5.34000756334744,0.323588222451871,4.57683063611601,4.19396954267632,2.56494935746154,2.56494935746154,0.0734685430463576,0.0382998765782317,0.0337914160800764,0.016685120045576
0.57,17974,17660,17974,315,9.6,37.3,0.290023646281174,4.69718309859155,0.38158400615148,5.97488572368322,0.371493908019368,3.71875,4.53553161630738,2.26176309847379,2.26176309847379,0.0561981158474023,0.0475749811343504,0.0503323444493842,0.0217206331258473
0.58,18290,17975,18290,316,6.7,20.4,0.560002917113115,4.75,0.523301803868299,6.19370297267548,0.69074734696366,2.46211262282691,3.46314393897147,1.90199613060722,1.90199613060722,0.0579470198675497,0.0768004940253112,0.0560333445273138,0.0552783382015955
0.59,18605,18291,18605,315,9.2,32.7,0.238420446849994,3.97222222222222,0.344387755102041,5.342384635322,0.336677240443685,3.05414066453027,3.77128931233143,2.21920348405499,2.21920348405499,0.0321927888153054,0.039904247238859,0.0338533476123235,0.0180609467459959
0.6,18920,18606,18920,315,10.6,33.5,0.306814291119338,4.03828828828829,0.357638888888889,6.2882913611588,0.416487893644329,3.33333333333333,4.65437300972586,2.36085400111802,2.36085400111802,0.0343804068969632,0.0426369398684835,0.0584977225075601,0.0264500885227188
0.61,19236,18921,19236,316,4.5,12.2,0.686774529648194,3.18438914027149,0.516222913452389,5.35086536358836,0.901662281213497,2.28099173553719,3.26147977909751,1.50383042220963,1.50383042220963,0.00610560067124152,0.0753406618345987,0.0340743020056819,0.0774482518070114
0.62,19551,19237,19551,315,7.4,22.3,0.477373037033427,4,0.46156274177548,6.12190591763295,0.606420192701316,2.73220229289941,3.18607353692358,2.00148000021012,2.00148000021012,0.033112582781457,0.0640684604759685,0.0541627652275664,0.0464144531892036
0.63,19866,19552,19866,315,16.8,60.3,0.157833299147439,5.26587301587302,0.227797001153403,4.97335615916543,0.230456725453863,4.16638483446066,4.33168713376264,2.82137888640921,2.82137888640921,0.0750289078103648,0.0158605164062539,0.0242387885178474,0.00689578364921084
0.64,20182,19867,20182,316,17,67.75,0.174734304960801,4.6421568627451,0.240796154385849,5.61021501860928,0.240813810962883,4.08207472841509,4.54775724300053,2.83321334405622,2.83321334405622,0.0543760550577847,0.0185412447726766,0.0408313214376259,0.00798444857355839
0.65,20497,20183,20497,315,12.2,39.7,0.219682730483976,4.02325581395349,0.290798611111111,5.24901549839392,0.313355794680819,3.11357490535425,4.09871104566449,2.50143595173921,2.50143595173921,0.033882642846142,0.0288529167514067,0.0314207356525507,0.0156095582772036
0.66,20812,20498,20812,315,12.2,38.3,0.214351237970015,3.6875,0.312992367214033,4.9577441148375,0.293189779713377,3.2265625,3.58957042646474,2.50143595173921,2.50143595173921,0.0227649006622517,0.0334297865273601,0.0238320369187845,0.0134898467869584
0.67,21128,20813,21128,316,0.6,1.8,4.26436479635514,3,5,6.28740550503174,5.73284163957502,-2,-1.86059463925375,-0.510825623765991,-0.510825623765991,1.4704940723512e-17,1,0.0584746426732569,0.585268285357937
0.68,21443,21129,21443,315,15,56.7,0.176141168762093,3.92857142857143,0.236355924215289,4.75982986267728,0.237697920909428,3.36148053196603,3.94896203260636,2.70805020110221,2.70805020110221,0.0307473982970672,0.0176255658235312,0.018675637356204,0.00765692784329449
