"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank"
"170278","Sorcs2",-0.000795691141899813,0.000795691141899813,26556,"Sorcs2",0.000375213822896601,0.000375213822896601,29227,"Sorcs2",27892
"313487","Serinc1",0.000929436834407679,0.000929436834407679,25897,"Serinc1",0.000241992440598295,0.000241992440598295,29900,"Serinc1",27898
"331576","Scg5",-0.00051307452377401,0.00051307452377401,28023,"Scg5",-0.000685364597579877,0.000685364597579877,27775,"Scg5",27899
"309930","-",0.000561082744591917,0.000561082744591917,27788,"-",-0.000630217778309628,0.000630217778309628,28013,"-",27900
"9935","Cox6b1",-0.000157522955425814,0.000157522955425814,29996,"Cox6b1",0.00110720249897244,0.00110720249897244,25803,"Cox6b1",27900
"359251","Ptpn1",0.000968161146330536,0.000968161146330536,25697,"Ptpn1",-0.000196685791692858,0.000196685791692858,30111,"Ptpn1",27904
"303870","Extl2",-0.000760406489550448,0.000760406489550448,26739,"Extl2",-0.000409642479275048,0.000409642479275048,29071,"Extl2",27905
"223090","Klhl3",0.000435178760878433,0.000435178760878433,28477,"Klhl3",0.000773387516031383,0.000773387516031383,27333,"Klhl3",27905
"181950","Ednrb",0.000662005465996211,0.000662005465996211,27261,"Ednrb",0.00051198910206022,0.00051198910206022,28572,"Ednrb",27916
"453170","Map4k3",-0.000167985856037439,0.000167985856037439,29906,"Map4k3",-0.0010822123042586,0.0010822123042586,25929,"Map4k3",27918
"537219","Fhl2",-0.000705572768935849,0.000705572768935849,27027,"Fhl2",0.000462699004935941,0.000462699004935941,28813,"Fhl2",27920
"309239","Pacsin1",0.000748399130208249,0.000748399130208249,26809,"Pacsin1",0.000419371323967792,0.000419371323967792,29035,"Pacsin1",27922
"201177","Ank1",-0.000809138311547237,0.000809138311547237,26492,"Ank1",-0.000346364218150365,0.000346364218150365,29368,"Ank1",27930
"34843","Pdcd6",-0.000571467531128313,0.000571467531128313,27737,"Pdcd6",0.000607491117810659,0.000607491117810659,28122,"Pdcd6",27930
"500652","Znf740",0.000368584927732699,0.000368584927732699,28826,"Znf740",0.000838122861259438,0.000838122861259438,27034,"Znf740",27930
"455328","-",-0.000762259872372727,0.000762259872372727,26731,"-",-0.000395304702139843,0.000395304702139843,29131,"-",27931
"509846","Tpm1",-0.000507531407098295,0.000507531407098295,28055,"Tpm1",0.000677126324028671,0.000677126324028671,27807,"Tpm1",27931
"422580","Calb1",0.000473237418674394,0.000473237418674394,28247,"Calb1",-0.000716358370176834,0.000716358370176834,27615,"Calb1",27931
"25852","Rtn3",0.000403739488379535,0.000403739488379535,28634,"Rtn3",0.000798150550025886,0.000798150550025886,27228,"Rtn3",27931
"170632","-",0.00024913301480185,0.00024913301480185,29467,"-",0.000978128972950742,0.000978128972950742,26396,"-",27932
"394497","Mgll",0.00022400567696857,0.00022400567696857,29595,"Mgll",-0.00100864635607397,0.00100864635607397,26274,"Mgll",27934
"508530","Islr",-0.000548571275879513,0.000548571275879513,27848,"Islr",0.000628853287967696,0.000628853287967696,28022,"Islr",27935
"21951","Coro1a",-0.000856986209819271,0.000856986209819271,26254,"Coro1a",0.000299826532013971,0.000299826532013971,29617,"Coro1a",27936
"320337","Sec63",-0.00046942973291631,0.00046942973291631,28265,"Sec63",-0.000717646570235407,0.000717646570235407,27608,"Sec63",27936
"25462","Snx15",-0.000329578858618896,0.000329578858618896,29024,"Snx15",-0.00087921814123999,0.00087921814123999,26847,"Snx15",27936
"558203","Ubqln2",0.00045323114222563,0.00045323114222563,28371,"Ubqln2",-0.000738392811368022,0.000738392811368022,27506,"Ubqln2",27938
"82289","Rsl1d1",0.000483369187572424,0.000483369187572424,28187,"Rsl1d1",0.000701481596080063,0.000701481596080063,27693,"Rsl1d1",27940
"23980","-",-0.000904664653971113,0.000904664653971113,26043,"-",-0.00025690116376389,0.00025690116376389,29842,"-",27942
"424776","Ccdc107",0.000125487494047875,0.000125487494047875,30176,"Ccdc107",0.00112743584237127,0.00112743584237127,25710,"Ccdc107",27943
"339405","Taf4",0.000730387768307742,0.000730387768307742,26906,"Taf4",-0.000429770980815563,0.000429770980815563,28983,"Taf4",27944
"9967","Tmem147",-0.000121830206417879,0.000121830206417879,30197,"Tmem147",-0.00112932616204167,0.00112932616204167,25701,"Tmem147",27949
"296215","Setd7",0.000382519181791007,0.000382519181791007,28747,"Setd7",-0.000810207631569404,0.000810207631569404,27155,"Setd7",27951
"141093","Stum",2.9711530846338e-05,2.9711530846338e-05,30742,"Stum",0.00124150004249676,0.00124150004249676,25169,"Stum",27956
"261948","Def8",0.000320476511036647,0.000320476511036647,29071,"Def8",0.000879784140085365,0.000879784140085365,26843,"Def8",27957
"70563","Zfp287",0.000917462029031274,0.000917462029031274,25971,"Zfp287",-0.000232479185963967,0.000232479185963967,29948,"Zfp287",27960
"313860","Cdc40",-0.000681870407979803,0.000681870407979803,27134,"Cdc40",-0.000469555810835938,0.000469555810835938,28787,"Cdc40",27960
"520747","Lnc215",0.000603749015815339,0.000603749015815339,27550,"Lnc215",0.000553147344968998,0.000553147344968998,28369,"Lnc215",27960
"511225","Tmem30a",-0.000324608301646027,0.000324608301646027,29044,"Tmem30a",-0.000871708451906518,0.000871708451906518,26876,"Tmem30a",27960
"91615","Mir632",-0.000238666676218586,0.000238666676218586,29527,"Mir632",-0.000978739150398684,0.000978739150398684,26393,"Mir632",27960
"406353","Tomm5",0.000470781681006527,0.000470781681006527,28258,"Tomm5",0.000706939503966418,0.000706939503966418,27666,"Tomm5",27962
"267016","Ndufs4",0.00076849622750426,0.00076849622750426,26703,"Ndufs4",0.000375784806744792,0.000375784806744792,29223,"Ndufs4",27963
"171219","Rasl10a",0.000456938866161697,0.000456938866161697,28335,"Rasl10a",-0.000720121091418115,0.000720121091418115,27597,"Rasl10a",27966
"91694","Cdk5r1",-8.70941338305879e-05,8.70941338305879e-05,30428,"Cdk5r1",0.00117117750397503,0.00117117750397503,25505,"Cdk5r1",27966
"89310","Kif1c",-0.000197394011688287,0.000197394011688287,29746,"Kif1c",-0.00102797291674994,0.00102797291674994,26191,"Kif1c",27968
"277880","Arnt",-0.00076284706940758,0.00076284706940758,26724,"Arnt",-0.000375748065286779,0.000375748065286779,29224,"Arnt",27974
"193890","Zcchc24",-0.000751876698657023,0.000751876698657023,26784,"Zcchc24",0.000389569116976076,0.000389569116976076,29164,"Zcchc24",27974
"436533","Fam131c",0.000127280883686142,0.000127280883686142,30167,"Fam131c",0.00111102529627106,0.00111102529627106,25780,"Fam131c",27974
"214210","Fbxl21",0.000522364868923967,0.000522364868923967,27970,"Fbxl21",-0.000634835832299983,0.000634835832299983,27984,"Fbxl21",27977
"346150","Metap1d",4.12597210801245e-06,4.12597210801245e-06,30889,"Metap1d",-0.00126325841279034,0.00126325841279034,25065,"Metap1d",27977
"556433","-",0,0,31484,"-",-0.00139730808509406,0.00139730808509406,24472,"-",27978
"578070","Abcd1",-0.000760569696946052,0.000760569696946052,26737,"Abcd1",0.000375585708554185,0.000375585708554185,29226,"Abcd1",27982
"540437","Zfp142",0.000263678725377573,0.000263678725377573,29388,"Zfp142",-0.000938511115684404,0.000938511115684404,26577,"Zfp142",27982
"367931","Wdr91",0.00106412186561198,0.00106412186561198,25206,"Wdr91",5.91160520767909e-05,5.91160520767909e-05,30760,"Wdr91",27983
"440649","Snx17",0.00109561606837811,0.00109561606837811,25043,"Snx17",-1.95338075658376e-05,1.95338075658376e-05,30925,"Snx17",27984
"456549","Eipr1",-0.00107350937242377,0.00107350937242377,25159,"Eipr1",4.89720965367186e-05,4.89720965367186e-05,30810,"Eipr1",27984
"397141","Tatdn2",-0.000123578346459082,0.000123578346459082,30189,"Tatdn2",-0.00111111738632276,0.00111111738632276,25779,"Tatdn2",27984
"486446","Pias4",-0.00056403165654318,0.00056403165654318,27771,"Pias4",0.00059016834579504,0.00059016834579504,28205,"Pias4",27988
"469465","Tle5",-0.00094898287486874,0.00094898287486874,25814,"Tle5",-0.000185098487948212,0.000185098487948212,30179,"Tle5",27996
"487147","LOC120093537",0.000771303186832663,0.000771303186832663,26691,"LOC120093537",0.000362896308336843,0.000362896308336843,29300,"LOC120093537",27996
"122068","Setd1b",0.000500140888454128,0.000500140888454128,28100,"Setd1b",0.000660532032667574,0.000660532032667574,27892,"Setd1b",27996
"333547","Fahd2a",-0.000416251140395784,0.000416251140395784,28573,"Fahd2a",-0.000757541720579939,0.000757541720579939,27423,"Fahd2a",27998
"459697","Rps10l1",0.000380096328634815,0.000380096328634815,28761,"Rps10l1",0.000794959383352475,0.000794959383352475,27242,"Rps10l1",28002
"78555","Cyb561",0.000363213330287163,0.000363213330287163,28856,"Cyb561",-0.000812210355137034,0.000812210355137034,27149,"Cyb561",28002
"65799","Rab40c",9.54179071513804e-05,9.54179071513804e-05,30371,"Rab40c",0.00114327603649003,0.00114327603649003,25635,"Rab40c",28003
"426648","Ptbp3",-0.000118706330827123,0.000118706330827123,30207,"Ptbp3",-0.00110526784497198,0.00110526784497198,25809,"Ptbp3",28008
"444907","Fbxo33",-0.000689934005624086,0.000689934005624086,27099,"Fbxo33",-0.000440571550485624,0.000440571550485624,28924,"Fbxo33",28012
"399803","Strap",-9.78804986194258e-05,9.78804986194258e-05,30361,"Strap",0.00113858764708836,0.00113858764708836,25662,"Strap",28012
"135445","Rnpep",-0.00079094251460893,0.00079094251460893,26574,"Rnpep",0.00033342128757085,0.00033342128757085,29452,"Rnpep",28013
"243240","Zmat2",0.000600493217338,0.000600493217338,27569,"Zmat2",-0.000534941840875053,0.000534941840875053,28458,"Zmat2",28014
"486934","Shc2",0.00060468723101899,0.00060468723101899,27545,"Shc2",0.000529061352430221,0.000529061352430221,28488,"Shc2",28016
"275897","Gria2",0.000763757888208306,0.000763757888208306,26720,"Gria2",0.000358090235179547,0.000358090235179547,29317,"Gria2",28018
"387210","Akr1b10",0.000629190890315656,0.000629190890315656,27413,"Akr1b10",-0.000500323646178951,0.000500323646178951,28624,"Akr1b10",28018
"130019","Trafd1",0.000304160231489376,0.000304160231489376,29173,"Trafd1",0.000873756658942469,0.000873756658942469,26867,"Trafd1",28020
"313937","Smpd2",-0.00091648153011452,0.00091648153011452,25976,"Smpd2",-0.000206524439296926,0.000206524439296926,30072,"Smpd2",28024
"480652","Naprt",0.000337472250348987,0.000337472250348987,28970,"Naprt",0.000828464639201216,0.000828464639201216,27080,"Naprt",28025
"244541","-",-0.000146479340001705,0.000146479340001705,30068,"-",0.00106943373697848,0.00106943373697848,26001,"-",28034
"577474","-",-4.6411977137251e-06,4.6411977137251e-06,30884,"-",-0.00123512847994654,0.00123512847994654,25195,"-",28040
"54488","Adam12",0.000266319334817404,0.000266319334817404,29379,"Adam12",-0.000914665182707079,0.000914665182707079,26705,"Adam12",28042
"536669","Aff3",-0.000973240265518009,0.000973240265518009,25679,"Aff3",-0.000135062233994473,0.000135062233994473,30407,"Aff3",28043
"416124","Sh3bgrl3",-0.00021889838990027,0.00021889838990027,29629,"Sh3bgrl3",-0.000966235133367967,0.000966235133367967,26459,"Sh3bgrl3",28044
"86360","P4ha2",-0.000416783864028332,0.000416783864028332,28569,"P4ha2",0.000734341073650512,0.000734341073650512,27524,"P4ha2",28046
"515030","Tma7",0.000998863308738136,0.000998863308738136,25545,"Tma7",0.0001024602534259,0.0001024602534259,30552,"Tma7",28048
"453782","Dpy30",0.000574176891677858,0.000574176891677858,27718,"Dpy30",0.000549565894062831,0.000549565894062831,28387,"Dpy30",28052
"474067","Atxn7l3b",-0.000665537285500406,0.000665537285500406,27222,"Atxn7l3b",-0.000448979910312103,0.000448979910312103,28891,"Atxn7l3b",28056
"466303","Papola",-0.000524570684652572,0.000524570684652572,27962,"Papola",-0.000601004458155592,0.000601004458155592,28150,"Papola",28056
"33731","Tbpl1",0.000524000970873327,0.000524000970873327,27963,"Tbpl1",0.000602525328182696,0.000602525328182696,28149,"Tbpl1",28056
"578185","Gdi1",0.000847015798715826,0.000847015798715826,26300,"Gdi1",-0.000262297735583911,0.000262297735583911,29814,"Gdi1",28057
"120769","-",0.000760043320360589,0.000760043320360589,26740,"-",0.000342077782983566,0.000342077782983566,29386,"-",28063
"560141","Dmd",0.000617979454753885,0.000617979454753885,27477,"Dmd",-0.000495692981597115,0.000495692981597115,28650,"Dmd",28064
"122498","Hectd4",0.000183871891866212,0.000183871891866212,29832,"Hectd4",0.00100204416565067,0.00100204416565067,26302,"Hectd4",28067
"269563","Car2",-0.000554731523078215,0.000554731523078215,27822,"Car2",0.000567252682085899,0.000567252682085899,28315,"Car2",28068
"257357","RGD1308706",1.09799512063539e-06,1.09799512063539e-06,30895,"RGD1308706",0.00122609139813323,0.00122609139813323,25242,"RGD1308706",28068
"322154","Ier5l",0.00022943414558513,0.00022943414558513,29570,"Ier5l",0.000940652644169656,0.000940652644169656,26570,"Ier5l",28070
"406531","Coro2a",0.000499958194560633,0.000499958194560633,28102,"Coro2a",0.000623696650076124,0.000623696650076124,28040,"Coro2a",28071
"315231","Mrps18b",0.000357833778107532,0.000357833778107532,28878,"Mrps18b",0.000789815385460057,0.000789815385460057,27265,"Mrps18b",28072
"88944","Zbtb4",0.000175944782646707,0.000175944782646707,29870,"Zbtb4",0.00100300927296643,0.00100300927296643,26292,"Zbtb4",28081
"111932","Ttc3",0.000905020319160502,0.000905020319160502,26040,"Ttc3",0.000193526007044413,0.000193526007044413,30124,"Ttc3",28082
"9936","Cox6b1",0,0,31580,"Cox6b1",-0.00137176169060856,0.00137176169060856,24586,"Cox6b1",28083
"327525","-",0.000846920777946097,0.000846920777946097,26302,"-",0.000251230474958711,0.000251230474958711,29866,"-",28084
"334379","Gpcpd1",0.000516241702518084,0.000516241702518084,28002,"Gpcpd1",-0.000596118539183111,0.000596118539183111,28171,"Gpcpd1",28086
"210973","Plekha2",-0.00010370568236885,0.00010370568236885,30327,"Plekha2",0.00109775628518293,0.00109775628518293,25845,"Plekha2",28086
"63758","Rbfox1",-0.000749687534523629,0.000749687534523629,26800,"Rbfox1",0.000343951502634163,0.000343951502634163,29381,"Rbfox1",28090
"322219","-",0.000284390130366727,0.000284390130366727,29298,"-",-0.000869721294756219,0.000869721294756219,26886,"-",28092
"474231","-",-0.000850879999081066,0.000850879999081066,26280,"-",-0.000239912439020131,0.000239912439020131,29909,"-",28094
"556839","Usp11",0.000291820647251066,0.000291820647251066,29239,"Usp11",-0.000853015178743836,0.000853015178743836,26956,"Usp11",28098
"102537","Cldnd1",-8.75030358323538e-05,8.75030358323538e-05,30427,"Cldnd1",0.00111318650222258,0.00111318650222258,25772,"Cldnd1",28100
