"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
116,"44165",0,0,0,0,0,0,0,0,0,-0.0890111599755123,-0.000261402888645957,5.44669279279908e-08
117,"44628",0,0,0,0,0,0,0,0,0,-0.0892725355288636,-0.000261348116225872,5.50779122425405e-08
118,"45323",0,0,0,0,0,0,0,0,0,-0.0895338560043026,-0.000261292732821472,5.56888965570902e-08
119,"46126",0,0,0,0,0,0,0,0,0,-0.0897951207908451,-0.000261236738432758,5.62998808716399e-08
120,"46486",0,0,0,0,0,0,0,0,0,-0.0900563292775067,-0.000261180133059729,5.69108651861896e-08
121,"47506",0,0,0,0,0,0,0,0,0,-0.0903174808533031,-0.000261122916702385,5.75218495007393e-08
122,"49550",0,0,0,0,0,0,0,0,0,-0.09057857490725,-0.000261065089360727,5.8132833815289e-08
123,"49779",0,0,0,0,0,0,0,0,0,-0.0908396108283632,-0.000261006651034755,5.87438181298387e-08
124,"49780",0,0,0,0,0,0,0,0,0,-0.0911005880056581,-0.000260947601724468,5.93548024443884e-08
125,"50560",0,0,0,0,0,0,0,0,0,-0.0913615058281506,-0.000260887941429866,5.99657867589381e-08
126,"51131",0,0,0,0,0,0,0,0,0,-0.0916223636848564,-0.00026082767015095,6.05767710734878e-08
127,"51725",0,0,0,0,0,0,0,0,0,-0.0918831609647911,-0.000260766787887719,6.11877553880375e-08
128,"51746",0,0,0,0,0,0,0,0,0,-0.0921438970569704,-0.000260705294640174,6.17987397025872e-08
129,"52285",0,0,0,0,0,0,0,0,0,-0.09240457135041,-0.000260643190408314,6.2409724017137e-08
130,"52869",0,0,0,0,0,0,0,0,0,-0.0926651832341256,-0.00026058047519214,6.30207083316867e-08
131,"52948",0,0,0,0,0,0,0,0,0,-0.0929257320971328,-0.000260517148991651,6.36316926462364e-08
132,"53311",0,0,0,0,0,0,0,0,0,-0.0931862173284475,-0.000260453211806847,6.4242676960786e-08
133,"53450",0,0,0,0,0,0,0,0,0,-0.0934466383170851,-0.000260388663637729,6.48536612753358e-08
134,"54190",0,0,0,0,0,0,0,0,0,-0.0937069944520615,-0.000260323504484296,6.54646455898855e-08
135,"54469",0,0,0,0,0,0,0,0,0,-0.0939672851223923,-0.000260257734346549,6.60756299044352e-08
136,"54850",0,0,0,0,0,0,0,0,0,-0.0942275097170931,-0.000260191353224488,6.66866142189849e-08
137,"55080",0,0,0,0,0,0,0,0,0,-0.0944876676251798,-0.000260124361118111,6.72975985335346e-08
138,"55738",0,0,0,0,0,0,0,0,0,-0.0947477582356679,-0.00026005675802742,6.79085828480843e-08
139,"56078",0,0,0,0,0,0,0,0,0,-0.0950077809375732,-0.000259988543952415,6.8519567162634e-08
140,"56217",0,0,0,0,0,0,0,0,0,-0.0952677351199113,-0.000259919718893095,6.91305514771837e-08
141,"56299",0,0,0,0,0,0,0,0,0,-0.095527620171698,-0.000259850282849461,6.97415357917334e-08
142,"57342",0,0,0,0,0,0,0,0,0,-0.0957874354819488,-0.000259780235821512,7.03525201062831e-08
143,"57482",0,0,0,0,0,0,0,0,0,-0.0960471804396795,-0.000259709577809248,7.09635044208328e-08
144,"57487",0,0,0,0,0,0,0,0,0,-0.0963068544339059,-0.00025963830881267,7.15744887353825e-08
145,"59338",0,0,0,0,0,0,0,0,0,-0.0965664568536434,-0.000259566428831777,7.21854730499322e-08
146,"59543",0,0,0,0,0,0,0,0,0,-0.096825987087908,-0.00025949393786657,7.27964573644819e-08
147,"60018",0,0,0,0,0,0,0,0,0,-0.0970854445257152,-0.000259420835917048,7.34074416790316e-08
148,"60551",0,0,0,0,0,0,0,0,0,-0.0973448285560806,-0.000259347122983212,7.40184259935813e-08
149,"60651",0,0,0,0,0,0,0,0,0,-0.0976041385680201,-0.000259272799065061,7.4629410308131e-08
150,"60661",0,0,0,0,0,0,0,0,0,-0.0978633739505493,-0.000259197864162596,7.52403946226807e-08
151,"60764",0,0,0,0,0,0,0,0,0,-0.0981225340926839,-0.000259122318275816,7.58513789372304e-08
152,"61340",0,0,0,0,0,0,0,0,0,-0.0983816183834395,-0.000259046161404721,7.64623632517801e-08
153,"61418",0,0,0,0,0,0,0,0,0,-0.0986406262118319,-0.000258969393549312,7.70733475663298e-08
154,"61768",0,0,0,0,0,0,0,0,0,-0.0988995569668767,-0.000258892014709589,7.76843318808796e-08
155,"62254",0,0,0,0,0,0,0,0,0,-0.0991584100375896,-0.000258814024885551,7.82953161954293e-08
156,"62662",0,0,0,0,0,0,0,0,0,-0.0994171845190974,-0.000258734542410327,8.06696342522249e-08
157,"63502",0,0,0,0,0,0,0,0,0,-0.0996758783309709,-0.000258652685617046,8.30439523090206e-08
158,"64538",0,0,0,0,0,0,0,0,0,-0.0999344890988921,-0.000258568454505709,8.54182703658162e-08
159,"65114",0,0,0,0,0,0,0,0,0,-0.100193014448543,-0.000258481849076315,8.77925884226119e-08
160,"65138",0,0,0,0,0,0,0,0,0,-0.100451452005605,-0.000258392869328864,9.01669064794076e-08
161,"65149",0,0,0,0,0,0,0,0,0,-0.100709799395761,-0.000258301515263356,9.25412245362032e-08
162,"65155",0,0,0,0,0,0,0,0,0,-0.100968054244693,-0.000258207786879791,9.49155425929989e-08
163,"65774",0,0,0,0,0,0,0,0,0,-0.101226214178082,-0.00025811168417817,9.72898606497945e-08
164,"66062",0,0,0,0,0,0,0,0,0,-0.10148427682161,-0.000258013207158492,9.96641787065902e-08
165,"66239",0,0,0,0,0,0,0,0,0,-0.101742239800959,-0.000257912355820757,1.02038496763386e-07
166,"66344",0,0,0,0,0,0,0,0,0,-0.102000100741812,-0.000257809130164965,1.04412814820182e-07
167,"68733",0,0,0,0,0,0,0,0,0,-0.10225785726985,-0.000257703530191116,1.06787132876977e-07
168,"68826",0,0,0,0,0,0,0,0,0,-0.102515507010755,-0.000257595555899211,1.09161450933773e-07
169,"68944",0,0,0,0,0,0,0,0,0,-0.102773047590209,-0.000257485207289249,1.11535768990568e-07
170,"69012",0,0,0,0,0,0,0,0,0,-0.103030476633894,-0.00025737248436123,1.13910087047364e-07
171,"69589",0,0,0,0,0,0,0,0,0,-0.103287791767492,-0.000257257387115154,1.1628440510416e-07
172,"69905",0,0,0,0,0,0,0,0,0,-0.103544990616685,-0.000257139915551021,1.18658723160955e-07
173,"70034",0,0,0,0,0,0,0,0,0,-0.103802070807155,-0.000257020069668832,1.21033041217751e-07
