"feature_id","gene_symbol","rank","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap"
"96247","Cep112",213,0,0,0,0,0,NA,0,0,0,NA,0
"96523","Prkar1a",214,0,0,0,0,0,NA,0,0,0,NA,0
"96766","Slc39a11",215,0,0,0,0,0,NA,0,0,0,NA,0
"96871","LOC120095212",216,0,0,0,0,0,NA,0,0,0,NA,0
"97125","Sap30bp",217,0,0,0,0,0,NA,0,0,0,NA,0
"97574","-",218,0,0,0,0,0,NA,0,0,0,NA,0
"97686","-",219,0,0,0,0,0,NA,0,0,0,NA,0
"98571","Cadm2",220,0,0,0,0,0,NA,0,0,0,NA,0
"99255","Robo2",221,0,0,0,0,0,NA,0,0,0,NA,0
"101465","LOC120095623",222,0,0,0,0,0,NA,0,0,0,NA,0
"101706","Vps26c",223,0,0,0,0,0,NA,0,0,0,NA,0
"101737","Kcnj6",224,0,0,0,0,0,NA,0,0,0,NA,0
"102854","Nxpe3",225,0,0,0,0,0,NA,0,0,0,NA,0
"103455","Usf3",226,0,0,0,0,0,NA,0,0,0,NA,0
"104046","Lsamp",227,0,0,0,0,0,NA,0,0,0,NA,0
"104291","Lsamp",228,0,0,0,0,0,NA,0,0,0,NA,0
"106428","Ccdc14",229,0,0,0,0,0,NA,0,0,0,NA,0
"106539","Slc12a8",230,0,0,0,0,0,NA,0,0,0,NA,0
"107067","Pigz",231,0,0,0,0,0,NA,0,0,0,NA,0
"107238","Fam43a",232,0,0,0,0,0,NA,0,0,0,NA,0
"107697","-",233,0,0,0,0,0,NA,0,0,0,NA,0
"108041","Fam131a",234,0,0,0,0,0,NA,0,0,0,NA,0
"108141","LOC102551647",235,0,0,0,0,0,NA,0,0,0,NA,0
"108699","Pi4ka",236,0,0,0,0,0,NA,0,0,0,NA,0
"108741","Ppil2",237,0,0,0,0,0,NA,0,0,0,NA,0
"108768","Mapk1",238,0,0,0,0,0,NA,0,0,0,NA,0
"109051","-",239,0,0,0,0,0,NA,0,0,0,NA,0
"109152","-",240,0,0,0,0,0,NA,0,0,0,NA,0
"109857","Robo1",241,0,0,0,0,0,NA,0,0,0,NA,0
"111191","Mrap",242,0,0,0,0,0,NA,0,0,0,NA,0
"112593","Epha6",243,0,0,0,0,0,NA,0,0,0,NA,0
"112739","St3gal6",244,0,0,0,0,0,NA,0,0,0,NA,0
"114907","Kalrn",245,0,0,0,0,0,NA,0,0,0,NA,0
"114932","Kalrn",246,0,0,0,0,0,NA,0,0,0,NA,0
"114956","Kalrn",247,0,0,0,0,0,NA,0,0,0,NA,0
"115261","Rnf168",248,0,0,0,0,0,NA,0,0,0,NA,0
"115301","Pigx",249,0,0,0,0,0,NA,0,0,0,NA,0
"115669","Atp13a5",250,0,0,0,0,0,NA,0,0,0,NA,0
"116087","-",251,0,0,0,0,0,NA,0,0,0,NA,0
"116115","-",252,0,0,0,0,0,NA,0,0,0,NA,0
"116220","-",253,0,0,0,0,0,NA,0,0,0,NA,0
"116994","Lrrc74b",254,0,0,0,0,0,NA,0,0,0,NA,0
"117024","Pi4ka",255,0,0,0,0,0,NA,0,0,0,NA,0
"117145","Ppil2",256,0,0,0,0,0,NA,0,0,0,NA,0
"117474","N4bp2l2",257,0,0,0,0,0,NA,0,0,0,NA,0
"117645","-",258,0,0,0,0,0,NA,0,0,0,NA,0
"117743","Elavl1",259,0,0,0,0,0,NA,0,0,0,NA,0
"117795","LOC683489",260,0,0,0,0,0,NA,0,0,0,NA,0
"118135","LOC103690996",261,0,0,0,0,0,NA,0,0,0,NA,0
"118444","Wasf3",262,0,0,0,0,0,NA,0,0,0,NA,0
"118507","Cdk8",263,0,0,0,0,0,NA,0,0,0,NA,0
"119357","Card11",264,0,0,0,0,0,NA,0,0,0,NA,0
"119480","Mafk",265,0,0,0,0,0,NA,0,0,0,NA,0
"119785","LOC102554019",266,0,0,0,0,0,NA,0,0,0,NA,0
"119825","LOC102554070",267,0,0,0,0,0,NA,0,0,0,NA,0
"121259","Sfswap",268,0,0,0,0,0,NA,0,0,0,NA,0
"121614","-",269,0,0,0,0,0,NA,0,0,0,NA,0
"121993","Bcl7a",270,0,0,0,0,0,NA,0,0,0,NA,0
"122325","Ppp1cc",271,0,0,0,0,0,NA,0,0,0,NA,0
"122430","Brap",272,0,0,0,0,0,NA,0,0,0,NA,0
"123434","Bicdl1",273,0,0,0,0,0,NA,0,0,0,NA,0
"123894","Grk3",274,0,0,0,0,0,NA,0,0,0,NA,0
"123946","-",275,0,0,0,0,0,NA,0,0,0,NA,0
"124001","Pitpnb",276,0,0,0,0,0,NA,0,0,0,NA,0
"124297","Zfp605",277,0,0,0,0,0,NA,0,0,0,NA,0
"124439","LOC120095866",278,0,0,0,0,0,NA,0,0,0,NA,0
"124755","Cers4",279,0,0,0,0,0,NA,0,0,0,NA,0
"124962","LOC120095877",280,0,0,0,0,0,NA,0,0,0,NA,0
"125473","Pdap1",281,0,0,0,0,0,NA,0,0,0,NA,0
"125629","Tecpr1",282,0,0,0,0,0,NA,0,0,0,NA,0
"126007","LOC120095892",283,0,0,0,0,0,NA,0,0,0,NA,0
"126179","Ttyh3",284,0,0,0,0,0,NA,0,0,0,NA,0
"126373","LOC498154",285,0,0,0,0,0,NA,0,0,0,NA,0
"126708","Zscan21",286,0,0,0,0,0,NA,0,0,0,NA,0
"126847","Agfg2",287,0,0,0,0,0,NA,0,0,0,NA,0
"127387","-",288,0,0,0,0,0,NA,0,0,0,NA,0
"127425","-",289,0,0,0,0,0,NA,0,0,0,NA,0
"128246","Galnt17",290,0,0,0,0,0,NA,0,0,0,NA,0
"128348","Tpst1",291,0,0,0,0,0,NA,0,0,0,NA,0
"128844","Dhx37",292,0,0,0,0,0,NA,0,0,0,NA,0
"129341","Kntc1",293,0,0,0,0,0,NA,0,0,0,NA,0
"129533","LOC120095967",294,0,0,0,0,0,NA,0,0,0,NA,0
"129702","Ift81",295,0,0,0,0,0,NA,0,0,0,NA,0
"130718","Gcn1",296,0,0,0,0,0,NA,0,0,0,NA,0
"131542","-",297,0,0,0,0,0,NA,0,0,0,NA,0
"131708","Fbrsl1",298,0,0,0,0,0,NA,0,0,0,NA,0
"132596","-",299,0,0,0,0,0,NA,0,0,0,NA,0
"132609","-",300,0,0,0,0,0,NA,0,0,0,NA,0
"133172","Gli2",301,0,0,0,0,0,NA,0,0,0,NA,0
"133345","Marco",302,0,0,0,0,0,NA,0,0,0,NA,0
"133439","-",303,0,0,0,0,0,NA,0,0,0,NA,0
"135103","Atp2b4",304,0,0,0,0,0,NA,0,0,0,NA,0
"135257","Lnc134",305,0,0,0,0,0,NA,0,0,0,NA,0
"135737","Camsap2",306,0,0,0,0,0,NA,0,0,0,NA,0
"135829","-",307,0,0,0,0,0,NA,0,0,0,NA,0
"135879","Nek7",308,0,0,0,0,0,NA,0,0,0,NA,0
"136094","-",309,0,0,0,0,0,NA,0,0,0,NA,0
"136201","LOC108352547",310,0,0,0,0,0,NA,0,0,0,NA,0
"136381","-",311,0,0,0,0,0,NA,0,0,0,NA,0
"136414","Odr4",312,0,0,0,0,0,NA,0,0,0,NA,0
"138049","Prdx6",313,0,0,0,0,0,NA,0,0,0,NA,0
"138432","LOC498264",314,0,0,0,0,0,NA,0,0,0,NA,0
"139459","LOC498276",315,0,0,0,0,0,NA,0,0,0,NA,0
"139554","Ppox",316,0,0,0,0,0,NA,0,0,0,NA,0
"139563","Usp21",317,0,0,0,0,0,NA,0,0,0,NA,0
"139647","LOC103692288",318,0,0,0,0,0,NA,0,0,0,NA,0
"139974","-",319,0,0,0,0,0,NA,0,0,0,NA,0
"140336","Pld5",320,0,0,0,0,0,NA,0,0,0,NA,0
"140530","Akt3",321,0,0,0,0,0,NA,0,0,0,NA,0
"140798","Kif26b",322,0,0,0,0,0,NA,0,0,0,NA,0
"140819","-",323,0,0,0,0,0,NA,0,0,0,NA,0
"141064","Itpkb",324,0,0,0,0,0,NA,0,0,0,NA,0
"141144","H3f3a",325,0,0,0,0,0,NA,0,0,0,NA,0
"141631","-",326,0,0,0,0,0,NA,0,0,0,NA,0
"143061","-",327,0,0,0,0,0,NA,0,0,0,NA,0
"143842","-",328,0,0,0,0,0,NA,0,0,0,NA,0
"144207","Phlpp1",329,0,0,0,0,0,NA,0,0,0,NA,0
"144395","Cdh7",330,0,0,0,0,0,NA,0,0,0,NA,0
"144485","Nifk",331,0,0,0,0,0,NA,0,0,0,NA,0
"145491","Fcamr",332,0,0,0,0,0,NA,0,0,0,NA,0
"146294","Lmod1",333,0,0,0,0,0,NA,0,0,0,NA,0
"146409","Kif21b",334,0,0,0,0,0,NA,0,0,0,NA,0
"146456","-",335,0,0,0,0,0,NA,0,0,0,NA,0
"146643","Dennd1b",336,0,0,0,0,0,NA,0,0,0,NA,0
"146713","Kcnt2",337,0,0,0,0,0,NA,0,0,0,NA,0
