"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"133312","Tmem177",16153,0.00417010816300307,2.4,15.3,2.23958333333333,5.375,1.68175857401373,0.8754687373539,0.806289836659827
"172102","C1d",16154,0.00417010816300307,2.4,15.3,2.23958333333333,5.375,1.68175857401373,0.8754687373539,0.806289836659827
"383710","-",16155,0.00417010816300307,2.4,15.3,2.23958333333333,5.375,1.68175857401373,0.8754687373539,0.806289836659827
"481882","Cbx6",16156,0.00416907956338931,16.8,60.2,0.153769841269841,2.58333333333333,0.949080554697146,2.82137888640921,-1.87229833171207
"116243","-",16157,0.00416905908177781,4.6,67.8,2.98676748582231,13.7391304347826,2.62024799765776,1.52605630349505,1.09419169416271
"77753","Atxn7l3",16158,0.00416896861295355,9.8,59.2,0.514369012911287,5.04081632653061,1.61756803851735,2.28238238567653,-0.664814347159176
"52665","Rbbp6",16159,0.00416831160090434,24,257.5,0.405381944444444,9.72916666666667,2.27512824676101,3.17805383034795,-0.902925583586939
"399123","Nrip2",16160,0.00416795586427778,44.4,901.3,0.434674539404269,19.2995495495495,2.96008175623689,3.79323946943818,-0.833157713201285
"157042","Fam114a1",16161,0.00416745388538357,12.4,28.3,0.10340790842872,1.28225806451613,0.248622636615195,2.51769647261099,-2.2690738359958
"70631","Cox10",16162,0.00416740024510993,18,96.5,0.242283950617284,4.36111111111111,1.4727268668922,2.89037175789616,-1.41764489100397
"296139","Noct",16163,0.00416732939900804,40.8,310.2,0.161836793540946,6.60294117647059,1.88751518256615,3.70868208141012,-1.82116689884397
"254958","Taf5l",16164,0.00416732665315836,4.8,19.7,0.646701388888889,3.10416666666667,1.13274529503757,1.56861591791385,-0.435870622876277
"360261","Cdh4",16165,0.00416681105663627,9.2,38.2,0.342627599243856,3.15217391304348,1.14809234593148,2.21920348405499,-1.07111113812351
"507255","Nkapd1",16166,0.00416670544259751,3.8,10.7,0.477839335180055,1.81578947368421,0.596520344870874,1.33500106673234,-0.738480721861467
"130718","Gcn1",16167,0.0041659386025554,3.8,6.7,0.200831024930748,0.763157894736842,-0.270290329739912,1.33500106673234,-1.60529139647225
"570800","-",16168,0.00416542553710672,8.4,67.8,0.841836734693878,7.07142857142857,1.95606252051933,2.12823170584927,-0.172169185329937
"151924","Ints7",16169,0.00416535249577095,90,1387.5,0.160185185185185,14.4166666666667,2.66838494470978,4.49980967033027,-1.83142472562049
