"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw"
"RT0_ZT6","434615","Pef1",0.000505839017395643,-0.000969681744609411,0.000470737572802109,-0.000405297631726226
"RT0_ZT6","434626","-",0.00496285592175268,-0.00186724041708441,0.00519438206467855,-0.000546825193127804
"RT0_ZT6","434630","Fabp3",0.004774995261241,-0.00871441147717945,0.00498635055376334,-0.00435342480760481
"RT0_ZT6","434649","Snrnp40",-0.000414671999923763,-0.000175272417953393,-0.000359514138043792,-0.000504382140377732
"RT0_ZT6","434663","Nkain1",-2.78373410094993e-05,0.00026690789256613,-1.27979696903863e-05,-0.000335619163381546
"RT0_ZT6","434667","Nkain1",-0.000186310799161649,0.000369382662074034,-0.000133015204921618,3.76324810784136e-05
"RT0_ZT6","434719","Pum1",-0.00292660098626467,0.00144182975756976,-0.00228118712104674,-0.000892994066580009
"RT0_ZT6","434760","Sdc3",-0.000275129017320588,-0.000364745322181922,-0.000113111086218139,-0.000841563413598258
"RT0_ZT6","434767","Laptm5",2.30664625962207e-05,0.000368436977853219,2.63169412940941e-05,-0.000180641253225941
"RT0_ZT6","434801","Mecr",7.13142247755434e-05,-0.000184051348947584,9.74644158398574e-05,-4.61299096539027e-05
"RT0_ZT6","434837","Srsf4",-0.000457368716047858,-0.00012575648366328,-0.000410645372539065,-0.000172523413382344
"RT0_ZT6","434841","Srsf4",0.000159255627258115,0.000151799369891557,0.000143414934250268,-0.000118954276382559
"RT0_ZT6","434876","Taf12",5.29136574731223e-05,-4.67805769563187e-05,5.81844970368434e-05,-0.000116558259077145
"RT0_ZT6","434877","Taf12",-0.00020107102521929,-8.25265387042723e-05,-0.000128894073831394,-7.28573436504167e-05
"RT0_ZT6","434879","Taf12",-0.000165419864488441,0.000107138277515974,-0.000127940593080468,-1.86689859140912e-05
"RT0_ZT6","434880","Taf12",-0.000122103807700277,7.77880978251849e-05,-0.000129251417533023,-0.0001319485709491
"RT0_ZT6","434881","Taf12",0.000530329798047733,-8.50610527819224e-05,0.000564189888828888,-0.000244303595340928
"RT0_ZT6","434890","LOC120102992",9.11457697027738e-05,0.000131073884644272,9.66791591348314e-05,1.2861037730983e-05
"RT0_ZT6","434903","Rcc1",0.0254286901977809,-0.0160992723060669,0.0264504228574245,-0.00310330593171312
"RT0_ZT6","434928","Dnajc8",-7.53177742211887e-07,-2.8069148774612e-05,-4.17288945211409e-06,-6.34267030657243e-05
"RT0_ZT6","434930","Dnajc8",0.00474910296989818,-0.0077935289036576,0.00479340514038526,-0.0038898122651781
"RT0_ZT6","434936","Ptafr",7.42771266114659e-05,-0.00021486166515534,6.74610832117348e-05,-0.000128437059909959
"RT0_ZT6","434973","Eya3",-0.000340283632889393,4.19549760705955e-05,-0.000269720151474914,-0.000113381620837801
"RT0_ZT6","434975","Eya3",0.000107023208187215,0.000299267844627361,0.00015596992959247,-0.000217419426488186
"RT0_ZT6","434979","Rpa2",9.13069132826072e-05,-0.000139800639218468,9.39171636701012e-05,-0.000329517930303616
"RT0_ZT6","435080","Ahdc1",0.000107387588890581,-7.66803988084874e-05,9.64837621480203e-05,-8.37825725070989e-05
"RT0_ZT6","435081","Ahdc1",1.82391779961464e-05,-0.000150436126740892,7.24990496068924e-05,-0.000151236955791878
"RT0_ZT6","435135","Wasf2",-4.44408677085926e-05,7.77445162093457e-05,-2.46199192198676e-05,-0.000152926432769845
"RT0_ZT6","435143","Cd164l2",0.00159624687303376,-0.00119929023984609,0.00163666684723624,-0.000909476084249241
"RT0_ZT6","435144","-",-0.00135981785042309,0.00249093747737043,-0.000761887012877812,-0.00172978171186661
"RT0_ZT6","435179","Slc9a1",-0.000139307176763577,1.68180945143486e-06,-0.000110684910137775,-5.09179886492984e-05
"RT0_ZT6","435199","Gpn2",0,-0.000161203797349889,0,-5.3340955370563e-05
"RT0_ZT6","435218","-",0.000271639276841178,-0.000204145968031205,0.000284354282403799,4.13483797246223e-05
"RT0_ZT6","435219","-",7.08945498962189e-05,-0.000290360883215339,0.000146822179373903,8.40373471678802e-05
"RT0_ZT6","435225","Dhdds",0.00407483706551605,-0.000894871086540707,0.00415561017263085,0.000107799257790378
"RT0_ZT6","435229","Lin28a",-1.40966625167183e-05,-2.9769458063112e-05,-5.52896397389228e-06,-7.41734375945471e-05
"RT0_ZT6","435239","Crybg2",0.000105827314946245,-2.61663192122821e-05,0.000116368994073687,-0.000272722578205887
"RT0_ZT6","435257","Ubxn11",0.000380167244821926,0.000258414217960298,0.000409047954328668,-0.000532409095748112
"RT0_ZT6","435292","Pafah2",NA,NA,NA,NA
"RT0_ZT6","435294","LOC102546373",-7.88206833695376e-05,0.000390625078307058,-7.66025771525873e-05,-0.000190465320809915
"RT0_ZT6","435306","Stmn1",-9.96446092857554e-06,-0.000326298633851713,2.19839588355291e-05,-1.5877647911064e-05
"RT0_ZT6","435308","Stmn1",0.00123562144085781,-0.00571860580435624,0.00170480392116644,-0.00371305525103256
"RT0_ZT6","435340","Paqr7",-0.0011272613613269,0.00243486406674884,-0.000904175173875492,-0.000548760009839713
"RT0_ZT6","435351","Man1c1",-0.00405612877579898,-0.00750243960280162,-0.00381628587047138,-0.00133217884589274
"RT0_ZT6","435352","Man1c1",-6.99805972507408e-05,-0.000241322734795271,-7.57252850608796e-05,-0.000977619594686661
"RT0_ZT6","435355","Man1c1",-0.000208074639435787,0.000225180156971138,-0.000163819225630797,-9.81865136733074e-05
"RT0_ZT6","435391","Rsrp1",0.0001237511788288,-0.00530347304351335,0.000501240759647148,-0.00432119603371473
"RT0_ZT6","435393","Rsrp1",-6.62059903392866e-05,-9.97589558051593e-05,-5.50257115485598e-05,-0.000165503684507097
"RT0_ZT6","435399","-",-8.12546011724439e-05,-9.17033310554159e-05,-4.14167505691692e-05,-0.000166268217091015
"RT0_ZT6","435412","Syf2",0.000243111405032613,0.000138079716641489,0.000270487804635411,-0.000133259831333302
"RT0_ZT6","435413","Syf2",-0.000908650300281967,0.00256574371799711,-0.00056665226573761,-0.00164317482443472
"RT0_ZT6","435414","LOC102551013",-0.00010465754949274,5.48888280144977e-05,-8.80472521437606e-05,-1.3455380942151e-05
"RT0_ZT6","435451","Stpg1",-0.000197088345053927,0.000372387781448869,-0.000169676033073257,-8.5767396296987e-05
"RT0_ZT6","435461","-",0.000482195812078304,-8.23361617681269e-05,0.000482017936607333,2.22751057454118e-05
"RT0_ZT6","435470","Ifnlr1",-0.0001273166453921,-0.000140524601511531,-0.000110977864977417,-2.72843231102844e-05
"RT0_ZT6","435481","Srsf10",-2.25953322663567e-06,7.31851040193302e-05,-1.25186683563422e-05,-1.7940507922868e-05
"RT0_ZT6","435485","Srsf10",0.000431204714669368,-0.000716901797431729,0.000524931339219486,-0.000706551211721205
"RT0_ZT6","435492","Srsf10",0.000404112466231781,-8.49565332437968e-05,0.000386993195229786,-3.09924787443969e-05
"RT0_ZT6","435493","Srsf10",-0.000128151987020603,4.07588016065772e-05,-9.72621921002477e-05,-4.3668116697114e-05
"RT0_ZT6","435505","Cnr2",-0.000151586018020549,3.12518394357202e-05,-0.000111207735241721,4.47064521534224e-05
"RT0_ZT6","435512","Fuca1",0.00171613306903917,3.25536874732389e-05,0.00183438912373345,-0.00223660172638587
"RT0_ZT6","435516","-",-6.78032279103963e-05,6.72498587959783e-05,-4.53180543752542e-05,-0.000132872815590798
"RT0_ZT6","435521","Hmgcl",0.000900028202976362,0.000140230829404136,0.000917353613278185,-0.000608510737014202
"RT0_ZT6","435522","Hmgcl",0.000849261055232585,0.000252036163156784,0.000842764990806378,-0.000215211886631972
"RT0_ZT6","435523","Gale",0.000263038280873253,3.50312754449212e-06,0.000345912553238917,-0.000944213332120606
"RT0_ZT6","435532","-",0,7.87230408542576e-05,0,-5.42142510155338e-05
"RT0_ZT6","435535","Id3",-0.000329027873447704,-0.00408991606445484,-0.000240242125161527,-0.004442310632888
"RT0_ZT6","435543","E2f2",-1.50635548442377e-06,6.52065607015926e-05,-8.34577890422817e-06,-0.000150130083014744
"RT0_ZT6","435566","Zfp46",-0.000792638307728868,0.000112311713967426,-0.000565212450205082,8.68060868056042e-06
"RT0_ZT6","435572","Hnrnpr",-1.8795550022291e-05,0.000132719874350233,-7.3719519651897e-06,-0.000121087745605667
"RT0_ZT6","435580","Hnrnpr",-0.000200366679908048,0.000114707985956473,-0.000162122203556571,-0.000263690198180404
"RT0_ZT6","435581","-",-9.00320403480942e-05,9.09537078466816e-05,-3.91896612867652e-05,-6.6682561499587e-05
"RT0_ZT6","435603","-",-7.49878706457304e-05,0,-6.69542389055364e-05,0
"RT0_ZT6","435647","Luzp1",-0.000117472187639319,4.80961187457813e-05,-4.60746997824357e-05,-4.42444878333155e-05
"RT0_ZT6","43565","Luzp2",-0.000341343200404636,0.000454600274997124,-0.000128400807192859,-3.70704119938021e-05
"RT0_ZT6","435667","Luzp1",7.49447734891672e-05,0.00127422546582574,0.000288535939815627,-0.00122625630757982
"RT0_ZT6","43567","Luzp2",-0.00018483304523141,0.00056852487677962,-9.57875555638941e-05,-0.00133144358273562
"RT0_ZT6","435680","-",0.000315056883148209,-0.000174015677373758,0.000313830424537611,2.84429824458351e-05
"RT0_ZT6","435686","Wnt4",-7.35714308288772e-05,-0.000543605299988558,-6.27614186167432e-05,-0.000580675592678864
"RT0_ZT6","43570","Luzp2",-0.000475732207720732,9.21781695942341e-05,-0.000399929415149229,-0.000646302368207382
"RT0_ZT6","435705","Hspg2",0.000126461015638378,-0.000478682603322921,0.000136572500071539,-0.000375496994797862
"RT0_ZT6","435751","Usp48",0.000305137630158885,-0.000994161836928237,0.000357460610883587,-0.000302448196496693
"RT0_ZT6","435790","Rap1gap",0.00389400095740601,-0.00339018916654409,0.0052116882027137,-0.00806822778523337
"RT0_ZT6","435838","Ece1",-0.00108317239241546,0.000774826272782079,-0.000645941307969392,-0.0022355955172734
"RT0_ZT6","435952","Eif4g3",-6.86673740260546e-05,0.000185362486444813,-5.15079596118646e-05,-0.000226589412688904
"RT0_ZT6","435955","Eif4g3",-0.000282170139769672,0.000449532979421289,-0.000166694210324388,-0.000276209595470523
"RT0_ZT6","435956","Eif4g3",0.00420315894110479,-0.00613656001586334,0.00551149710135659,-0.00872656601401684
"RT0_ZT6","435958","Eif4g3",-0.000200457792759315,-0.000201263837897094,-0.000144680277672015,-0.000357411807030585
"RT0_ZT6","435961","Eif4g3",0.00050052728916206,-2.71801891392472e-05,0.00059452734225666,-0.000580251082456155
"RT0_ZT6","435968","Hp1bp3",-7.99729834961314e-05,0.000412341118663313,-7.26931423070534e-05,-0.000137559558535753
"RT0_ZT6","435991","Hp1bp3",-0.000824937799697294,-0.000955497636618262,3.00527441244657e-05,-0.00201855930173785
"RT0_ZT6","435995","Hp1bp3",-4.24588829112676e-05,1.61191243746845e-05,-3.58664174016646e-05,-1.10332921653835e-05
"RT0_ZT6","435998","Sh2d5",7.13459826908669e-05,1.70504254652684e-05,8.3743354566823e-05,-0.000118342660848776
"RT0_ZT6","43600","LOC100911716",0.000434258949838298,-0.000934756438929144,0.000446597324947528,-0.000703586912702598
"RT0_ZT6","436001","Sh2d5",0.000224507920461418,0.000816668771395266,0.000522858325840234,-0.00182880800299915
"RT0_ZT6","436003","Kif17",-9.06730525331637e-05,0.000121480650843938,-6.29404194543738e-05,-8.36359989643573e-05
"RT0_ZT6","436017","Kif17",-0.000160962035673321,-0.000132296327079293,-0.000128051670368613,-9.31331149527762e-05
"RT0_ZT6","436024","Ddost",0.000369475468157478,0.000109646636191323,0.000401344074785695,-7.52157286662871e-05
"RT0_ZT6","436028","Ddost",-0.00165650021083827,0.000364991838578135,-0.00114925084997576,-0.00134424131042995
"RT0_ZT6","436030","Ddost",0.00449740900083367,-0.00481607699566468,0.00457689525418822,-0.00294987632047565
"RT0_ZT6","436057","Mul1",0.00052621216109746,-0.000348947665347613,0.000511040615543619,-0.000218596908476623
"RT0_ZT6","436063","Mul1",-0.00047209866487758,0.000204806026230392,-0.000307767761776741,-0.000423934162278763
"RT0_ZT6","436068","Camk2n1",0.00337326735606551,-0.00744517548117148,0.00345247726156637,-0.000346766672019746
"RT0_ZT6","436070","Camk2n1",0.0334239879071772,0.0438670869780418,0.0430359464164758,-0.00121983673301412
"RT0_ZT6","436071","Camk2n1",0.000270707762241679,-0.000483335015130746,0.000271028099213602,-5.50147003828083e-05
"RT0_ZT6","436072","Camk2n1",-0.00489957397856646,-0.00190147599226524,-0.00317195850220921,-0.00101128811463372
