"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","alpha_fitted","alpha_final","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_gw_ctrl","iod_nb_gw_trt","cv2_nb_gw_ctrl","cv2_nb_gw_trt","iod_nb_fit_ctrl","iod_nb_fit_trt","cv2_nb_fit_ctrl","cv2_nb_fit_trt","iod_nb_final_ctrl","iod_nb_final_trt","cv2_nb_final_ctrl","cv2_nb_final_trt","gene_symbol"
"281044",0.00420101062912068,0.00127506239461073,14018,24149,14018,22.0183245932609,27.8707851701485,132.837264809877,26.4725753090889,0.106600109582838,0.456152511079283,0.226652421062046,6.03303236116947,0.949832419412526,0.274000518777708,0.0340798586625345,3.34715581447211,3.97102875329757,0.152016825816827,0.1424799742474,11.0437140529747,13.7133286411145,0.501569227313272,0.492032375743845,5.99050657679259,7.31698093571434,0.272069137296036,0.262532285726608,"Ugt8"
"415909",0.00273304469039317,0.0037798581824646,19265,14019,14019,611.939307459876,560.707031263002,23663.6168743961,35753.26236551,0.0961232526405758,0.146272137873371,0.11303094950908,38.669875567599,63.7646049934049,0.0631923380246897,0.11372178595616,59.8215966516647,54.8969836234408,0.097757401628571,0.0979067152052373,90.509670750906,83.0158161834702,0.147906286861366,0.148055600438032,70.1680809641187,64.3772481400746,0.114665098497075,0.114814412073742,"Trnp1"
"61197",0.00420038379204796,8.26825390961054e-05,14020,29823,14020,14.8557482780632,10.8199164306358,44.8045062008538,8.74371956548804,0.0795555534281561,0.761370517392011,0.306275529679457,3.01597101419756,0.808113410259884,0.20301710541576,0.0746875833506227,2.18185727585069,1.86078443968563,0.146869564226027,0.171977709034513,12.3107287527144,9.2379653709315,0.828684528189882,0.853792672998368,5.54995217264849,4.31387563588044,0.373589540477328,0.398697685285814,"-"
"82578",0.00419977432159813,0.00232599031263707,14021,19728,14021,129.14893473203,197.736375293469,2777.96586746007,3978.41957544855,0.13731696260976,0.181898069511196,0.153056016562215,21.509785374723,20.1198164452242,0.166550234574938,0.101750709323783,18.7343394416885,28.1525584527627,0.145059961048538,0.142374201059265,24.4919419071837,36.9678649380233,0.189641067949974,0.186955307960702,20.767021493338,31.2647419318695,0.160799015000993,0.15811325501172,"-"
"460512",0.000567263251835527,0.00377886195299565,27735,14021,14021,6.52430695398481,11.6423715501178,9.05470275256465,73.1861848332508,0.190647463822505,1.02130571850665,0.468912660850193,1.38784131654541,6.28619216610643,0.21271858089046,0.539940865058789,2.24384257397674,3.21958860890924,0.343920448532281,0.276540616750603,7.66331200139738,12.8904206411144,1.17457870321643,1.10719887143475,4.05933013399643,6.45925542217232,0.622185645559969,0.554805813778291,"RGD1307621"
"232030",0.00419941843063217,0,14023,30733,14023,2.86350389512213,0,3.06817334613588,0,1e-08,5.77125794260874,3.95333689204853,1.07147517814186,NA,0.374183244509314,NA,1.00000002863504,NA,0.349222513836458,NA,17.5260195984146,NA,6.1204804464452,NA,12.320395589111,NA,4.30255939588498,NA,"Tmem241"
"293724",0.000506295703610483,0.00377812285156115,28048,14023,14023,0.578895825506418,4.15867229454508,1.67560188394379,18.3885566160135,4.61994940845804,3.54070651367707,3.92086528261446,2.89447912753209,4.42173735115741,5,1.06325698155091,3.67446942660721,20.2128556071544,6.34737592621744,4.86041076948226,3.04970022011104,15.7246380815441,5.26813303143646,3.78116787470128,3.26977254447855,17.3055938214524,5.64829180037385,4.16132664363867,"Naaladl2"
"349057",0.00419918179967312,0.00203220430853827,14024,20961,14024,10.2644868119514,5.52968633857106,183.225097470506,11.822093800753,1.32188494486093,1.15481633223918,1.24631612022941,17.8503904605507,2.13793207732068,1.73904363535901,0.386628091797545,14.5684705834421,8.30960912076024,1.41930822751697,1.50272702861977,12.8535970124952,7.38577209594171,1.25223961489522,1.33565841599802,13.7927953796173,7.89173722357348,1.34373940288546,1.42715820398826,"Lrrc4c"
"425455",0.0034915627654961,0.00377812285156115,16455,14024,14024,2.09951658035798,4.15867229454508,4.35340641262924,18.3885566160135,1.81222633532796,2.71257788874341,2.28180893172413,2.07352799847237,4.42173735115741,0.987621635318936,1.06325698155091,4.80479923838244,8.53645545217334,2.28852645572496,2.05268769635217,6.69510225292924,12.2807225127128,3.18887800914041,2.95303924976762,5.79069568536375,10.4892955858066,2.75810905212113,2.52227029274834,"Invs"
"70805",0.00419830637819196,0.00333225161411777,14025,15524,14025,80.1219176770219,93.0740171039347,991.8396209463,1430.87722470391,0.168469244583491,0.225730117558734,0.189244754286994,12.3791298274273,15.3735410722207,0.154503663745651,0.165175432957334,14.4980789456286,16.6801093518508,0.180950223933375,0.179213381681209,19.0859298962654,22.0096088225348,0.238211096908618,0.236474254656452,16.1626526237908,18.6137694973376,0.201725733636878,0.199988891384712,"Map2k4"
