"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"424015",-3.65895248196157,3.65895248196157,15909,"RT4_ZT10","control",3.31911797372528,1.85948082037796,2.06853830609205
"333500",-3.65882384842899,3.65882384842899,15910,"RT4_ZT10","control",4.95164794355455,2.37631756255449,1.41814581057663
"84203",3.65835996543773,3.65835996543773,15911,"RT4_ZT10","control",36.1785780221036,0.0835680195924596,0.276806316446239
"11540",3.65835979684292,3.65835979684292,15912,"RT4_ZT10","control",46.0157713050163,0.137739899992533,0.238116219973462
"439204",3.65781826237469,3.65781826237469,15913,"RT4_ZT10","control",40.2301935106208,0.158770888391348,0.258579475023868
"309063",3.65777882229214,3.65777882229214,15914,"RT4_ZT10","control",51.4882924749355,0.217006415335688,0.222992484865469
"487007",3.6563956483363,3.6563956483363,15915,"RT4_ZT10","control",43.0172135606627,0.213203792344205,0.248034816913999
"353934",3.65620601862546,3.65620601862546,15916,"RT4_ZT10","control",59.2519261832351,4.83768874510637,0.206329957270416
"5726",-3.65611242399539,3.65611242399539,15917,"RT4_ZT10","control",6.97695732123354,1.36436902907371,1.03429509447494
"191902",-3.65611139367917,3.65611139367917,15918,"RT4_ZT10","control",9.96212550354026,1.74036293204323,0.753080707091517
"159599",-3.6558665150656,3.6558665150656,15919,"RT4_ZT10","control",4.54608134969576,2.2153304450885,1.53611321401995
"563262",-3.65561788364985,3.65561788364985,15920,"RT4_ZT10","control",5.12113500697679,0.651335735721473,1.37438278114125
"65763",3.65553640166072,3.65553640166072,15921,"RT4_ZT10","control",33.0275546658823,0.0641173596589336,0.294073063075261
"540469",-3.65549953422091,3.65549953422091,15922,"RT4_ZT10","control",4.57127468419491,1.20619398015057,1.52817545447753
"7635",3.65538535111616,3.65538535111616,15923,"RT4_ZT10","control",34.5012077499754,0.0273323324391029,0.28560524836831
"54451",-3.65516636835179,3.65516636835179,15924,"RT4_ZT10","control",4.08345872553148,0.608523668156403,1.69928621533962
"7953",-3.65504855093579,3.65504855093579,15925,"RT4_ZT10","control",5.84093850442157,0.346560264753296,1.21682063027766
"425994",-3.65498350902071,3.65498350902071,15926,"RT4_ZT10","control",9.79437587378571,0.850945428211514,0.76433762767207
"50808",-3.65461136808595,3.65461136808595,15927,"RT4_ZT10","control",3.34373503313407,1.81699788335585,2.05401490148954
"87577",3.65456208338053,3.65456208338053,15928,"RT4_ZT10","control",29.7454421570954,0.343678788550262,0.315947829403567
"195461",-3.65397638623608,3.65397638623608,15929,"RT4_ZT10","control",5.94853134896605,1.22057926731755,1.19654483917043
"442805",3.65325095365419,3.65325095365419,15930,"RT4_ZT10","control",53.1534977146428,0.238916473722163,0.219008531570536
"312751",-3.65283133757881,3.65283133757881,15931,"RT4_ZT10","control",3.41665383386582,1.83428380306509,2.01222286931246
"352468",-3.65265532512692,3.65265532512692,15932,"RT4_ZT10","control",6.4321084233947,0.411724119049685,1.11379076209953
"164999",-3.65254827849819,3.65254827849819,15933,"RT4_ZT10","control",7.29303962047238,1.51074050609919,0.993621519722863
"172907",-3.65249094163789,3.65249094163789,15934,"RT4_ZT10","control",4.96940244940717,0.0894331831867792,1.41342146706982
"125334",-3.65215309943662,3.65215309943662,15935,"RT4_ZT10","control",4.65141254980001,0.952865053108164,1.5034978840709
"300172",3.65206953887801,3.65206953887801,15936,"RT4_ZT10","control",39.2187071887351,0.0192744215930429,0.262777078651083
"139618",-3.65144233246097,3.65144233246097,15937,"RT4_ZT10","control",2.9184024677752,3.58735376894185,2.33940467275299
"30261",-3.65144233246097,3.65144233246097,15938,"RT4_ZT10","control",4.19774716269999,0.728315332215974,1.65563014362179
"309769",-3.65144233246097,3.65144233246097,15939,"RT4_ZT10","control",3.03174606837825,3.51536717162271,2.2555271095197
"519781",-3.65144233246097,3.65144233246097,15940,"RT4_ZT10","control",4.88312658152988,0.923753392158334,1.43670098548837
"526975",-3.65144233246097,3.65144233246097,15941,"RT4_ZT10","control",3.47160382269961,1.55196512674903,1.98188931661616
