"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"468987",-1.99080004442699,1.99080004442699,23871,"RT4_ZT10","treatment",4.49197585805775,3.46960939038746,1.55346137879337
"286053",-1.99055574572162,1.99055574572162,23872,"RT4_ZT10","treatment",4.73196243897427,2.42215062428424,1.47953574383727
"122886",-1.98996414942066,1.98996414942066,23873,"RT4_ZT10","treatment",4.14676630477981,0.316542315838333,1.6748065890599
"320728",-1.98985844216534,1.98985844216534,23874,"RT4_ZT10","treatment",4.33772525904909,0.800221422705946,1.60529531758127
"251394",1.98976389729293,1.98976389729293,23875,"RT4_ZT10","treatment",27.1930782225713,0.301934481847634,0.336608794573228
"365027",-1.98967738490284,1.98967738490284,23876,"RT4_ZT10","treatment",4.83048264372647,0.462131142216155,1.45131423051073
"126246",-1.9896025475268,1.9896025475268,23877,"RT4_ZT10","treatment",9.56380219919996,0.704912935695904,0.780454812116018
"145572",1.9895918138319,1.9895918138319,23878,"RT4_ZT10","treatment",28.4655855026149,0.232269659759937,0.325844920961157
"19427",1.9893526534366,1.9893526534366,23879,"RT4_ZT10","treatment",22.0923986959496,0.531989189838727,0.392200961260467
"319376",-1.98918920258945,1.98918920258945,23880,"RT4_ZT10","treatment",9.27339091214655,0.278016322215058,0.801895126334702
"356514",1.98877171583901,1.98877171583901,23881,"RT4_ZT10","treatment",21.4287925846583,0.0440062882705415,0.401379142104292
"125529",-1.98874934425538,1.98874934425538,23882,"RT4_ZT10","treatment",7.94876178964347,1.49052782013028,0.919558976866597
"112801",1.98806899684175,1.98806899684175,23883,"RT4_ZT10","treatment",33.7663673879981,0.289530757981211,0.28973535410096
"572258",-1.98797034792356,1.98797034792356,23884,"RT4_ZT10","treatment",3.97522480654061,0.975059135689587,1.74294386254064
"157137",1.98785404943279,1.98785404943279,23885,"RT4_ZT10","treatment",25.2562702563933,0.387107745377101,0.355073644481145
"24918",-1.98700075392974,1.98700075392974,23886,"RT4_ZT10","treatment",9.45251197570316,0.774920798406061,0.788515386687357
