"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
123,"191050",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
124,"192832",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
125,"193785",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
126,"198939",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
127,"200239",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
128,"204325",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
129,"205128",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
130,"206511",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
131,"209591",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
132,"213626",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
133,"217452",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
134,"219016",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
135,"219795",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
136,"221755",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
137,"224097",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
138,"226263",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
139,"227681",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
140,"231439",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
141,"234055",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
142,"234287",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
143,"236699",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
144,"239156",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
145,"239378",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
146,"239640",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
147,"239927",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
