"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
169,"90491",0,0,0,0,0,0,0,0,-0.35255634845002,8.40355156408726e-07
170,"90682",0,0,0,0,0,0,0,0,-0.350873839329432,8.52466915833753e-07
171,"91289",0,0,0,0,0,0,0,0,-0.349190477741929,8.6457867525878e-07
172,"91651",0,0,0,0,0,0,0,0,-0.34750625157575,8.76690434683807e-07
173,"92046",0,0,0,0,0,0,0,0,-0.345821148719137,8.88802194108834e-07
174,"92320",0,0,0,0,0,0,0,0,-0.344135157060329,9.00913953533861e-07
175,"92585",0,0,0,0,0,0,0,0,-0.342448264487568,9.13025712958888e-07
176,"92712",0,0,0,0,0,0,0,0,-0.340760458889094,9.25137472383915e-07
177,"94556",0,0,0,0,0,0,0,0,-0.339071728153147,9.37249231808942e-07
178,"94816",0,0,0,0,0,0,0,0,-0.337382060167969,9.49360991233969e-07
179,"94987",0,0,0,0,0,0,0,0,-0.3356914428218,9.61472750658996e-07
180,"95448",0,0,0,0,0,0,0,0,-0.333999864002879,9.73584510084024e-07
181,"95976",0,0,0,0,0,0,0,0,-0.332307311599449,9.85696269509051e-07
182,"96153",0,0,0,0,0,0,0,0,-0.33061377349975,9.97808028934078e-07
183,"97686",0,0,0,0,0,0,0,0,-0.328919237592021,1.0099197883591e-06
184,"98043",0,0,0,0,0,0,0,0,-0.327223691764504,1.02203154778413e-06
185,"98458",0,0,0,0,0,0,0,0,-0.325527123905439,1.03414330720916e-06
186,"98459",0,0,0,0,0,0,0,0,-0.323829521903067,1.04625506663419e-06
187,"99105",0,0,0,0,0,0,0,0,-0.322130873645628,1.05836682605921e-06
188,"99171",0,0,0,0,0,0,0,0,-0.320431167021364,1.07047858548424e-06
189,"100213",0,0,0,0,0,0,0,0,-0.318730389918513,1.08259034490927e-06
190,"100675",0,0,0,0,0,0,0,0,-0.317028530225318,1.09470210433429e-06
191,"101181",0,0,0,0,0,0,0,0,-0.315325575830019,1.10681386375932e-06
192,"103397",0,0,0,0,0,0,0,0,-0.313621514620856,1.11892562318435e-06
193,"105759",0,0,0,0,0,0,0,0,-0.311916334486069,1.13103738260938e-06
194,"106010",0,0,0,0,0,0,0,0,-0.3102100233139,1.1431491420344e-06
195,"107123",0,0,0,0,0,0,0,0,-0.308502568992589,1.15526090145943e-06
196,"107238",0,0,0,0,0,0,0,0,-0.306793959410377,1.16737266088446e-06
197,"107499",0,0,0,0,0,0,0,0,-0.305084182455504,1.17948442030948e-06
198,"107697",0,0,0,0,0,0,0,0,-0.30337322601621,1.19159617973451e-06
199,"108041",0,0,0,0,0,0,0,0,-0.301661077980737,1.20370793915954e-06
200,"108286",0,0,0,0,0,0,0,0,-0.299947726237324,1.21581969858457e-06
201,"108290",0,0,0,0,0,0,0,0,-0.298233158674213,1.22793145800959e-06
202,"108699",0,0,0,0,0,0,0,0,-0.296517363179644,1.24004321743462e-06
203,"108869",0,0,0,0,0,0,0,0,-0.294800327641857,1.25215497685965e-06
204,"109857",0,0,0,0,0,0,0,0,-0.293082039949094,1.26426673628467e-06
205,"109901",0,0,0,0,0,0,0,0,-0.291362487989594,1.2763784957097e-06
206,"111191",0,0,0,0,0,0,0,0,-0.289641659651598,1.28849025513473e-06
207,"111314",0,0,0,0,0,0,0,0,-0.287919542823348,1.30060201455976e-06
208,"111535",0,0,0,0,0,0,0,0,-0.286196125393083,1.31271377398478e-06
209,"111655",0,0,0,0,0,0,0,0,-0.284471395249044,1.32482553340981e-06
210,"111675",0,0,0,0,0,0,0,0,-0.282745340279471,1.33693729283484e-06
211,"112641",0,0,0,0,0,0,0,0,-0.281017948372606,1.34904905225986e-06
212,"113468",0,0,0,0,0,0,0,0,-0.279289207416688,1.36116081168489e-06
213,"113798",0,0,0,0,0,0,0,0,-0.277559105299959,1.37327257110992e-06
214,"114292",0,0,0,0,0,0,0,0,-0.275827629910658,1.38538433053494e-06
215,"114519",0,0,0,0,0,0,0,0,-0.274094769137027,1.39749608995997e-06
216,"114540",0,0,0,0,0,0,0,0,-0.272360510867306,1.409607849385e-06
217,"114932",0,0,0,0,0,0,0,0,-0.270624842989736,1.42171960881003e-06
218,"115159",0,0,0,0,0,0,0,0,-0.268887753392557,1.43383136823505e-06
219,"115301",0,0,0,0,0,0,0,0,-0.26714922996401,1.44594312766008e-06
220,"117432",0,0,0,0,0,0,0,0,-0.265409260592335,1.45805488708511e-06
221,"117756",0,0,0,0,0,0,0,0,-0.263667833165773,1.47016664651013e-06
222,"117795",0,0,0,0,0,0,0,0,-0.261924935572564,1.48227840593516e-06
223,"117972",0,0,0,0,0,0,0,0,-0.260180555700949,1.49439016536019e-06
224,"119681",0,0,0,0,0,0,0,0,-0.258434681439169,1.50650192478522e-06
225,"120029",0,0,0,0,0,0,0,0,-0.256687300675465,1.51861368421024e-06
226,"121589",0,0,0,0,0,0,0,0,-0.254938401298076,1.53072544363527e-06
227,"121731",0,0,0,0,0,0,0,0,-0.253187971195243,1.5428372030603e-06
228,"122465",0,0,0,0,0,0,0,0,-0.251435998255208,1.55494896248532e-06
229,"122672",0,0,0,0,0,0,0,0,-0.24968247036621,1.56706072191035e-06
230,"122684",0,0,0,0,0,0,0,0,-0.24792737541649,1.57917248133538e-06
231,"122774",0,0,0,0,0,0,0,0,-0.246170701294288,1.59128424076041e-06
232,"123434",0,0,0,0,0,0,0,0,-0.244412435887846,1.60339600018543e-06
233,"125105",0,0,0,0,0,0,0,0,-0.242652567085404,1.61550775961046e-06
234,"126847",0,0,0,0,0,0,0,0,-0.240891082775202,1.62761951903549e-06
