"percentile","center_rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","iod_center_trt","cv2_center_trt","center_rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","iod_center_ctrl","cv2_center_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","composite_iod_amplitude_scaled","composite_cv2_amplitude_scaled","combined_center_distance","combined_center_agreement","regime_difference","regime_difference_scaled"
0.24,7417,0.372857786591164,0.719650469159029,0.645488981336859,0.990680456861203,11435,11435,7444,0.397120772675956,0.427593984028004,0.763127153017681,0.315579210772235,11476.5,11476.5,7430,0.76997855926712,1.14724445318703,1.40861613435454,1.30625966763344,0,1,-0.377265893919913,0.102356466721103
0.245,7571,0.369482520241412,0.72357218007339,0.636115242069468,1,11512,11512,7599,0.406279247204485,0.440288040384597,0.791721524570786,0.340947016527845,11554,11554,7585,0.775761767445897,1.16386022045799,1.42783676664025,1.34094701652785,0,1,-0.388098453012089,0.086889750112408
0.25,7726,0.373406717520081,0.71626723346728,0.647013464109562,0.982640544775254,11589.5,11589.5,7754,0.411754228266958,0.452604506237611,0.808815380349811,0.365560245316024,11631.5,11631.5,7740,0.785160945787039,1.16887173970489,1.45582884445937,1.34820079009128,0,1,-0.383710793917852,0.107628054368094
0.255,7880,0.370050892586141,0.721763954117743,0.637693717251633,0.995702936762465,11666.5,11666.5,7909,0.456721947492592,0.416259932392917,0.949212524811807,0.292929238830556,11709,9364,7894,0.826772840078732,1.13802388651066,1.58690624206344,1.28863217559302,1172.5,0.000852151682999574,-0.311251046431929,0.298274066470418
0.26,8035,0.366649726709283,0.719476467502781,0.6282480502046,0.99026695979907,11744,11744,8064,0.472263773139215,0.417900050095878,0.997736843547286,0.296206850504576,11786.5,9376,8050,0.838913499848499,1.13737651759866,1.62598489375189,1.28647381030365,1205.25,0.000829015544041451,-0.298463017750161,0.339511083448238
0.265,8189,0.368225037192047,0.722832722704068,0.632622978936285,0.99824275552095,11821,11821,8219,0.47078657873993,0.427043678393222,0.993124782294317,0.314479479838545,11864,11864,8204,0.839011615931977,1.14987640109729,1.6257477612306,1.31272223535949,0,1,-0.310864785165314,0.313025525871107
0.27,8344,0.366428665618526,0.713556966562425,0.62763412264683,0.976199873882109,11898.5,11898.5,8374,0.472988638194835,0.466422268696198,1,0.393173665658573,11941.5,11941.5,8359,0.839417303813361,1.17997923525862,1.62763412264683,1.36937353954068,0,1,-0.340561931445262,0.258260583106148
0.275,8498,0.370874192148787,0.71833766164459,0.639980172493831,0.987560704658421,11975.5,11975.5,8529,0.462218879149078,0.419839832406762,0.966374914213879,0.300083312014465,12019,9443,8514,0.833093071297865,1.13817749405135,1.60635508670771,1.28764401667289,1288,0.000775795190069822,-0.305084422753488,0.318711070034824
0.28,8653,0.371149943060883,0.715631577282105,0.64074598380615,0.981129973147576,12053,12053,8684,0.458398532212763,0.42155741534466,0.954447117786814,0.30351573023554,12096.5,9454.5,8668,0.829548475273645,1.13718899262676,1.59519310159296,1.28464570338312,1321,0.00075642965204236,-0.307640517353119,0.310547398209848
0.285,8807,0.373210234655902,0.7076639599003,0.646467794835355,0.962195748895798,12130,12130,8840,0.459960137714752,0.433247024006062,0.959322725378904,0.326876247437555,12174.5,12174.5,8824,0.833170372370654,1.14091098390636,1.60579052021426,1.28907199633335,0,1,-0.307740611535707,0.316718523880906
0.29,8962,0.370894281782337,0.701076790110549,0.640035965123912,0.946542016543072,12207.5,12207.5,8995,0.461468846697781,0.454241668897811,0.964033180716402,0.36883195163177,12252,12252,8978,0.832363128480119,1.15531845900836,1.60406914584031,1.31537396817484,0,1,-0.322955330528241,0.288695177665472
0.295,9116,0.377095462984914,0.70477026981056,0.657257792890804,0.95531919164552,12284.5,12284.5,9150,0.459292975497131,0.479232673451079,0.957239727355881,0.418773982085698,12329.5,12329.5,9133,0.836388438482046,1.18400294326164,1.61449752024668,1.37409317373122,0,1,-0.347614504779593,0.240404346515467
0.3,9271,0.378514100965596,0.70491404116013,0.661197613090979,0.955660849489175,12362,12362,9305,0.459041981720433,0.5129265259836,0.956456080550283,0.48610778636326,12407,12407,9288,0.837556082686029,1.21784056714373,1.61765369364126,1.44176863585243,0,1,-0.380284484457702,0.175885057788828
0.305,9425,0.380720043905165,0.70465791386416,0.66732392485769,0.955052189280418,12439,12439,9460,0.457939100061836,0.53241391752606,0.953012689642026,0.525051395044804,12484.5,12484.5,9442,0.838659143967001,1.23707183139022,1.62033661449972,1.48010358432522,0,1,-0.398412687423219,0.140233030174493
0.31,9580,0.382579334310475,0.688416528407928,0.672487518386546,0.916456205104505,12516.5,12516.5,9615,0.462276061876911,0.559345637248786,0.966553448767969,0.578871751233456,12562,12562,9598,0.844855396187387,1.24776216565671,1.63904096715451,1.49532795633796,0,1,-0.402906769469328,0.143713010816554
0.315,9734,0.385960662776836,0.684737785506424,0.681878093273592,0.907714050489904,12593.5,12593.5,9770,0.463911213301665,0.582284451148989,0.971658679692547,0.624712683315201,12639.5,12639.5,9752,0.849871876078501,1.26702223665541,1.65353677296614,1.5324267338051,0,1,-0.417150360576912,0.121110039161035
0.32,9889,0.385964465710663,0.671050078816744,0.681888654724588,0.875186621581629,12671,12671,9925,0.461796834524915,0.595953737301484,0.965057216516766,0.652029388566335,12717,12717,9907,0.847761300235578,1.26700381611823,1.64694587124135,1.52721601014796,0,1,-0.41924251588265,0.119729861093389
0.325,10043,0.386253095326519,0.666023318872671,0.682690232580533,0.863241042937469,12748,14546.5,10080,0.455657521158062,0.593135977885716,0.945889198202594,0.646398377365719,12794.5,12794.5,10062,0.841910616484581,1.25915929675839,1.62857943078313,1.50963942030319,899.25,0.00111080255484588,-0.417248680273807,0.11894001047994
0.33,10198,0.385006791085105,0.664307499296685,0.679229015065738,0.859163573968954,12825.5,14612.5,10235,0.448507617850997,0.613552896449157,0.92356593999031,0.687199553104668,12872,12872,10216,0.833514408936101,1.27786039574584,1.60279495505605,1.54636312707362,893.5,0.00111794298490777,-0.444345986809741,0.0564318279824263
0.335,10353,0.386912672391068,0.662916680073013,0.684522000147643,0.855858434952761,12903,14677,10390,0.450315465130257,0.634921970115612,0.9292103578083,0.729903515866452,12949.5,12949.5,10372,0.837228137521325,1.29783865018862,1.61373235795594,1.58576195081921,887,0.00112612612612613,-0.4606105126673,0.0279704071367299
0.34,10507,0.390849425098655,0.664998736347282,0.695455090937303,0.860806227813882,12980,14732.5,10545,0.449171017162588,0.65276520317659,0.925637189557542,0.765561437781055,13027,13027,10526,0.840020442261243,1.31776393952387,1.62109228049484,1.62636766559494,876.25,0.00113992590481619,-0.477743497262629,-0.00527538510009262
0.345,10662,0.391401655407255,0.661338138076519,0.696988736697954,0.85210719205037,13057.5,14805,10701,0.448389324361212,0.667750209024629,0.923196606867345,0.795507477637912,13105,13105,10682,0.839790979768467,1.32908834710115,1.6201853435653,1.64761466968828,873.75,0.00114318376679051,-0.489297367332681,-0.0274293261229825
0.35,10816,0.392222142742183,0.657436747558212,0.699267381863359,0.842835938245426,13134.5,14831,10856,0.450103168706672,0.684593364561759,0.928547530959082,0.829166844350551,13182.5,13182.5,10836,0.842325311448855,1.34203011211997,1.62781491282244,1.67200278259598,848.25,0.00117750956726523,-0.499704800671116,-0.0441878697735356
0.355,10971,0.396134981561098,0.657727975815893,0.710134059358763,0.84352801228402,13212,14814,11011,0.450725049335829,0.688447928213087,0.930489151882568,0.836869805424039,13260,13260,10991,0.846860030896928,1.34617590402898,1.64062321124133,1.68039781770806,801,0.00124688279301746,-0.499315873132052,-0.0397746064667277
0.36,11125,0.399580183750495,0.659655592648361,0.719702023394913,0.848108795676155,13289,14825,11166,0.452615019092663,0.695606429113027,0.936389970548676,0.8511753556146,13337.5,13337.5,11146,0.852195202843158,1.35526202176139,1.65609199394359,1.69928415129076,768,0.00130039011703511,-0.503066818918231,-0.0431921573471654
0.365,11280,0.401056081645999,0.65857617264427,0.723800864974858,0.845543664917492,13366.5,14787,11321,0.455038140124405,0.716257344293095,0.943955381456786,0.892444150257333,13415,13415,11300,0.856094221770404,1.37483351693736,1.66775624643164,1.73798781517483,710.25,0.00140597539543058,-0.51873929516696,-0.0702315687431825
0.37,11434,0.407501943612281,0.658356344083949,0.741702216502262,0.845021264925298,13443.5,14763.5,11476,0.458535615662407,0.733751524976151,0.954875116475975,0.927404525802762,13492.5,13492.5,11455,0.866037559274689,1.3921078690601,1.69657733297824,1.77242579072806,660,0.00151285930408472,-0.526070309785412,-0.0758484577498226
0.375,11589,0.408542762168484,0.659287983737035,0.744592762242815,0.847235210860209,13521,14760,11631,0.454572608576422,0.733406116624761,0.94250190991944,0.926714261657221,13570,13570,11610,0.863115370744906,1.3926941003618,1.68709467216225,1.77394947251743,619.5,0.0016116035455278,-0.52957872961689,-0.086854800355175
0.38,11743,0.411571910334385,0.66204330055311,0.75300526726232,0.853782938239715,13598,14789,11786,0.457588667758825,0.739525439055227,0.951918578232393,0.938943117305194,13647.5,13647.5,11764,0.86916057809321,1.40156873960834,1.70492384549471,1.79272605554491,595.5,0.00167644593461861,-0.532408161515128,-0.0878022100501954
0.385,11898,0.412010628860976,0.654711575727943,0.754223669798267,0.836359847328112,13675.5,14632,11941,0.457901053343288,0.748065008671685,0.952893901081426,0.956008595603177,13725,13725,11920,0.869911682204263,1.40277658439963,1.70711757087969,1.79236844293129,478.25,0.00208659363588941,-0.532864902195365,-0.0852508720515954
0.39,12052,0.414793846255229,0.652582290702277,0.761953179553881,0.831299820190766,13752.5,14567.5,12096,0.458234312830422,0.750689423552167,0.953934395933382,0.961253227030673,13802.5,13802.5,12074,0.873028159085651,1.40327171425444,1.71588757548726,1.79255304722144,407.5,0.00244798041615667,-0.530243555168793,-0.0766654717341755
0.395,12207,0.420642697355131,0.65454260198051,0.778196521424756,0.835958298574797,13830,14591.5,12251,0.458124715915325,0.756661249767036,0.953592215049265,0.973187326200351,13880,13880,12229,0.878767413270456,1.41120385174755,1.73178873647402,1.80914562477515,380.75,0.00261951538965291,-0.53243643847709,-0.0773568883011271
0.4,12361,0.421633890209911,0.654998013254565,0.780949247408911,0.83704053668646,13907,14582,12406,0.457371997989231,0.75927050293079,0.951242097026184,0.978401658448918,13957.5,13957.5,12384,0.879005888199142,1.41426851618535,1.7321913444351,1.81544219513538,337.5,0.00295420974889217,-0.535262627986213,-0.0832508507002823
0.405,12516,0.427324526735586,0.658368316117648,0.796753198128564,0.845049715233581,13984.5,14640.5,12561,0.450693343974846,0.755073009355611,0.930390162157874,0.970013386120172,14035,14035,12538,0.878017870710432,1.41344132547326,1.72714336028644,1.81506310135375,328,0.00303951367781155,-0.535423454762827,-0.0879197410673151
0.41,12670,0.428089664558205,0.658770286081991,0.798878127455511,0.846004955562358,14061.5,14632.5,12717,0.450466200196742,0.758818648246024,0.929680979251174,0.977498671921138,14113,14113,12694,0.878555864754946,1.41758893432802,1.72855910670668,1.8235036274835,285.5,0.00349040139616056,-0.53903306957307,-0.0949445207768111
0.415,12825,0.432021625323444,0.659077247245889,0.809797910134492,0.846734417236446,14139,14621.5,12872,0.453743896850837,0.764075944713268,0.939914525861323,0.988004854644316,14190.5,14190.5,12848,0.885765522174281,1.42315319195916,1.74971243599582,1.83473927188076,241.25,0.00412796697626419,-0.537387669784876,-0.0850268358849473
