"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.55,16451,14656,18246,0.112312038339707,0.639246214289248,0.752211986867867,-0.202892249850825,14656,18246,14656,18246,16451,16451,0.431434810760982,0.612402101181823,3591,0.20871782851302,0.557265311698285,0,1
0.56,16750,14955,18545,0.0406835445215868,0.146732463443211,0.741071928103213,-0.451203290615479,16771,17907,16425,17607,17339,17016,0.438584583383371,0.610310395786013,3591,0.0531376109289884,0.0650721845979177,323,0.00308641975308642
0.57,17049,15254,18844,0.0390280586246515,0.148300761717148,0.74237671675398,-0.444661560903734,16722,17951,16428,17563,17336.5,16995.5,0.438556109158443,0.616965315682442,3591,0.049541823242785,0.0666394619182952,341,0.00292397660818713
0.58,17348,15553,19143,0.0402225844473132,0.166474298081433,0.743781013261062,-0.456654256303439,16701,19143,16457,19143,17922,17800,0.442368994653174,0.617573565923823,3591,0.0521363855111379,0.0848011674102616,122,0.00813008130081301
0.59,17647,15852,19442,0.0406710955181767,0.161666917652386,0.74422578415225,-0.436444875265214,16714,19374,16454,17498,18044,16976,0.446004128586948,0.621888091280033,3591,0.0531105711497606,0.0799969165594598,1068,0.000935453695042095
0.6,17947,16152,19742,0.0592874294240736,0.394665583264136,0.734238828994226,-0.350549793132388,16152,19742,16152,19742,17947,17947,0.449562823235885,0.625344364881123,3591,0.0935460616272068,0.312843901320116,0,1
0.61,18246,16451,20041,0.0435913036567177,0.102303199017782,0.735316634691881,-0.490800348130521,16881,19435,20041,19268,18158,19654.5,0.454313408155183,0.630877990546637,3591,0.0594533907927159,0.0206718433795113,1496.5,0.000667779632721202
0.62,18545,16750,20340,0.054490516302626,0.203439961662979,0.73259701841598,-0.480022284188301,16750,20340,16750,20340,18545,18545,0.457611979296595,0.629017661479955,3591,0.083126956779609,0.121742766547926,0,1
0.63,18844,17049,20639,0.0840805686200238,0.177961655961929,0.725968786090373,-0.57606750867748,17049,20639,17049,20639,18844,18844,0.458544587862773,0.629270074776858,3591,0.147397843021517,0.0962810470838955,0,1
0.64,19143,17348,20938,0.0671103886904224,0.172973813671178,0.66809822645225,-0.649293298779242,17348,20938,18347,20938,19143,19642.5,0.460861496159548,0.618930119084378,3591,0.11053787089099,0.0912964518510699,499.5,0.001998001998002
