"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","gene_symbol","rank"
"515528",0.0114979091469709,0.0114979091469709,9.34923935639213,2.25671121049701,"Ubp1",1916
"174782",-0.0114978180433743,0.0114978180433743,7.98029379547939,3.28905651839346,"RGD1306063",1917
"178332",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Ppp2r2a",1918
"193810",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Polr3a",1919
"222792",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Golm1",1920
"229289",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Celf2",1921
"252825",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"LOC120098611",1922
"291858",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"-",1923
"343269",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Epc2",1924
"384799",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Foxp2",1925
"4389",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"LOC120099115",1926
"523556",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Myo9a",1927
"7207",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"LOC108349515",1928
"83527",0.0114974208342836,0.0114974208342836,1.7686208650194,5.72271435122336,"Traf7",1929
"245499",0.0114950320707928,0.0114950320707928,6.76404785964969,1.19077234005501,"Csnk1g3",1930
"293211",-0.0114935622176564,0.0114935622176564,5.65895388044991,0.687421080491606,"-",1931
"404793",0.0114910352261895,0.0114910352261895,6.78949198897931,1.0273313667137,"Akirin2",1932
"535085",-0.0114904766717848,0.0114904766717848,9.06270638876622,1.13247023342509,"-",1933
"108224",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"LOC120095699",1934
"140819",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"-",1935
"193809",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"Polr3a",1936
"258434",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"Tmem184c",1937
"31535",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"Slc18a2",1938
"483843",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"Ndufb4-ps1",1939
"565137",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"Thoc2",1940
"87988",-0.0114901688357737,0.0114901688357737,2.32147211859308,6.545880932467,"Ncor1",1941
"342460",0.0114829369003562,0.0114829369003562,5.65563410088057,3.43638526748327,"Mrrf",1942
"51698",-0.0114820364610248,0.0114820364610248,5.72583392396029,0.86301588467537,"-",1943
"200314",-0.0114820300715874,0.0114820300715874,2.58668741431357,1.79853385902559,"Purg",1944
"390452",-0.0114820300715874,0.0114820300715874,2.58668741431357,1.79853385902559,"Vom1r85",1945
"392202",-0.0114820300715874,0.0114820300715874,2.58668741431357,1.79853385902559,"Chmp3",1946
"467439",-0.0114820300715874,0.0114820300715874,2.58668741431357,1.79853385902559,"LOC108351377",1947
"54352",-0.0114820300715874,0.0114820300715874,2.58668741431357,1.79853385902559,"Fam53b",1948
"570203",-0.0114820300715874,0.0114820300715874,2.58668741431357,1.79853385902559,"Cdkl5",1949
"410834",-0.0114761112313948,0.0114761112313948,9.79964243557924,1.3466147792723,"Hacd4",1950
"548174",0.0114712227790805,0.0114712227790805,3.92901323209736,2.6687433711851,"Pdcl3",1951
"197043",0.0114582751442656,0.0114582751442656,4.77999678597016,1.24960486016991,"Atp13a1",1952
"172986",-0.0114564895729225,0.0114564895729225,2.52753345364965,1.36212482971112,"LOC103693231",1953
"229173",-0.0114564895729225,0.0114564895729225,2.52753345364965,1.36212482971112,"-",1954
"449596",0.011452434373319,0.011452434373319,5.18270787414999,1.40513509191391,"Atxn3",1955
"270641",-0.0114484908111813,0.0114484908111813,3.07842917127629,1.79683664642902,"-",1956
