"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.34,10678,0.196221374668481,0.120790667125765,159,10170,0.292060819641092,0.719565013262162,151,10424,0.488282194309573,0.840355680387928,-0.352073486078355,159
0.345,10835,0.262555328944381,0.100502897334805,159,10319,0.51181159220754,0.365380042099827,151,10577,0.774366921151921,0.465882939434632,0.308483981717288,159
0.35,10992,0.160517414888582,0.120783430284208,159,10469,0.32264463363589,0.551307632360359,151,10730,0.483162048524472,0.672091062644568,-0.188929014120096,159
0.355,11149,0.514190601585036,0.0761286745230478,159,10618,3.103460293921e-15,2.43054780874193e-15,151,10884,0.514190601585039,0.0761286745230502,0.438061927061988,159
0.36,11306,0.533447132187665,0.0929873582183144,159,10768,0.375760319888953,0.594750190519351,151,11037,0.909207452076618,0.687737548737666,0.221469903338952,159
0.365,11463,0.29280586841627,0.151839866572983,159,10918,0.492466137381045,0.338019190836054,151,11190,0.785272005797314,0.489859057409037,0.295412948388277,159
0.37,11620,0.110742623092051,0.0744200888605513,159,11067,0.283680672094474,0.629692181678679,151,11344,0.394423295186525,0.70411227053923,-0.309688975352705,159
0.375,11777,0.184982235250455,0.113798455769757,159,11217,0.306525723082311,0.374956626416145,151,11497,0.491507958332765,0.488755082185901,0.00275287614686393,159
0.38,11934,0.12151674615852,0.166961841824406,159,11366,0.232895172482416,0.488472257893497,151,11650,0.354411918640936,0.655434099717904,-0.301022181076968,159
0.385,12091,0.23546083063007,0.103363526367349,159,11516,0.150511465810948,0.719369421997795,151,11804,0.385972296441018,0.822732948365144,-0.436760651924125,159
0.39,12248,0.0409570967835392,0.113775164015531,159,11665,0.184825999093117,0.570361596298205,151,11956,0.225783095876657,0.684136760313736,-0.458353664437079,159
