"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank","in_treatment_leading_edge","in_control_leading_edge","in_leading_edge_union","in_remainder"
"528592","-",-0.00164433605980731,0.00164433605980731,22468,"-",0.00671723138572746,0.00671723138572746,7028,"-",14748,TRUE,TRUE,TRUE,FALSE
"205230","-",0.00916227035487846,0.00916227035487846,3566,"-",0.00090852831601694,0.00090852831601694,25932,"-",14749,TRUE,TRUE,TRUE,FALSE
"154438","Rufy3",-0.00604734168409828,0.00604734168409828,8639,"Rufy3",-0.00174563938544075,0.00174563938544075,20862,"Rufy3",14750,TRUE,TRUE,TRUE,FALSE
"351744","Golm2",0.00186911346178731,0.00186911346178731,21310,"Golm2",0.00600773041290729,0.00600773041290729,8193,"Golm2",14752,TRUE,TRUE,TRUE,FALSE
"539205","-",-0.00164433605980731,0.00164433605980731,22470,"-",0.00671723138572746,0.00671723138572746,7033,"-",14752,TRUE,TRUE,TRUE,FALSE
"219200","Larp4b",-0.00612168529984898,0.00612168529984898,8510,"Larp4b",0.00172725105150989,0.00172725105150989,20999,"Larp4b",14754,TRUE,TRUE,TRUE,FALSE
"77328","Rab5c",-0.00305567296897974,0.00305567296897974,16658,"Rab5c",-0.00384178155376702,0.00384178155376702,12849,"Rab5c",14754,TRUE,TRUE,TRUE,FALSE
"156885","Ube2k",-0.00174371559962817,0.00174371559962817,21920,"Ube2k",-0.00637820411986916,0.00637820411986916,7588,"Ube2k",14754,TRUE,TRUE,TRUE,FALSE
"63051","Ercc4",-0.00155084672813477,0.00155084672813477,22914,"Ercc4",-0.00695266437762545,0.00695266437762545,6595,"Ercc4",14754,TRUE,TRUE,TRUE,FALSE
"151388","-",0.00242839817424366,0.00242839817424366,18968,"-",0.00478582594729625,0.00478582594729625,10542,"-",14755,TRUE,TRUE,TRUE,FALSE
"96453","-",0.00238055751124215,0.00238055751124215,19144,"-",-0.00488976449356133,0.00488976449356133,10368,"-",14756,TRUE,TRUE,TRUE,FALSE
"337249","LOC103691948",0.00935447194977737,0.00935447194977737,3348,"LOC103691948",0.000864551421810897,0.000864551421810897,26173,"LOC103691948",14760,TRUE,TRUE,TRUE,FALSE
"94551","Wipf2",-0.00289092210373323,0.00289092210373323,17170,"Wipf2",-0.00401729182163058,0.00401729182163058,12350,"Wipf2",14760,TRUE,TRUE,TRUE,FALSE
"245748","-",0.00236905636111447,0.00236905636111447,19248,"-",-0.00494200960293642,0.00494200960293642,10272,"-",14760,TRUE,TRUE,TRUE,FALSE
"229624","Celf2",0.00697300184525768,0.00697300184525768,6848,"Celf2",0.00144230482402196,0.00144230482402196,22680,"Celf2",14764,TRUE,TRUE,TRUE,FALSE
"530663","Clasp2",0.0058552554756064,0.0058552554756064,8964,"Clasp2",-0.00181405142846226,0.00181405142846226,20563,"Clasp2",14764,TRUE,TRUE,TRUE,FALSE
"528486","Stag1",0.00113448874653958,0.00113448874653958,25109,"Stag1",0.00869598616375891,0.00869598616375891,4418,"Stag1",14764,TRUE,TRUE,TRUE,FALSE
"257962","Pkn1",-0.00327862343557907,0.00327862343557907,15930,"Pkn1",0.00356833680796827,0.00356833680796827,13600,"Pkn1",14765,TRUE,TRUE,TRUE,FALSE
"456526","Adi1",-0.00447106490621957,0.00447106490621957,12431,"Adi1",0.00261019080725165,0.00261019080725165,17101,"Adi1",14766,TRUE,TRUE,TRUE,FALSE
"483731","Prickle1",0.00344813268807571,0.00344813268807571,15386,"Prickle1",0.00337660611150142,0.00337660611150142,14146,"Prickle1",14766,TRUE,TRUE,TRUE,FALSE
"50316","Lamtor1",0.00324527766787424,0.00324527766787424,16030,"Lamtor1",-0.00360913910473817,0.00360913910473817,13502,"Lamtor1",14766,TRUE,TRUE,TRUE,FALSE
"133468","Dpp10",-0.00102342696742518,0.00102342696742518,25638,"Dpp10",-0.00922176815427075,0.00922176815427075,3895,"Dpp10",14766,TRUE,TRUE,TRUE,FALSE
"53317","Sgf29",0.00939470999506841,0.00939470999506841,3319,"Sgf29",0.000858205207933691,0.000858205207933691,26215,"Sgf29",14767,TRUE,TRUE,TRUE,FALSE
"45611","Akap13",0.00426446237042866,0.00426446237042866,13021,"Akap13",-0.00272270884876529,0.00272270884876529,16515,"Akap13",14768,TRUE,TRUE,TRUE,FALSE
"550704","Nrp2",-0.00362604510559551,0.00362604510559551,14919,"Nrp2",-0.00323952779675623,0.00323952779675623,14616,"Nrp2",14768,TRUE,TRUE,TRUE,FALSE
"184025","Kcnma1",-0.00358373260001944,0.00358373260001944,15007,"Kcnma1",-0.00327097211969303,0.00327097211969303,14528,"Kcnma1",14768,TRUE,TRUE,TRUE,FALSE
"205090","Pgls",0.00188297794501335,0.00188297794501335,21257,"Pgls",-0.00594654448622291,0.00594654448622291,8279,"Pgls",14768,TRUE,TRUE,TRUE,FALSE
"169263","-",0.000423063644989514,0.000423063644989514,28590,"-",0.013100769496537,0.013100769496537,947,"-",14768,TRUE,TRUE,TRUE,FALSE
"159686","Nsd2",-0.00647471565106194,0.00647471565106194,7715,"Nsd2",-0.00158188121232775,0.00158188121232775,21823,"Nsd2",14769,TRUE,TRUE,TRUE,FALSE
"309505","Stk38",0.00434255070349148,0.00434255070349148,12801,"Stk38",-0.00266807012565681,0.00266807012565681,16737,"Stk38",14769,TRUE,TRUE,TRUE,FALSE
"95873","Taco1",-0.00719692171141074,0.00719692171141074,6496,"Taco1",-0.00137889764826888,0.00137889764826888,23043,"Taco1",14770,TRUE,TRUE,TRUE,FALSE
"179654","Dgkh",-0.000378479770050239,0.000378479770050239,28768,"Dgkh",0.0135876198414949,0.0135876198414949,771,"Dgkh",14770,TRUE,TRUE,TRUE,FALSE
"95866","Dcaf7",0.00329774769680398,0.00329774769680398,15884,"Dcaf7",-0.00354952480022396,0.00354952480022396,13658,"Dcaf7",14771,TRUE,TRUE,TRUE,FALSE
"448675","-",0.00310080663387648,0.00310080663387648,16506,"-",0.00376733425194085,0.00376733425194085,13036,"-",14771,TRUE,TRUE,TRUE,FALSE
"178461","Nefm",0.00550791517061936,0.00550791517061936,9599,"Nefm",0.00194784174376818,0.00194784174376818,19945,"Nefm",14772,TRUE,TRUE,TRUE,FALSE
"248324","LOC120098235",-0.00999774274747215,0.00999774274747215,2654,"LOC120098235",-0.000718121592703273,0.000718121592703273,26892,"LOC120098235",14773,TRUE,TRUE,TRUE,FALSE
"309853","Glo1",-0.00185736626924561,0.00185736626924561,21345,"Glo1",-0.00600005774429162,0.00600005774429162,8205,"Glo1",14775,TRUE,TRUE,TRUE,FALSE
"71934","Pitpnm3",-0.00164433605980731,0.00164433605980731,22496,"Pitpnm3",0.00671723138572746,0.00671723138572746,7054,"Pitpnm3",14775,TRUE,TRUE,TRUE,FALSE
"93635","Ppp1r9b",-0.0127979342375762,0.0127979342375762,899,"Ppp1r9b",-0.000400688909846738,0.000400688909846738,28652,"Ppp1r9b",14776,TRUE,TRUE,TRUE,FALSE
"565617","Zdhhc9",-0.0046897958288635,0.0046897958288635,11858,"Zdhhc9",-0.00247273934241419,0.00247273934241419,17693,"Zdhhc9",14776,TRUE,TRUE,TRUE,FALSE
"202479","Naxd",-0.00436950747745936,0.00436950747745936,12739,"Naxd",0.00264766965643432,0.00264766965643432,16815,"Naxd",14777,TRUE,TRUE,TRUE,FALSE
