"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
11924,"569727",0.00222670683771273,8.8,18.7,8.8,9.9,0.127840909090909,1.125,2.28238238567653,2.3887627892351,0.106380403558572,0.75377180237638,0.34339739944791,18.7,2.98061863574394,2.69462718077007,0,0
11925,"502871",0.00222691669581966,9.4,77.8,9.4,68.4,0.774105930285197,7.27659574468085,2.34180580614733,4.23988686751276,1.89808106136543,2.11343174190839,0.431867950889501,77.8,4.36691299686383,2.69462718077007,0,0
11926,"243215",0.00222747470462558,125.2,7864.7,125.2,7739.5,0.493746746419786,61.8170926517572,4.83786795010711,8.95422156398052,4.11635361387341,4.14022721242438,0.521109086016708,7864.7,8.97026681343913,2.69462718077007,0,0
11927,"447508",0.00222767183441904,22.2,50.2,22.2,28,0.0568135703270839,1.26126126126126,3.14415227867226,3.36729582998647,0.22314355131421,0.81592273781945,0.337994743699996,50.2,3.93573953204546,2.69462718077007,0,0
11928,"224280",0.00222775606756605,42.2,24.7,42.2,0,0,0,3.76584049525006,0,-3.76584049525006,0,0.191295030891102,24.7,3.24649099190117,2.69462718077007,0,0
11929,"197663",0.00222788708701112,16.6,62.8,16.6,46.2,0.167658586151836,2.78313253012048,2.86789890204411,3.85439389259151,0.986494990547403,1.33055237811166,0.37762481320875,62.8,4.15575319035074,2.69462718077007,0,0
11930,"351247",0.00222806381222906,16,101.5,16,85.5,0.333984375,5.34375,2.83321334405622,4.46014441393783,1.62693106988162,1.84747007624206,0.410761168761093,101.5,4.62986279857846,2.69462718077007,0,0
11931,"405965",0.00222838402342271,251,2183.5,251,1932.5,0.0306741162838685,7.699203187251,5.52942908751142,7.56708711104735,2.03765802353593,2.16323143379383,0.398453919147045,2183.5,7.68914224839149,2.69462718077007,0,0
11932,"72302",0.00222868540769295,205,161.5,205,0,0,0,5.32787616878958,0,-5.32787616878958,0,0.126368666491725,161.5,5.09067800176979,2.69462718077007,0,0
11933,"425357",0.00222895866078747,22,123,22,101,0.208677685950413,4.59090909090909,3.13549421592915,4.62497281328427,1.48947859735512,1.7211419020141,0.399641904808658,123,4.82028156560504,2.69462718077007,0,0
11934,"471849",0.0022292852905321,40,174.5,40,134.5,0.0840625,3.3625,3.71357206670431,4.90897164031976,1.19539957361545,1.47304528752855,0.377285530321082,174.5,5.16763904290592,2.69462718077007,0,0
