"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
26504,"293393",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28023967861239,-0.000119049024281313,2.0799027953968e-06
26505,"296723",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28012167076864,-0.00011696543410713,2.08727755296907e-06
26506,"302222",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28000575020243,-0.000114874469175375,2.09465231054135e-06
26507,"303128",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27989192428854,-0.000112776129486048,2.10202706811362e-06
26508,"305367",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27978020040171,-0.000110670415039149,2.10940182568589e-06
26509,"307129",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27967058591671,-0.00010855732583467,2.11677658325819e-06
26510,"308063",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.2795630882083,-0.000106436861872626,2.12415134083046e-06
26511,"315208",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27945771465122,-0.00010430902315301,2.13152609840274e-06
26512,"315751",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27935447262024,-0.000102173809675821,2.13890085597501e-06
26513,"318202",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27925336949012,-0.000100031221441061,2.14627561354728e-06
26514,"322148",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27915441263561,-9.78812584487275e-05,2.15365037111955e-06
26515,"328496",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27905760943148,-9.57239206988223e-05,2.16102512869182e-06
26516,"336440",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27896296410173,-9.35686603927022e-05,2.14949548354921e-06
26517,"346996",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27887046826748,-9.14249297317247e-05,2.13796583840659e-06
26518,"353201",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27878011039906,-8.92927287158899e-05,2.12643619326397e-06
26519,"359217",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27869187896683,-8.71720573451977e-05,2.11490654812135e-06
26520,"366096",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27860576244115,-8.5062915619648e-05,2.10337690297873e-06
26521,"374462",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27852174929237,-8.29653035392411e-05,2.09184725783611e-06
26522,"374519",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27843982799086,-8.08792211039767e-05,2.08031761269349e-06
26523,"378250",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27835998700695,-7.88046683138549e-05,2.06878796755087e-06
26524,"379668",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27828221481101,-7.67416451688758e-05,2.05725832240825e-06
26525,"380035",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.2782064998734,-7.46901516690392e-05,2.04572867726563e-06
26526,"389491",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27813283066446,-7.26501878143453e-05,2.03419903212301e-06
26527,"389589",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.27806119565456,-7.06217536047869e-05,2.02266938698035e-06
