"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.58,17924,0.335952210750313,0.212412577850613,17924,17786,0.939682413568713,17989,0.0687548644485839,0.0445785237623976,17989,17522.5,0.162590698705767,17956,0.404707075198897,0.25699110161301,302.25,0.00329760923330585,0.678461549444274,0.147715973585886,"IOD_dominant"
0.59,18233,0.233813537833648,0.326061114756779,17485,19587,0.89595301124855,18299,0.0423169973603289,0.0657790300516267,18299,19583.5,0.130669365170277,18266,0.276130535193977,0.391840144808406,1693.25,0.000590231665928877,0.718295400003141,-0.115709609614429,"CV2_dominant"
0.6,18542,0.228428112009992,0.334247226042274,20059,19644,0.899281834827483,18610,0.0455350058461351,0.31100735764112,19190,18610,0.572973426003839,18576,0.273963117856127,0.645254583683394,497.5,0.00200601805416249,1.07731350379686,-0.371291465827268,"CV2_dominant"
0.61,18851,0.25912318108555,0.355291081010814,17469,19884,0.9927517152458,18920,0.0461126982442012,0.139255764207059,19300,18920,0.272042159227957,18886,0.305235879329751,0.494546845217873,1017.5,0.000981836033382425,0.898386812657829,-0.189310965888123,"CV2_dominant"
0.62,19160,0.247892807156077,0.338397237617798,17646,19780,0.943831992278502,19230,0.0408840595795474,0.121282418548605,19230,17724,0.224890706300517,19195,0.288776866735625,0.459679656166403,314,0.00317460317460317,0.831946961249251,-0.170902789430779,"CV2_dominant"
0.63,19469,0.155348676695735,0.355818513687223,19309.5,19817.5,0.781079496041215,19540,0.0579511294628598,0.160033045726166,19875.5,20155.5,0.340119566847084,19504,0.213299806158595,0.515851559413389,394,0.00253164556962025,0.823610470551148,-0.302551753254794,"CV2_dominant"
0.64,19778,0.359368020271125,0.574265653976857,19778,19778,2.5336595761164,19850,0.0524004134766425,0.0333533613586207,19642.5,19431,0.103267916819875,19814,0.411768433747768,0.607619015335478,105.75,0.00936768149882904,1.19098039368046,-0.19585058158771,"CV2_dominant"
0.65,20087,0.134942645772978,0.384115483542585,19189,20356.5,0.781119542939087,20160,0.047124737890966,0.264003344784234,19771.5,20160,0.494897524703558,20124,0.182067383663944,0.648118828326819,778,0.00128369704749679,0.974106911319714,-0.466051444662875,"CV2_dominant"
0.66,20396,0.145100942462454,0.380394602021898,19099,20462.5,0.796262344835741,20471,0.0774570383580464,0.301140043167307,20471,20471,1.63593325842361,20434,0.222557980820501,0.681534645189205,681.75,0.00146466495789088,1.06872301195746,-0.458976664368704,"CV2_dominant"
0.67,20705,0.237309843105644,0.403659176660426,20705,20705,2.02125100934475,20781,0.0486028460681298,0.239951965255571,20866,20781,0.46528413531035,20743,0.285912689173774,0.643611141915997,42.5,0.0229885057471264,1.1098162844576,-0.357698452742224,"CV2_dominant"
0.68,21014,0.11983979336193,0.29549009167676,19986,20743,0.615022946108176,21091,0.050231696525636,0.0923919666743377,20967.5,21064.5,0.207452630937735,21052,0.170071489887566,0.387882058351098,427,0.00233644859813084,0.591439871151726,-0.217810568463532,"CV2_dominant"
