"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","log_alpha_mu"
"158203","Slit2",278,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"158393","Med28",279,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"159752","Tacc3",280,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"160652","Tmed4",281,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"160696","-",282,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"160825","Tns3",283,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"160883","Pkd1l1",284,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"160887","Hus1",285,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"160920","-",286,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"161185","-",287,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"161556","-",288,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"162604","Sptbn1",289,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"163327","Tgfbr3",290,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"163644","-",291,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"163857","Mapk10",292,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"164178","-",293,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"164273","Hnrnpd",294,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"164871","LOC120093066",295,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"165045","Slc4a4",296,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"165267","LOC120096591",297,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"165513","-",298,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"165571","Adgrl3",299,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"165674","-",300,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"165679","-",301,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"166442","Gabrg1",302,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"168015","Ppargc1a",303,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"168269","-",304,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"169062","Kcnip4",305,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"169875","LOC120096632",306,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"170516","Mxd4",307,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"170653","Slbp",308,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"170841","Drg1",309,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"171699","-",310,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"171700","-",311,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"171901","-",312,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172009","Vstm2a",313,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172218","-",314,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172373","LOC108352861",315,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172858","LOC120096697",316,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172915","-",317,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172924","-",318,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"172958","-",319,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"173110","Ccdc88a",320,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"173973","-",321,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"175133","LOC120096929",322,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"175547","Cnih1",323,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"175584","Gch1",324,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"176799","Zmym5",325,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"177113","-",326,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"177375","-",327,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
