"percentile","rank_index","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
0.18,5684,8.33521216798244,28.8271435794277,8.89965303522675,1.78793639221625,13.9267590152622,2.84589345978904,15.9003297868785,3.76381093886666,15.1477725838267,3.26677304568038,2.31055958829998,3.2000761857362,2.77285539904202,7.1117166430105,11.0808655554731,12.1365188480118,11.8809995381463
0.19,6000,9.55731911982824,37.3002559737943,9.31078427102905,1.55898718841258,15.0579695534608,2.89020323901644,16.5282681830931,3.31624773678241,15.6554594663946,2.97831370728651,2.44801226215846,2.85731380327997,2.56970775083222,7.75179708261646,12.1677663144443,13.2120204463107,12.6771457591081
0.2,6316,9.16687175475227,35.1397694554951,9.04633937738862,1.63149856552001,16.1485925708555,2.59591478553785,16.3825900815717,3.40480142365269,15.9023932208,2.95100298830882,2.06962254910542,2.85466763158943,2.44624899012485,7.41484081186861,13.5526777853176,12.9777886579191,12.9513902324912
0.21,6632,9.32568232097316,37.3282184614282,9.82194493208438,1.55043240728095,15.2679893159922,2.540398785998,16.4081915827574,3.34394186685464,15.7551047197098,2.87977992853799,2.07608165234562,2.87053426971057,2.47406379325367,8.27151252480343,12.7275905299942,13.0642497159028,12.8753247911718
0.22,6948,9.77638350381185,37.8575524135942,7.81887710574789,1.5552697853768,13.4025034795455,2.65209784842758,16.1830738825376,3.4704396284474,14.5886716876636,3.12600882451202,2.07981121922888,2.89240951843106,2.58165598464131,6.26360732037109,10.7504056311179,12.7126342540902,11.4626628631516
0.23,7263,8.98146216118614,36.8932477137406,9.16297768490058,1.42360735625945,15.6557742769286,2.39235542193159,16.7307453760659,3.44044354614044,15.7399093065985,2.98424659625,1.95320078243207,2.97301379995035,2.40990423696697,7.73937032864113,13.263418854997,13.2903018299255,12.7556627103485
0.24,7579,10.5558500758667,45.3261398299719,8.92674688639644,1.84014543657612,14.2315574650308,2.66706985029185,16.5572184779529,3.48489093648803,14.9851829224988,3.22405133745136,2.18885444287099,2.89458497455232,2.63777722158419,7.08660144982032,11.564487614739,13.0723275414648,11.7611315850475
0.25,7895,11.4337328252696,54.7925370888679,9.06028434433988,1.25994373681763,14.8350039232812,1.93448245738024,17.062537917495,2.70929205172624,15.5186246438676,2.40552669256144,1.55770412526843,2.29511492539413,1.9170533747766,7.80034060752226,12.900521465901,14.3532458657688,13.1130979513062
0.26,8211,13.0268094832137,61.3074364250907,9.70921241888524,1.16833105660584,15.1253350432793,1.82964946754385,17.1656033312313,2.43614772961469,15.8587607087641,2.26769900839849,1.40774352463637,2.10670708593677,1.81625843858725,8.5408813622794,13.2956855757355,14.7294556016166,13.5910617003656
0.27,8527,10.2085651886252,40.97079342996,9.21239181582215,1.25930724490664,15.9119783061607,2.19349400471266,16.8342713173899,3.00564463728904,15.8544525634117,2.51870477742079,1.83467702859541,2.59981577263891,2.08350768398396,7.95308457091551,13.7184843014481,13.8286266801008,13.3357477859909
0.28,8842,12.9912356969744,56.3677293531055,8.77627346168532,1.30399144891843,13.520182513255,1.91893053656836,16.9079660507379,2.79542594474896,15.2764303701946,2.54311140993951,1.44847233329951,2.31711669540328,1.92998035892765,7.47228201276689,11.6012519766867,14.1125401059889,12.7333189602551
