"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
194,"78060",0,0,0,0,0,0,0,0,-0.109169139724691,1.7089372041046e-07
195,"78062",0,0,0,0,0,0,0,0,-0.109423008720783,1.73268038467256e-07
196,"78149",0,0,0,0,0,0,0,0,-0.109676704448836,1.75642356524051e-07
197,"78501",0,0,0,0,0,0,0,0,-0.109930224534533,1.78016674580847e-07
198,"78544",0,0,0,0,0,0,0,0,-0.110183566603555,1.80390992637643e-07
199,"79142",0,0,0,0,0,0,0,0,-0.110436728281585,1.82765310694438e-07
200,"79424",0,0,0,0,0,0,0,0,-0.110689707194304,1.85139628751234e-07
201,"79685",0,0,0,0,0,0,0,0,-0.110942500967394,1.8751394680803e-07
202,"80127",0,0,0,0,0,0,0,0,-0.111195107226538,1.89888264864825e-07
203,"80578",0,0,0,0,0,0,0,0,-0.111447523597416,1.92262582921621e-07
204,"80611",0,0,0,0,0,0,0,0,-0.111699747705712,1.94636900978417e-07
205,"80656",0,0,0,0,0,0,0,0,-0.111951777177106,1.97011219035212e-07
206,"80746",0,0,0,0,0,0,0,0,-0.112203609637282,1.99385537092008e-07
207,"81210",0,0,0,0,0,0,0,0,-0.11245524271192,2.01759855148804e-07
208,"81353",0,0,0,0,0,0,0,0,-0.112706674026704,2.04134173205599e-07
209,"82008",0,0,0,0,0,0,0,0,-0.112957901207314,2.06508491262395e-07
210,"82098",0,0,0,0,0,0,0,0,-0.113208921879433,2.08882809319191e-07
211,"82296",0,0,0,0,0,0,0,0,-0.113459733668742,2.11257127375986e-07
212,"82567",0,0,0,0,0,0,0,0,-0.113710334200924,2.13631445432782e-07
213,"82808",0,0,0,0,0,0,0,0,-0.113960721101661,2.16005763489578e-07
214,"83596",0,0,0,0,0,0,0,0,-0.114210891996635,2.18380081546373e-07
215,"83605",0,0,0,0,0,0,0,0,-0.114460844511526,2.20754399603169e-07
216,"83889",0,0,0,0,0,0,0,0,-0.114710576272018,2.23128717659964e-07
217,"83992",0,0,0,0,0,0,0,0,-0.114960084903793,2.2550303571676e-07
218,"84675",0,0,0,0,0,0,0,0,-0.115209368032532,2.27877353773556e-07
219,"85382",0,0,0,0,0,0,0,0,-0.115458423283917,2.30251671830351e-07
220,"85815",0,0,0,0,0,0,0,0,-0.11570724828363,2.32625989887147e-07
221,"85944",0,0,0,0,0,0,0,0,-0.115955840657353,2.35000307943943e-07
222,"86225",0,0,0,0,0,0,0,0,-0.116204198030768,2.37374626000738e-07
223,"86259",0,0,0,0,0,0,0,0,-0.116452318029558,2.39748944057534e-07
224,"86562",0,0,0,0,0,0,0,0,-0.116700198279403,2.4212326211433e-07
225,"87637",0,0,0,0,0,0,0,0,-0.116947836405986,2.44497580171125e-07
226,"87977",0,0,0,0,0,0,0,0,-0.117195230034989,2.46871898227921e-07
227,"88122",0,0,0,0,0,0,0,0,-0.117442376792094,2.49246216284717e-07
228,"88327",0,0,0,0,0,0,0,0,-0.117689274302982,2.51620534341512e-07
229,"88336",0,0,0,0,0,0,0,0,-0.117935920193336,2.53994852398308e-07
230,"88480",0,0,0,0,0,0,0,0,-0.118182312088838,2.56369170455104e-07
231,"88624",0,0,0,0,0,0,0,0,-0.118428447615169,2.58743488511899e-07
232,"88722",0,0,0,0,0,0,0,0,-0.118674324398012,2.61117806568695e-07
233,"88837",0,0,0,0,0,0,0,0,-0.118919940063048,2.63492124625491e-07
234,"88968",0,0,0,0,0,0,0,0,-0.11916529223596,2.65866442682286e-07
235,"88976",0,0,0,0,0,0,0,0,-0.119410378542428,2.68240760739082e-07
236,"89083",0,0,0,0,0,0,0,0,-0.119655196608137,2.70615078795878e-07
237,"89508",0,0,0,0,0,0,0,0,-0.119899744058766,2.72989396852673e-07
238,"89941",0,0,0,0,0,0,0,0,-0.120144018519998,2.75363714909469e-07
239,"90388",0,0,0,0,0,0,0,0,-0.120388017617516,2.77738032966265e-07
240,"90491",0,0,0,0,0,0,0,0,-0.120631738977001,2.8011235102306e-07
241,"91651",0,0,0,0,0,0,0,0,-0.120875180224134,2.82486669079856e-07
242,"92046",0,0,0,0,0,0,0,0,-0.121118338984599,2.84860987136652e-07
243,"92424",0,0,0,0,0,0,0,0,-0.121361212884076,2.87235305193447e-07
244,"92585",0,0,0,0,0,0,0,0,-0.121603799548248,2.89609623250243e-07
245,"92782",0,0,0,0,0,0,0,0,-0.121846096602797,2.91983941307039e-07
246,"92978",0,0,0,0,0,0,0,0,-0.122088101673405,2.94358259363834e-07
247,"93917",0,0,0,0,0,0,0,0,-0.122329812385753,2.9673257742063e-07
248,"93955",0,0,0,0,0,0,0,0,-0.122571226365524,2.99106895477426e-07
249,"93993",0,0,0,0,0,0,0,0,-0.122812341238399,3.01481213534221e-07
250,"94265",0,0,0,0,0,0,0,0,-0.123053154630061,3.03855531591017e-07
251,"94375",0,0,0,0,0,0,0,0,-0.123293664166191,3.06229849647813e-07
252,"94464",0,0,0,0,0,0,0,0,-0.123533867472472,3.08604167704608e-07
253,"94939",0,0,0,0,0,0,0,0,-0.123773762174585,3.10978485761404e-07
254,"95599",0,0,0,0,0,0,0,0,-0.124013345898212,3.133528038182e-07
255,"95976",0,0,0,0,0,0,0,0,-0.124252616269035,3.15727121874995e-07
256,"95980",0,0,0,0,0,0,0,0,-0.124491570912736,3.18101439931791e-07
257,"96153",0,0,0,0,0,0,0,0,-0.124730207454998,3.20475757988587e-07
258,"96247",0,0,0,0,0,0,0,0,-0.124968523521501,3.22850076045382e-07
259,"96871",0,0,0,0,0,0,0,0,-0.125206516737929,3.25224394102178e-07
260,"97129",0,0,0,0,0,0,0,0,-0.125444184729962,3.27598712158974e-07
261,"97235",0,0,0,0,0,0,0,0,-0.125681525123283,3.29973030215769e-07
262,"98043",0,0,0,0,0,0,0,0,-0.125918535543574,3.32347348272565e-07
