"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled"
0.215,6495,6419,6571,0.235419014675265,0.256637239793414,1.08699251404437,0.189650466439246,6419,6507,6452,6419,153,0.546872053279011,0.230458766536774
0.22,6646,6570,6722,0.153907945857906,0.669274193802134,1.10942250817299,0.533947011640756,6652,6695,6694,6572,153,0.357524027884361,0.601004379967199
0.225,6797,6721,6873,0.105346989965897,0.600561819546621,0.933198750097424,0.54947776213988,6721,6807,6757,6817,153,0.244718230551097,0.539301062749924
0.23,6948,6872,7024,0.21666360598594,0.641973879063094,1.02859954092281,0.548833828392276,6996,6955,6903,6950,153,0.503303742222378,0.576488854216184
0.235,7099,7023,7175,0.167835482423954,0.107011232049003,1.08345060461921,0.0963310143348872,7175,7069,7052,7156,153,0.389877321561592,0.096095471426694
0.24,7250,7174,7326,0.228758829545889,0.096080745488429,1.00647568212389,0.0857365233539967,7174,7326,7174,7286,153,0.531400621959226,0.0862799573086945
0.245,7401,7325,7477,0.336493660145321,0.375803982733433,1.06638792069359,0.153616589541374,7477,7325,7477,7325,153,0.781665742220848,0.337469816890452
0.25,7552,7476,7628,0.240365431966796,0.313619893467582,0.927522656166655,0.203752621497637,7529,7570,7476,7523,153,0.558362447902938,0.281628862078295
0.255,7704,7628,7780,0.286258402658286,0.577877836643557,0.876071114243417,0.590957738143135,7681,7780,7705,7756,153,0.664970587214658,0.518930976459293
0.26,7855,7779,7931,0.314551406444141,0.287692731843505,0.880228273084712,0.138407715306032,7883,7779,7800,7909,153,0.730694475725297,0.258346419933521
0.265,8006,7930,8082,0.188886855811371,0.395490522140489,0.987531933989384,0.395947290093906,7960,8017,7930,8035,153,0.43877909699634,0.355148216146849
0.27,8157,8081,8233,0.132824699199064,0.660195158141342,1.02493937380942,0.466016705916378,8159,8233,8233,8129,153,0.308548211695455,0.592851458117612
0.275,8308,8232,8384,1.55431223447522e-15,9.99200722162641e-16,0.903478295387745,1.05793650268103,8232,8383,8232,8260,153,3.35272377928121e-15,0
0.28,8459,8383,8535,0.127994898782225,0.594327892586948,1.01449009390633,0.545668229505091,8474,8383,8406,8464,153,0.297328714941858,0.533703032164172
0.285,8610,8534,8686,0.23119126518531,0.344583166176864,0.945664079055991,0.167260275929835,8534,8686,8534,8577,153,0.537051104671654,0.309433703036945
0.29,8761,8685,8837,0.102220629820592,0.120293364758867,1.06238944097826,0.0774191686238286,8691,8806,8685,8783,153,0.237455779833974,0.10802275027273
0.295,8912,8836,8988,0.0737736361791472,0.742137497795941,0.966120467861969,0.46444128409523,8836,8895,8988,8836,153,0.171374177021343,0.666435208235629
0.3,9063,8987,9139,0.14493616131924,0.760658295252554,1.08045012947849,0.609089811432332,9121,9051,8987,9028,153,0.336682813171925,0.68306677791961
0.305,9214,9138,9290,0.282913870368191,0.365761941407926,0.966331961661281,0.386953386121052,9138,9244,9260,9160,153,0.657201328460155,0.328452121487982
0.31,9365,9289,9441,0.100313203615223,0.233561432027769,1.0665297409552,0.0595027775699191,9293,9334,9441,9385,153,0.233024879947458,0.209736823771215
0.315,9516,9440,9592,0.134150655531246,0.406381966507195,1.02031093699309,0.254209994362172,9443,9551,9592,9503,153,0.311628372671149,0.364928670599116
0.32,9667,9591,9743,0.171633304342073,0.539458857099132,0.964108997403711,0.286295745820513,9743,9694,9664,9623,153,0.398699559957307,0.484430953607828
0.325,9818,9742,9894,0.156283959727835,0.25551705127312,1.03176141489805,0.168393147641712,9879,9839,9846,9803,153,0.363043444340418,0.229452843682853
0.33,9969,9893,10045,0.143740063689615,0.164093222559915,1.0469836148625,-0.015921423246995,10045,9971,10017,9910,153,0.333904310477324,0.147354770876759
0.335,10120,10044,10196,0.168213026937623,0.153434088373621,1.12489927011496,0.058304679756483,10196,10161,10123,10175,153,0.390754347334887,0.137782929631503
0.34,10271,10195,10347,0.23317094175396,0.0964348947576807,1.05019200716205,-0.00916029366311866,10218,10261,10347,10195,153,0.541649840213127,0.0865979813173198
0.345,10422,10346,10498,0.217487187291516,0.673310890772505,1.05661109957977,0.47023353591774,10348,10470,10489,10372,153,0.505216899493228,0.604629310649213
0.35,10574,10498,10650,1.11022302462516e-16,2.55351295663786e-15,0.880200126747021,1.06136268170339,10498,10539,10650,10498,153,0,1.39576345451082e-15
