"feature_id","gene_symbol","rank","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
"487007","Brd4",8974,125.639029734758,3297.65284673895,56.3482119249264,0.974027710005741,61.4353895590623,0.978487860922733,25.2043067720957,0.401739013634503,47.2905503624452,0.753321537583896,0.473064697208655,0.18469027356454,0.360481535539236,55.3741842149206,60.4569016981395,24.8025677584612,46.5372288248613
"408512","-",8974,23.6903389625408,302.194220521259,24.4601495508078,1.99408635408679,23.8983358173607,2.01908889952845,18.149787921251,1.5337815423649,21.6608267739153,1.83019256951111,0.924357218019818,0.681703539438042,0.829909053011146,22.466063196721,21.8792469178323,16.6160063788861,19.8306342044042
"420640","LOC102556004",8975,145.716874602157,2371.83193312453,30.7700386957069,0.402804901322186,26.7763275963148,0.367854169681215,26.59362853806,0.365346580100343,26.7042947858289,0.366865501612639,0.170030599846176,0.16877680505574,0.169536265811888,30.3672337943847,26.4084734266336,26.2282819579597,26.3374292842162
"284711","-",8976,14.9734731380496,58.3849185545086,7.70803268235724,1.09978101188509,11.9531921188794,1.61819002913264,17.5466090690914,2.36530018836462,14.0120391843173,1.89318929569639,0.664721673262769,1.03827675287876,0.802221306544645,6.60825167047214,10.3350020897468,15.1813088807268,12.1188498886209
"508647","Neo1",8976,4.81122756274877,33.935479465435,12.0012621181067,4.67889833023294,32.4647422308948,13.6096595868877,16.843414624564,7.11596233287303,22.9182070822114,9.64121909049632,6.33201024760706,3.0851616205997,4.34778999941135,7.3223637878738,18.855082644007,9.72745229169093,13.276987991715
"55788","Cabp4",8977,13.0708513608782,37.3699642825954,5.35745718860382,0.86631032906691,6.96627186112931,1.10664265055281,17.4149538110257,2.70541868455621,10.9356963144694,1.71401310313416,0.379950144333647,1.17933816133534,0.683635370624322,4.49114685953691,5.8596292105765,14.7095351264695,9.22168321133523
"252443","-",8979,15.3162690342924,46.7020574548631,6.07238755807787,0.790693160855941,6.38506384653867,0.83414321411959,17.5703294336564,2.29471635527746,9.79990989708525,1.28005416578816,0.286301046078566,1.0165876166575,0.50925652191285,5.28169439722193,5.55092063241908,15.2756130783789,8.51985573129709
"122474","Naa25",8980,7.63016512037817,17.9566094993434,4.81327740478917,1.4381441683228,7.47628584466142,2.02006419376746,17.0384759636456,4.5264818054771,12.0465959521989,3.21802256961739,0.717715247083671,1.97092405293849,1.31669443500863,3.37513323646636,5.45622165089396,12.5119941581685,8.82857338258152
"497548","Ccdc134",8982,13.9464774509401,60.8023471355864,9.17415954243664,1.48681126729029,14.9209692751617,2.16175814454054,17.4755442973953,2.52809796493173,16.0404506831722,2.32229780940552,0.926468301448458,1.10963821164405,1.00673813388095,7.68734827514635,12.7592111306212,14.9474463324636,13.7181528737667
"411340","Cyp2j3",8982,3.19258023798338,8.481946030877,5.59105576430163,5.99363542308039,13.2574429563204,9.09487414579083,16.7314094778678,11.2711492979178,15.3128637748644,10.3824977388268,3.52612686828859,4.61426444435206,4.16993866480659,-0.402579658778765,4.16256881052956,5.46026017995,4.93036603603751
"376486","Ret",8983,9.36512707240769,44.6778912680929,9.55926643144083,2.04533785933837,14.1819989090777,3.02869259670035,17.1585297054189,3.66435525740485,15.5626959334711,3.32355181510034,1.30078308760693,1.61861441795918,1.44821269680692,7.51392857210246,11.1533063123773,13.494174448014,12.2391441183707
"422546","-",8984,10.1073654668584,49.9359742012904,9.58199494508605,2.05124138910324,18.4048360353603,3.68805568123312,17.2098901957382,3.45160517520556,17.8588864835775,3.58002564045288,1.6230575701602,1.50483231714642,1.56904254977008,7.53075355598281,14.7167803541272,13.7582850205326,14.2788608431246
"484821","-",8985,9.60060913960458,46.2228585724907,8.07819878655835,1.48373258198889,9.85976341515299,2.09197423722036,17.17482430096,3.61584856215893,12.747470060814,2.69354161772096,0.818673409245437,1.58061057171472,1.11945709949574,6.59446620456946,7.76778917793263,13.558975738801,10.0539284430931
"121321","Fzd10",8985,81.0803466329203,714.404705254303,18.2144901047362,0.466145257845711,18.4287993096062,0.454819278085659,22.1209903750951,0.545894149341568,19.7232770878176,0.486750019183052,0.202623693556532,0.248161129184486,0.218589064105229,17.7483448468905,17.9739800315205,21.5750962257535,19.2365270686345
"485603","Prim1",8986,96.8289075322614,715.953884127084,14.6963409647166,0.30168322727851,14.3839727355799,0.297104094268825,23.210739727407,0.479420867570976,17.3840420728681,0.359070492811297,0.1278954090384,0.219053795689475,0.158878608309635,14.3946577374381,14.0868686413111,22.7313188598361,17.0249715800568
"378612","LOC120102406",8987,3.05297145268713,7.32731427788871,5.67371258107775,5.86032673478287,15.0350281623122,10.3293893109115,16.7217490025821,11.4343592501392,16.0192417910769,10.9741471437424,4.26962006173992,4.82210503135377,4.59199897815538,-0.186614153705124,4.70563885140077,5.28738975244288,5.04509464733446
