"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.72,22704,22390,22704,315,9.4,28.7,3.03846153846154,0.335746875619917,5.15896001734361,0.364938200262468,2.5679012345679,3.25836430219997,0.233297229148757
0.73,23020,22705,23020,316,15.4,43.75,3.328125,0.213945729897191,5.51190031914228,0.240838462732883,2.89757601817206,4.06770837815901,0.17552327850106
0.74,23335,23021,23335,315,15.4,53.8,4.21231155778895,0.195117353190687,5.67165642500551,0.213678690382717,3.1449676823638,4.7028550648231,0.154710490052827
0.75,23650,23336,23650,315,18,64.2,4.47328244274809,0.184948979591837,5.11803264894595,0.194806021819555,3.83999633789062,4.42615837184193,0.127023333354223
0.76,23966,23651,23966,316,19.6,63.25,4.37099251936949,0.169906625982782,5.05563708809256,0.180951986866937,3.69172180046402,4.49976691447504,0.12630495112268
0.77,24281,23967,24281,315,24,97.7,4.27794561933535,0.152785289345592,5.37130126376381,0.179924256003528,3.99411374826411,4.81693364190355,0.121363149376303
0.78,24597,24282,24597,316,19.7,73.65,3.67225666791384,0.167526384333349,4.60507137208154,0.164853233222883,3.33821758165699,4.03329533372897,0.114290553678433
0.79,24912,24598,24912,315,19,58.2,3.34375,0.150887573964497,4.04301675381905,0.185185195185185,3.02209878034054,3.66562723657321,0.120308844292933
0.8,25227,24913,25227,315,20.8,78.3,3.9481981981982,0.171769312922748,5.16778029464744,0.191124040695122,3.67192698635573,4.68979188591504,0.126850859077301
0.81,25543,25228,25543,316,20.5,76.3,3.99715909090909,0.153347180292235,4.75723044123548,0.180678218272374,3.59779332238423,4.2787269487895,0.132130749714154
0.82,25858,25544,25858,315,21.6,64.3,3.41095890410959,0.155954631379962,4.79288420821135,0.178571438571429,3.18367346938776,4.2373147202342,0.113227588969695
0.83,26173,25859,26173,315,15.2,47.3,3.375,0.18100145329634,5.07362183539319,0.217391314347826,3.08449991566875,4.66000687168869,0.139503855448934
0.84,26489,26174,26489,316,13.4,45,4.36451048951049,0.204495701585414,5.80081059324176,0.237379144573384,4,5.45078820650742,0.174617820070617
0.85,26804,26490,26804,315,8.4,28.8,7.88970588235294,0.360331632653061,8.42940623879873,0.415063442412612,4.41044679752066,5.66298071029493,0.291789781257603
0.86,27119,26805,27119,315,1.8,13.3,7,5,10.1452050615443,3.43011971535908,2.55933742898666,4.28571428571429,2.80511971535908
0.87,27435,27120,27435,316,1.6,9.8,5.96845479082321,5,9.66802328439815,2.78847624580495,2,4.2011587931255,2.0891546236506
0.88,27750,27436,27750,315,2.8,7.2,6,1.18941326530612,8.2063488205254,2.18290921589412,1,2.16666666666667,1.84957588256078
0.89,28065,27751,28065,315,1,5,5,5,8.11483171000749,5.49416526844439,0,0,4.37239165423942
0.9,28381,28066,28381,316,0.8,3.2,4,5,7.26470745664264,9.00400205010924,-0.999999999999999,-1.91708189659845,7.53114995627312
0.91,28696,28382,28696,315,0.6,1.8,3,5,6.01996684118035,4.87739397681257,-2,-1.76831613474669,3.23724704907857
0.92,29011,28697,29011,315,0.6,1.8,3,5,6.34930394812235,9.67841914077396,-2,-3.87136765630958,8.05263071711594
0.93,29327,29012,29327,316,16.6,48.4,3.88605334839224,0.201128713319647,5.49866563977392,0.227342676946318,3.4625309080946,4.70193348748512,0.160299877512873
0.94,29642,29328,29642,315,14.6,36.8,4.63636363636364,0.194006131998413,5.88136075093534,0.235066990589571,3.11111111111111,4.62341627035917,0.181589602556176
0.95,29957,29643,29957,315,8.2,20.2,3.44444444444444,0.356399583766909,5.73162302790236,0.505526230633496,2.375,4.08203659491234,0.372894120193413
0.96,30273,29958,30273,316,3.8,10.7,3.3125,0.833333333333333,6.023015953077,1.38887107993066,1.875,3.57869071240443,0.930466025286685
0.97,30588,30274,30588,315,3.2,10.5,3.86046302943288,0.423010204081633,6.31624431823573,0.730393330072199,2.28099173553719,4.26938929460812,1.02743184529918
0.98,30903,30589,30903,315,0,0,NA,NA,NA,NA,NA,NA,10
0.99,31219,30904,31219,316,0,0,NA,NA,NA,NA,NA,NA,10
1,31534,31220,31534,315,0,0,NA,NA,NA,NA,NA,NA,10
