"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_ctrl","iod_nb_trt","cv2_nb_ctrl","cv2_nb_trt","diff_emp_ctrl","diff_emp_trt","diff_nb_ctrl","diff_nb_trt","gene_symbol"
"577301",0,0.00839621156997913,31529,4416,4416,0,1.2,0,7.2,10,NA,6,NA,5,NA,13,NA,10.8333333333333,NA,1,NA,2.16666666666667,"RGD1561327"
"497257",0.00837482564539456,0.0041360796113334,4417,14269,4417,1.2,2.4,7.2,4.8,4.36867003788329,6,2,5,0.833333333333333,6.24240404545994,11.4848080909199,5.20200337121662,4.78533670454995,1,1.16666666666667,1.04040067424332,6.69947138636993,"Ep300"
"125695",0.00444754150646669,0.00839606668310404,13138,4417,4417,7.4,4.2,14.3,28.7,0.899242463715476,1.93243243243243,6.83333333333333,0.261139517896275,1.62698412698413,7.65439423149452,4.776818347605,1.03437759885061,1.13733770181071,1.67129291453616,5.20634920634921,6.62001663264391,3.63948064579428,"Rac1"
"497718",0.00837482564539456,0.000454908484278181,4418,28519,4418,1.2,0.6,7.2,1.8,10,6,3,5,5,13,7,10.8333333333333,11.6666666666667,1,-2,2.16666666666667,-4.66666666666667,"-"
"1713",0.00722323044349098,0.00839499274733123,6274,4418,4418,7.6,5.2,29.3,25.2,1.00002739303491,3.85526315789474,4.84615384615385,0.507271468144044,0.931952662721893,8.60020818706533,6.20014244378154,1.13160634040333,1.1923350853426,3.34799168975069,3.91420118343195,7.468601846662,5.00780735843894,"Hebp2"
"501309",0.00837482564539456,0,4419,31404,4419,1.2,0,7.2,0,10,6,NA,5,NA,13,NA,10.8333333333333,NA,1,NA,2.16666666666667,NA,"Mmp3"
"66337",0.00326131634915541,0.00839434066854415,18328,4419,4419,13.6,12,46.8,55.5,0.211628619006568,3.44117647058824,4.625,0.2530276816609,0.385416666666667,3.87814921848933,3.53954342807882,0.285158030771274,0.294961952339901,3.18814878892734,4.23958333333333,3.59299118771805,3.24458147573892,"Npm1"
"501324",0.00837482564539456,0.000351869683856537,4420,29132,4420,1.2,3,7.2,23,10,6,7.66666666666667,5,2.55555555555556,13,31,10.8333333333333,10.3333333333333,1,5.11111111111111,2.16666666666667,20.6666666666667,"Birc2"
"133247",0.004389104350216,0.00839426565415004,13330,4420,4420,2.4,2.8,11.3,16.7,6.08310851977356,4.70833333333333,5.96428571428571,1.96180555555556,2.13010204081633,15.5994604474565,18.032703855366,6.49977518644022,6.44025137691641,2.74652777777778,3.83418367346939,9.09968526101631,11.5924524784495,"Ptpn4"
"513835",0.00837482564539456,0.00599021857197607,4421,9251,4421,1.2,2,7.2,3.5,3.26111545522512,6,1.75,5,0.875,4.91333854627014,7.52223091045024,4.09444878855845,3.76111545522512,1,0.875,0.81888975771169,3.76111545522512,"Tmem108"
