"feature_id","gene_symbol","rank","abs_loading","mu","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"533666","Dnph1",21204,0.00238450244706741,10,0.0896300703961608,0.896300703961608,-0.109479315210664,2.30258509299405,-2.41206440820471
"565023","C1galt1c1",21205,0.00238449799515541,8.6,0.100501150918173,0.86430989789629,-0.145823896366995,2.15176220325946,-2.29758609962646
"70512","Cenpv",21206,0.00238398596820366,100.6,0.0391223830787041,3.93571173771763,1.37009173913953,4.61115225766564,-3.24106051852611
"60364","Ubtd1",21207,0.00238377432525263,9,1e-08,9e-08,-16.2234561666161,2.19722457733622,-18.4206807439524
"290001","Rad1",21208,0.00238362570498661,6.6,1.03458065327177,6.82823231159366,1.92106582772682,1.88706964903238,0.0339961786944443
"353181","Atrn",21209,0.00238319203590292,167.4,0.0912833707389235,15.2808362616958,2.72659951140936,5.12038615805537,-2.39378664664601
"210973","Plekha2",21210,0.00238294507598549,4.2,1.263190525888,5.3054002087296,1.66872520913183,1.43508452528932,0.233640683842505
"63766","Rbfox1",21211,0.00238278432129228,92,0.217951374154196,20.0515264221861,2.99830528163712,4.52178857704904,-1.52348329541192
"286931","Lhfpl2",21212,0.00238253062343929,14.8,0.0814254506235797,1.20509666922898,0.18655978715143,2.69462718077007,-2.50806739361864
"323046","Gapvd1",21213,0.00238177612826755,14.4,0.364842991600385,5.25373907904554,1.65894002863801,2.66722820658195,-1.00828817794394
"442805","LOC100361355",21214,0.00238175265900623,52.2,0.320345846421052,16.7220531831789,2.81672839815451,3.95508249488859,-1.13835409673408
"481896","Cbx6",21215,0.00238172501348118,1274,0.0736902223581533,93.8813432842873,4.54203167940503,7.14991683613211,-2.60788515672707
"27928","RGD1311595",21216,0.00238083462286707,22,0.10155185006022,2.23414070132484,0.803856680456418,3.09104245335832,-2.2871857729019
"538446","Rftn2",21217,0.00237987664782362,4.8,1.53438514649231,7.36504870316311,1.99674566267794,1.56861591791385,0.428129744764099
"68852","N4bp3",21218,0.00237981876261272,15.8,0.338904284334148,5.35468769247954,1.67797238146688,2.76000994003292,-1.08203755856604
