"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.45,13795,11956,15634,0.0447511826447287,0.0807195782543798,13795,13757.5,0.400055136860227,0.735621124689488,37.5,0.025974025974026,0.105608522608138
0.46,14102,12263,15941,0.0491810232038739,0.0885960848233257,14102,13948.5,0.40045903929539,0.734973793361476,153.5,0.00647249190938511,0.10628796730216
0.47,14408,12569,16247,0.039837200772561,0.11314267830756,14805.5,13752.5,0.39820594399558,0.728946988675319,1053,0.00094876660341556,0.133140513260489
0.48,14715,12876,16554,0.0383576338443389,0.194509945012275,16146,14715,0.394026973377969,0.730693568718053,1431,0.000698324022346369,0.279090978006057
0.49,15021,13182,16860,0.0329833154776858,0.0711529869009857,15021,15204.5,0.393236416268799,0.726731544040193,183.5,0.00542005420054201,0.0521229433809682
0.5,15328,13489,17167,0.0960113535689298,0.137810248343875,15328,15328,0.394547360382499,0.726511872465513,0,1,1.2511574830095
0.51,15635,13796,17474,0.0626118145804933,0.090993097713956,15950.5,15087.5,0.392723304403074,0.71847669952847,863,0.00115740740740741,0.123042465966236
0.52,15941,14102,17780,0.0683022570155675,0.243910080173063,17409.5,15941,0.391744309273397,0.725416261316651,1468.5,0.000680503572643756,0.408494162073354
0.53,16248,14409,18087,0.0908209737923052,0.130867192519637,16248,14827,0.391284665423333,0.724743857706235,1421,0.00070323488045007,0.232376759097394
0.54,16554,14715,18393,0.0737818655361259,0.0824114623271558,16554,16508.5,0.389415068899166,0.715265705023205,45.5,0.021505376344086,0.1424901627605
0.55,16861,15022,18700,0.061358872957323,0.0903315555763108,16861,18298.5,0.389448260612428,0.71631928548768,1437.5,0.000695168578380257,0.119724016201864
0.56,17167,15328,19006,0.041970401452825,0.183999919433305,17105,17167,0.387259482850325,0.719655228327459,62,0.0158730158730159,0.279891833278969
0.57,17474,15635,19313,0.0373680228437003,0.215510638454403,18903,17474,0.386246188498934,0.716372466175027,1429,0.000699300699300699,0.316024900665705
0.58,17780,15941,19619,0.0645907456699236,0.0832523188078616,17780,16284,0.387500318538548,0.721298388717687,1496,0.000668002672010688,0.111067587073833
0.59,18087,16248,19926,0.122960372248151,0.196298279477497,18087,18087,0.389696804904188,0.719837932587216,0,1,1.39317652488483
0.6,18394,16555,20233,0.0500325594669679,0.136404507838605,18820.5,17817.5,0.391713828400467,0.712936283831877,1003,0.00099601593625498,0.188982332224824
0.61,18700,16861,20539,0.0664126608290666,0.307896766920802,17199,18700,0.38961721936295,0.712948762646087,1501,0.00066577896138482,0.522493726487539
0.62,19007,17168,20846,0.0465399342278947,0.129295394995284,18632.5,20341.5,0.384731999625697,0.723442616797898,1709,0.000584795321637427,0.171022868741761
0.63,19313,17474,21152,0.101527827522609,0.226630878903965,18666.5,17820,0.384604022696197,0.718065967905454,846.5,0.00117994100294985,0.421331761537162
0.64,19620,17781,21459,0.0588997070443277,0.185385700513178,20177.5,21077.5,0.38301557564253,0.712708788483445,900,0.00110987791342952,0.28996897752432
0.65,19926,18087,21765,0.0546668096401836,0.206296802648466,20252,19356,0.382776290633458,0.710761195596288,896,0.00111482720178372,0.32246827892496
0.66,20233,18394,22072,0.072108252998853,0.157031033061365,20418.5,21164.5,0.384176733859378,0.710048231093216,746,0.00133868808567604,0.255982555971813
0.67,20540,18701,22379,0.0719743685190967,0.374802611801842,20363,21962.5,0.376252819200123,0.707645833527475,1599.5,0.000624804748516089,0.651604861942986
0.68,20846,19007,22685,0.0620013765425505,0.247909089125804,22193.5,21096,0.373565517667412,0.709541290420157,1097.5,0.000910332271279017,0.407699132075196
0.69,21153,19314,22992,0.0578871289744227,0.231494174996607,21181.5,21045,0.371193571075625,0.704755225818917,136.5,0.00727272727272727,0.378750074599458
