"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","alpha_gene_wise","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"108489",0.00276154780044686,0.00585588606231283,17609,10646,5.8,18,0.45352260876074,2.63043113081229,8.16340695769332,0.967147760820446,2.09966160116424,"LOC120095704"
"108499",0.00337530144411008,0.00419744688782968,15350,18610,32.4,42.8,1.18608611356989,38.4291900796644,50.7644856607912,3.64881732914427,3.92719700893374,"Rtn4r"
"108508",0.00142581620723974,0.00318117275134611,23555,23168,0.6,0.6,10,6,6,1.79175946922805,1.79175946922805,"Rtn4r"
"108512",0.000560575436242972,0.0022009496522632,27636,26662,164.2,291.4,0.11961898769074,19.6414377788196,34.8569730130817,2.97764150690772,3.55125320365049,"Dgcr6"
"108535",0.00308219135498783,0.00527010311290992,16423,13185,14.2,33.8,0.106176197769472,1.5077020083265,3.58875548460815,0.410586642848343,1.2778054807301,"Scarf2"
"108542",0.000991154993393986,0.00203474306914302,25931,27211,34.4,47.4,0.0634658695779315,2.18322591348084,3.00828221799395,0.780803559836256,1.10136922415793,"Klhl22"
"108572",0.00623258679442245,0.0110080112314062,7501,687,1,7.6,5.10834115129292,5.10834115129292,38.8233927498262,1.63087472358554,3.65902297087783,"Ccdc74a"
"108578",0.00684999863782872,0.00426761270555755,6681,18236,20.6,48.4,0.141922878293613,2.92361129284843,6.86906730941088,1.07281959626831,1.92702833419536,"Smpd4"
"108593",0.00884166345387014,0.00646793180376298,3989,8280,4.6,3.2,1.98253282888918,9.11965101289022,6.34410505244537,2.21043153722361,1.84752604353425,"LOC108352365"
"108599",0.00120020203428209,0.00702827778873621,24792,6555,5.8,11.4,0.47449348510233,2.75206221359351,5.40922573016656,1.01235052649926,1.68810596434734,"P2rx6"
"108611",0.00086163322605435,0.00251994535435489,26431,25582,37.2,91.2,0.0473236187861834,1.76043861884602,4.31591403329993,0.56556299325452,1.46230912905571,"Lztr1"
"108613",0.00198691288229755,0.0031518734820527,20991,23289,30.4,54.8,0.192150456724072,5.84137388441178,10.5298450284791,1.76496602335231,2.3542136088941,"Lztr1"
"108625",0.00205024101715446,0.00349450141256853,20705,21904,76.6,222.8,0.0150546384404366,1.15318530453744,3.35417344452928,0.142527943497173,1.21020537480376,"Aifm3"
