"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.29,8761,7553,9969,0.049778240550524,0.071612579313618,9699,8761,0.38200799922245,0.633922238708258,0.118983972002297,0.188989372049555,938,0.00106496272630458,0.309038306778156
0.3,9063,7855,10271,0.0538400845074288,0.113692563502177,9063,8962,0.385322287731462,0.635598180617472,0.131658481677984,0.343670701365521,101,0.00980392156862745,0.485133104612133
0.31,9365,8157,10573,0.0350206572988292,0.157429994279499,9365,9365,0.385640664424591,0.64358673623078,0.0729346570365154,0.50444461951116,0,1,1.57737927654768
0.32,9667,8459,10875,0.0274303558230933,0.0569920286352642,10023,9462.5,0.386797451271001,0.643633964946355,0.0492500077697556,0.135245858170715,560.5,0.00178094390026714,0.186276809840737
0.33,9969,8761,11177,0.0233998301572344,0.0760677770609908,9799.5,9969,0.390855068126158,0.651204726168765,0.0366732231635438,0.205366182146278,169.5,0.00586510263929619,0.247904507949118
0.34,10271,9063,11479,0.0404852046705681,0.068482019546359,10271,10337,0.392713404936587,0.650913380416112,0.0899861388933253,0.177481783450357,66,0.0149253731343284,0.282393295478011
0.35,10574,9366,11782,0.0436559759438387,0.0846386265854414,10710.5,10574,0.393246741745453,0.645929181055938,0.0998801603301022,0.236871669217482,136.5,0.00727272727272727,0.344024556820311
0.36,10876,9668,12084,0.0336712652510131,0.101441095518899,10876,10930.5,0.393837329164285,0.650640513994191,0.0687240367498185,0.298635671284859,54.5,0.018018018018018,0.385377726052696
0.37,11178,9970,12386,0.0330297496483516,0.0828048144729789,10257.5,10846,0.39346452023564,0.646688187894857,0.0667222622357543,0.230130780390139,588.5,0.00169635284139101,0.298549395467285
0.38,11480,10272,12688,0.0280598759635037,0.0786460189975827,11480,11339,0.395374945096566,0.649012379591041,0.0512143518448421,0.21484351199182,141,0.00704225352112676,0.273100117357789
0.39,11782,10574,12990,0.0116470354773104,0.0538321456248116,11782,11782,0.399156509732472,0.655879133461366,0,0.123630480599527,0,1,1.12363048059953
0.4,12084,10876,13292,0.0640243064543375,0.107934262183897,12084,13031.5,0.396500445487572,0.65348170190394,0.163437156825269,0.3225038278581,947.5,0.00105429625724829,0.486995280940618
0.41,12386,11178,13594,0.106111427633151,0.199061632912971,12386,12386,0.398990485209881,0.651884842536335,0.294765103014807,0.657477880564003,0,1,1.95224298357881
0.42,12688,11480,13896,0.0614283806885343,0.231624036729373,13581,12688,0.394647283292112,0.658256890284677,0.155336873657052,0.777173645787549,893,0.00111856823266219,0.933629087677263
0.43,12990,11782,14198,0.0801639474480233,0.287424088758796,12519,11998.5,0.398060525318829,0.65960226870637,0.21379902156132,0.982288414489339,520.5,0.00191754554170662,1.19800498159237
0.44,13292,12084,14500,0.0501523016444046,0.111875199230417,14190,12958.5,0.399609440566929,0.652888024843544,0.12015118595832,0.336990272966414,1231.5,0.000811359026369168,0.457952817951103
0.45,13594,12386,14802,0.0571460911825081,0.13601719154364,14347.5,13514,0.401186725671453,0.654503570257023,0.14197448939166,0.425733544508812,833.5,0.0011983223487118,0.568906356249184
0.46,13897,12689,15105,0.0711859038737494,0.260537592647889,14810,14781.5,0.39242519053954,0.655128805765918,0.185784085153574,0.883456653040761,28.5,0.0338983050847458,1.10313904327908
0.47,14199,12991,15407,0.0697498998833499,0.188209491096168,14881,14175,0.386418339404835,0.642866696249164,0.181303202415649,0.61758661742506,706,0.00141442715700141,0.80030424699771
0.48,14501,13293,15709,0.104480848596414,0.292242402911764,15444.5,15410.5,0.39401831048125,0.641930259625971,0.289677071569637,1,34,0.0285714285714286,1.31824850014107
0.49,14803,13595,16011,0.0860205599587943,0.247337482404293,15463,14776.5,0.389045342483335,0.633647435100866,0.232073896894316,0.834934519799277,686.5,0.00145454545454545,1.06846296214814
0.5,15105,13897,16313,0.0817968859047728,0.226757257643083,14874.5,14736.5,0.396764317377813,0.633539143449133,0.218894415301075,0.759283908586575,138,0.00719424460431655,0.985372568491967
