"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
113,"53630",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
114,"53725",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
115,"55374",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
116,"55460",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
117,"55583",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
118,"55993",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
119,"56261",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
120,"56449",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
121,"56809",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
122,"56875",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
123,"56878",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
124,"56975",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
125,"57374",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
126,"57412",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
127,"57482",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
128,"58526",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
129,"58912",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
130,"59138",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
131,"59575",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
132,"60384",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
133,"60463",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
134,"60806",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
135,"61185",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
136,"61343",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
137,"61785",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
138,"61884",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
139,"61982",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
140,"62844",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
141,"63502",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
142,"63659",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
143,"64569",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
144,"64861",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
145,"65344",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
146,"65774",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
147,"66239",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
148,"67948",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
149,"68944",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
150,"70033",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
151,"70034",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
152,"71548",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
153,"71643",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
154,"71789",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
155,"72056",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
156,"72121",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
157,"72569",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
158,"72742",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
159,"73097",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
160,"73206",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
161,"74404",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
162,"74809",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
163,"75099",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
164,"75822",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
165,"76416",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
166,"76972",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
167,"77549",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
168,"78431",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
169,"78496",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
170,"78634",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
171,"78860",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
172,"79142",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
173,"79918",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
174,"79977",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
175,"80255",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
176,"80350",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
177,"80542",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
178,"80584",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
179,"80595",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
