"rank","feature_id","gene_symbol","region","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","nb_support","var_fit","d1","d2"
107,"49994","Fam168a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.212894927351139,0.00023087880639505,1.67361813152867e-07
108,"50282","Clpb","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.212663964517116,0.000231047208369998,1.6944213674331e-07
109,"50824","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.212432832240957,0.000231217690668536,1.71522460333754e-07
110,"51791","Nucb2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.212201528442338,0.000231390253290665,1.73602783924198e-07
111,"53096","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.211970051040935,0.000231564896236385,1.75683107514642e-07
112,"53311","Sgf29","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.211738397956424,0.000231741619505695,1.77763431105086e-07
113,"53630","Srcap","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.211506567108482,0.000231920423098595,1.79843754695529e-07
114,"53725","Fbxl19","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.211274556416786,0.000232101307015086,1.81924078285973e-07
115,"55374","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.211042363801011,0.000232284271255167,1.84004401876417e-07
116,"55460","LOC120099964","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.210809987180834,0.000232469315818839,1.86084725466861e-07
117,"55583","Shank2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.210577424475932,0.000232656440706101,1.88165049057304e-07
118,"55993","Rbm4b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.210344673605981,0.000232845645916953,1.90245372647748e-07
119,"56261","LOC120097382","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.210111732490657,0.000233036931451396,1.92325696238192e-07
120,"56449","Nrxn2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.209878599049637,0.00023323029730943,1.94406019828636e-07
121,"56809","Hnrnpul2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.209645271202597,0.000233425743491053,1.9648634341908e-07
122,"56875","LOC120099985","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.209411746869214,0.000233623269996268,1.98566667009523e-07
123,"56878","LOC120099985","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.209178023969163,0.000233822876825073,2.00646990599967e-07
124,"56975","Asrgl1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.208944100422122,0.000234024563977468,2.02727314190411e-07
125,"57374","Osbp","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.208709974147767,0.000234228331453453,2.04807637780855e-07
126,"57412","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.208475643065774,0.000234434179253029,2.06887961371299e-07
127,"57482","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.20824110509582,0.000234642107376196,2.08968284961742e-07
128,"58526","Klf9","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.208006358157581,0.000234852115822953,2.11048608552186e-07
129,"58912","Smarca2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.207771400170733,0.0002350642045933,2.1312893214263e-07
130,"59138","Cdc37l1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.207536229054953,0.000235278373687238,2.15209255733074e-07
131,"59575","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.207300842729917,0.000235494623104767,2.17289579323518e-07
132,"60384","Pi4k2a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.207065239115302,0.000235712952845885,2.19369902913961e-07
133,"60463","Hpse2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.206829416130784,0.000235933362910594,2.21450226504405e-07
134,"60806","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.20659337169604,0.000236155853298894,2.23530550094849e-07
135,"61185","Arl3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.206357103730745,0.000236380424010784,2.25610873685293e-07
136,"61343","Taf5","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.206120610154577,0.000236607075046265,2.27691197275737e-07
137,"61785","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.205883888887211,0.000236835806405336,2.2977152086618e-07
138,"61884","Add3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.205646937848325,0.000237066618087997,2.31851844456624e-07
139,"61982","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.205409754957594,0.000237299510094249,2.33932168047068e-07
140,"62844","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.205172338134695,0.000237534482424091,2.36012491637512e-07
141,"63502","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.204934685299305,0.000237771535077524,2.38092815227956e-07
142,"63659","Abat","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.204696794371099,0.000238010668054547,2.40173138818399e-07
143,"64569","Rbfox1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.204458663269755,0.000238251881355161,2.42253462408843e-07
144,"64861","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.204220289914948,0.000238495174979365,2.44333785999287e-07
145,"65344","Tbc1d24","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.203981672226355,0.000238740548927159,2.46414109589731e-07
146,"65774","Stub1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.203742808123652,0.000238988003198544,2.48494433180175e-07
147,"66239","LOC100910596","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.203503695526516,0.00023923753779352,2.50574756770618e-07
148,"67948","Lsm11","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.203264332354624,0.000239489152712085,2.52655080361062e-07
149,"68944","Ube2b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.203024716527651,0.000239742847954242,2.54735403951506e-07
150,"70033","Shmt1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.202784845965274,0.000239998623519988,2.5681572754195e-07
151,"70034","Shmt1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.20254471858717,0.000240256479409326,2.58896051132394e-07
152,"71548","Nlgn2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.202304332313014,0.000240516415622253,2.60976374722837e-07
153,"71643","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.202063685062484,0.000240778432158771,2.63056698313281e-07
154,"71789","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.201822774755256,0.00024104252901888,2.65137021903725e-07
155,"72056","Mybbp1a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.201581599311005,0.000241308706202579,2.67217345494169e-07
156,"72121","Zzef1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.201340156041296,0.000241578788048711,2.72946346770015e-07
157,"72569","Doc2b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.201098439825241,0.000241854598896119,2.78675348045862e-07
158,"72742","Abr","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.200856444933837,0.000242136138744803,2.84404349321709e-07
159,"73097","Pipox","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.200614165638084,0.000242423407594762,2.90133350597555e-07
160,"73206","Supt6h","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.20037159620898,0.000242716405445998,2.95862351873402e-07
