"crossing_rank","crossing_type"
712,"exact_zero"
713,"exact_zero"
714,"exact_zero"
715,"exact_zero"
716,"exact_zero"
717,"exact_zero"
718,"exact_zero"
719,"exact_zero"
720,"exact_zero"
721,"exact_zero"
722,"exact_zero"
723,"exact_zero"
724,"exact_zero"
725,"exact_zero"
726,"exact_zero"
727,"exact_zero"
728,"exact_zero"
729,"exact_zero"
730,"exact_zero"
731,"exact_zero"
732,"exact_zero"
733,"exact_zero"
734,"exact_zero"
735,"exact_zero"
736,"exact_zero"
737,"exact_zero"
738,"exact_zero"
739,"exact_zero"
740,"exact_zero"
741,"exact_zero"
742,"exact_zero"
743,"exact_zero"
744,"exact_zero"
745,"exact_zero"
746,"exact_zero"
747,"exact_zero"
748,"exact_zero"
749,"exact_zero"
750,"exact_zero"
751,"exact_zero"
752,"exact_zero"
753,"exact_zero"
754,"exact_zero"
755,"exact_zero"
756,"exact_zero"
757,"exact_zero"
758,"exact_zero"
759,"exact_zero"
760,"exact_zero"
761,"exact_zero"
762,"exact_zero"
763,"exact_zero"
764,"exact_zero"
765,"exact_zero"
766,"exact_zero"
767,"exact_zero"
768,"exact_zero"
769,"exact_zero"
770,"exact_zero"
771,"exact_zero"
772,"exact_zero"
773,"exact_zero"
774,"exact_zero"
775,"exact_zero"
776,"exact_zero"
777,"exact_zero"
778,"exact_zero"
779,"exact_zero"
780,"exact_zero"
781,"exact_zero"
782,"exact_zero"
783,"exact_zero"
784,"exact_zero"
785,"exact_zero"
786,"exact_zero"
787,"exact_zero"
788,"exact_zero"
789,"exact_zero"
790,"exact_zero"
791,"exact_zero"
792,"exact_zero"
793,"exact_zero"
794,"exact_zero"
795,"exact_zero"
796,"exact_zero"
797,"exact_zero"
798,"exact_zero"
799,"exact_zero"
800,"exact_zero"
801,"exact_zero"
802,"exact_zero"
803,"exact_zero"
804,"exact_zero"
805,"exact_zero"
806,"exact_zero"
807,"exact_zero"
808,"exact_zero"
809,"exact_zero"
810,"exact_zero"
811,"exact_zero"
812,"exact_zero"
813,"exact_zero"
814,"exact_zero"
815,"exact_zero"
816,"exact_zero"
817,"exact_zero"
818,"exact_zero"
819,"exact_zero"
820,"exact_zero"
821,"exact_zero"
822,"exact_zero"
823,"exact_zero"
824,"exact_zero"
825,"exact_zero"
826,"exact_zero"
827,"exact_zero"
828,"exact_zero"
829,"exact_zero"
830,"exact_zero"
831,"exact_zero"
832,"exact_zero"
833,"exact_zero"
834,"exact_zero"
835,"exact_zero"
836,"exact_zero"
837,"exact_zero"
838,"exact_zero"
839,"exact_zero"
840,"exact_zero"
841,"exact_zero"
842,"exact_zero"
843,"exact_zero"
844,"exact_zero"
845,"exact_zero"
846,"exact_zero"
847,"exact_zero"
848,"exact_zero"
849,"exact_zero"
850,"exact_zero"
851,"exact_zero"
852,"exact_zero"
853,"exact_zero"
854,"exact_zero"
855,"exact_zero"
856,"exact_zero"
857,"exact_zero"
858,"exact_zero"
859,"exact_zero"
860,"exact_zero"
861,"exact_zero"
862,"exact_zero"
863,"exact_zero"
864,"exact_zero"
865,"exact_zero"
866,"exact_zero"
867,"exact_zero"
868,"exact_zero"
869,"exact_zero"
870,"exact_zero"
871,"exact_zero"
872,"exact_zero"
873,"exact_zero"
874,"exact_zero"
875,"exact_zero"
876,"exact_zero"
877,"exact_zero"
878,"exact_zero"
879,"exact_zero"
880,"exact_zero"
881,"exact_zero"
882,"exact_zero"
883,"exact_zero"
884,"exact_zero"
885,"exact_zero"
886,"exact_zero"
887,"exact_zero"
888,"exact_zero"
889,"exact_zero"
890,"exact_zero"
891,"exact_zero"
892,"exact_zero"
893,"exact_zero"
894,"exact_zero"
895,"exact_zero"
896,"exact_zero"
897,"exact_zero"
898,"exact_zero"
899,"exact_zero"
900,"exact_zero"
901,"exact_zero"
902,"exact_zero"
903,"exact_zero"
904,"exact_zero"
905,"exact_zero"
906,"exact_zero"
907,"exact_zero"
908,"exact_zero"
909,"exact_zero"
910,"exact_zero"
911,"exact_zero"
912,"exact_zero"
913,"exact_zero"
914,"exact_zero"
915,"exact_zero"
916,"exact_zero"
917,"exact_zero"
918,"exact_zero"
919,"exact_zero"
920,"exact_zero"
921,"exact_zero"
922,"exact_zero"
923,"exact_zero"
924,"exact_zero"
925,"exact_zero"
926,"exact_zero"
927,"exact_zero"
928,"exact_zero"
929,"exact_zero"
930,"exact_zero"
931,"exact_zero"
932,"exact_zero"
933,"exact_zero"
934,"exact_zero"
935,"exact_zero"
936,"exact_zero"
937,"exact_zero"
938,"exact_zero"
939,"exact_zero"
940,"exact_zero"
941,"exact_zero"
942,"exact_zero"
943,"exact_zero"
944,"exact_zero"
945,"exact_zero"
946,"exact_zero"
947,"exact_zero"
948,"exact_zero"
949,"exact_zero"
950,"exact_zero"
951,"exact_zero"
952,"exact_zero"
953,"exact_zero"
954,"exact_zero"
955,"exact_zero"
956,"exact_zero"
957,"exact_zero"
958,"exact_zero"
959,"exact_zero"
960,"exact_zero"
961,"exact_zero"
962,"exact_zero"
963,"exact_zero"
964,"exact_zero"
965,"exact_zero"
966,"exact_zero"
967,"exact_zero"
968,"exact_zero"
969,"exact_zero"
970,"exact_zero"
971,"exact_zero"
972,"exact_zero"
973,"exact_zero"
974,"exact_zero"
975,"exact_zero"
976,"exact_zero"
977,"exact_zero"
978,"exact_zero"
979,"exact_zero"
980,"exact_zero"
981,"exact_zero"
982,"exact_zero"
983,"exact_zero"
984,"exact_zero"
985,"exact_zero"
986,"exact_zero"
987,"exact_zero"
988,"exact_zero"
989,"exact_zero"
990,"exact_zero"
991,"exact_zero"
992,"exact_zero"
993,"exact_zero"
994,"exact_zero"
995,"exact_zero"
996,"exact_zero"
997,"exact_zero"
998,"exact_zero"
999,"exact_zero"
1000,"exact_zero"
1001,"exact_zero"
1002,"exact_zero"
1003,"exact_zero"
1004,"exact_zero"
1005,"exact_zero"
1006,"exact_zero"
1007,"exact_zero"
1008,"exact_zero"
1009,"exact_zero"
1010,"exact_zero"
1011,"exact_zero"
1012,"exact_zero"
1013,"exact_zero"
1014,"exact_zero"
1015,"exact_zero"
1016,"exact_zero"
1017,"exact_zero"
1018,"exact_zero"
1019,"exact_zero"
1020,"exact_zero"
1021,"exact_zero"
1022,"exact_zero"
1023,"exact_zero"
1024,"exact_zero"
1025,"exact_zero"
1026,"exact_zero"
1027,"exact_zero"
1028,"exact_zero"
1029,"exact_zero"
1030,"exact_zero"
1031,"exact_zero"
1032,"exact_zero"
1033,"exact_zero"
1034,"exact_zero"
1035,"exact_zero"
1036,"exact_zero"
1037,"exact_zero"
1038,"exact_zero"
1039,"exact_zero"
1040,"exact_zero"
1041,"exact_zero"
1042,"exact_zero"
1043,"exact_zero"
1044,"exact_zero"
1045,"exact_zero"
1046,"exact_zero"
1047,"exact_zero"
1048,"exact_zero"
1049,"exact_zero"
1050,"exact_zero"
1051,"exact_zero"
1052,"exact_zero"
1053,"exact_zero"
1054,"exact_zero"
1055,"exact_zero"
1056,"exact_zero"
1057,"exact_zero"
1058,"exact_zero"
1059,"exact_zero"
1060,"exact_zero"
1061,"exact_zero"
1062,"exact_zero"
1063,"exact_zero"
1064,"exact_zero"
1065,"exact_zero"
1066,"exact_zero"
1067,"exact_zero"
1068,"exact_zero"
1069,"exact_zero"
1070,"exact_zero"
1071,"exact_zero"
1072,"exact_zero"
1073,"exact_zero"
1074,"exact_zero"
1075,"exact_zero"
1076,"exact_zero"
1077,"exact_zero"
1078,"exact_zero"
1079,"exact_zero"
1080,"exact_zero"
1081,"exact_zero"
1082,"exact_zero"
1083,"exact_zero"
1084,"exact_zero"
1085,"exact_zero"
1086,"exact_zero"
1087,"exact_zero"
1088,"exact_zero"
1089,"exact_zero"
1090,"exact_zero"
1091,"exact_zero"
1092,"exact_zero"
1093,"exact_zero"
1094,"exact_zero"
1095,"exact_zero"
1096,"exact_zero"
1097,"exact_zero"
1098,"exact_zero"
1099,"exact_zero"
1100,"exact_zero"
1101,"exact_zero"
1102,"exact_zero"
1103,"exact_zero"
1104,"exact_zero"
1105,"exact_zero"
1106,"exact_zero"
1107,"exact_zero"
1108,"exact_zero"
1109,"exact_zero"
1110,"exact_zero"
1111,"exact_zero"
1112,"exact_zero"
1113,"exact_zero"
1114,"exact_zero"
1115,"exact_zero"
1116,"exact_zero"
1117,"exact_zero"
1118,"exact_zero"
1119,"exact_zero"
1120,"exact_zero"
1121,"exact_zero"
1122,"exact_zero"
1123,"exact_zero"
1124,"exact_zero"
1125,"exact_zero"
1126,"exact_zero"
1127,"exact_zero"
1128,"exact_zero"
1129,"exact_zero"
1130,"exact_zero"
1131,"exact_zero"
1132,"exact_zero"
1133,"exact_zero"
1134,"exact_zero"
1135,"exact_zero"
1136,"exact_zero"
1137,"exact_zero"
1138,"exact_zero"
1139,"exact_zero"
1140,"exact_zero"
1141,"exact_zero"
1142,"exact_zero"
1143,"exact_zero"
1144,"exact_zero"
1145,"exact_zero"
1146,"exact_zero"
1147,"exact_zero"
1148,"exact_zero"
1149,"exact_zero"
1150,"exact_zero"
1151,"exact_zero"
1152,"exact_zero"
1153,"exact_zero"
1154,"exact_zero"
1155,"exact_zero"
1156,"exact_zero"
1157,"exact_zero"
1158,"exact_zero"
1159,"exact_zero"
1160,"exact_zero"
1161,"exact_zero"
1162,"exact_zero"
1163,"exact_zero"
1164,"exact_zero"
1165,"exact_zero"
1166,"exact_zero"
1167,"exact_zero"
1168,"exact_zero"
1169,"exact_zero"
1170,"exact_zero"
1171,"exact_zero"
1172,"exact_zero"
1173,"exact_zero"
1174,"exact_zero"
1175,"exact_zero"
1176,"exact_zero"
1177,"exact_zero"
1178,"exact_zero"
1179,"exact_zero"
1180,"exact_zero"
1181,"exact_zero"
1182,"exact_zero"
1183,"exact_zero"
1184,"exact_zero"
1185,"exact_zero"
1186,"exact_zero"
1187,"exact_zero"
1188,"exact_zero"
1189,"exact_zero"
1190,"exact_zero"
1191,"exact_zero"
1192,"exact_zero"
1193,"exact_zero"
1194,"exact_zero"
1195,"exact_zero"
1196,"exact_zero"
1197,"exact_zero"
1198,"exact_zero"
1199,"exact_zero"
1200,"exact_zero"
1201,"exact_zero"
1202,"exact_zero"
1203,"exact_zero"
1204,"exact_zero"
1205,"exact_zero"
1206,"exact_zero"
1207,"exact_zero"
1208,"exact_zero"
1209,"exact_zero"
1210,"exact_zero"
1211,"exact_zero"
1212,"exact_zero"
1213,"exact_zero"
1214,"exact_zero"
1215,"exact_zero"
1216,"exact_zero"
1217,"exact_zero"
1218,"exact_zero"
1219,"exact_zero"
1220,"exact_zero"
1221,"exact_zero"
1222,"exact_zero"
1223,"exact_zero"
1224,"exact_zero"
1225,"exact_zero"
1226,"exact_zero"
1227,"exact_zero"
1228,"exact_zero"
1229,"exact_zero"
1230,"exact_zero"
1231,"exact_zero"
1232,"exact_zero"
1233,"exact_zero"
1234,"exact_zero"
1235,"exact_zero"
1236,"exact_zero"
1237,"exact_zero"
1238,"exact_zero"
1239,"exact_zero"
1240,"exact_zero"
1241,"exact_zero"
1242,"exact_zero"
1243,"exact_zero"
1244,"exact_zero"
1245,"exact_zero"
1246,"exact_zero"
1247,"exact_zero"
1248,"exact_zero"
1249,"exact_zero"
1250,"exact_zero"
1251,"exact_zero"
1252,"exact_zero"
1253,"exact_zero"
1254,"exact_zero"
1255,"exact_zero"
1256,"exact_zero"
1257,"exact_zero"
1258,"exact_zero"
1259,"exact_zero"
1260,"exact_zero"
1261,"exact_zero"
1262,"exact_zero"
1263,"exact_zero"
1264,"exact_zero"
1265,"exact_zero"
1266,"exact_zero"
1267,"exact_zero"
1268,"exact_zero"
1269,"exact_zero"
1270,"exact_zero"
1271,"exact_zero"
1272,"exact_zero"
1273,"exact_zero"
1274,"exact_zero"
1275,"exact_zero"
1276,"exact_zero"
1277,"exact_zero"
1278,"exact_zero"
1279,"exact_zero"
1280,"exact_zero"
1281,"exact_zero"
1282,"exact_zero"
1283,"exact_zero"
