"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
26439,"163194",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.068852299835,-0.000173138215701063,9.28187851893623e-07
26440,"212805",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.0686796252397,-0.000172211448419527,9.25346711178729e-07
26441,"227083",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06850787599111,-0.000171287522278706,9.22505570463834e-07
26442,"245048",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06833704924809,-0.000170366437278599,9.19664429748939e-07
26443,"296992",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06816714216951,-0.000169448193419208,9.16823289034045e-07
26444,"447797",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06799815191421,-0.000168532790700532,9.1398214831915e-07
26445,"562727",6.64982603308571,20.0759191395031,2.03468290680676,2.6690385881309,1.10493035017773,0.63435568132414,0.00790747012482792,20.0759191395031,3.04813111572472,3.06783007564106,-0.00016762022912257,9.11141007604255e-07
26446,"238781",2.78758825100808,4.00087636292994,1.33172947116023,0.794479243250903,0.361336632015953,-0.537250227909324,0.00791057488324665,4.00087636292994,1.60961316966164,3.06766291050892,-0.000166710508685324,9.08299866889361e-07
26447,"284750",2.78758825100808,4.00087636292994,1.33172947116023,0.794479243250903,0.361336632015953,-0.537250227909324,0.00791057488324665,4.00087636292994,1.60961316966164,3.06749665367664,-0.000165803629388792,9.05458726174466e-07
26448,"477335",3.93064317768129,6.68442152246885,1.59546944154949,1.32276289134585,0.530976602213887,-0.27270655020364,0.00791110129262022,6.68442152246885,2.0391951005684,3.06733130230309,-0.000164899591232975,9.02617585459571e-07
26449,"2500",8.3001402866126,38.5737216788643,2.23002948462744,3.4427736961636,1.53629884244821,1.21274421153616,0.00791187306005641,38.5737216788643,3.67816530401643,3.06716685354713,-0.000163998394217873,8.99776444744677e-07
26450,"492959",12.5480068341295,83.1734947001412,2.60623943939365,4.27145098640454,1.89136688878907,1.66521154701089,0.00791369298869309,83.1734947001412,4.43288008190703,3.06700330456761,-0.000163100038343486,8.96935304029782e-07
26451,"312725",10.236805745328,73.0596857490784,2.41919461771823,4.15611174681013,1.96528708807055,1.7369171290919,0.0079140549786434,73.0596857490784,4.30487133228282,3.06684065252339,-0.000162204523609814,8.94094163314888e-07
26452,"331287",2.98487041857768,17.1448687488844,1.38250479441804,2.71866027007614,1.74814259548689,1.3361554756581,0.00791494274632239,17.1448687488844,2.89838780717976,3.06667889457334,-0.000161311850016857,8.91253022599993e-07
26453,"505386",7.70535769052109,32.436180869462,2.16393866261389,3.247689618745,1.43735860239773,1.08375095613111,0.00791509327639137,32.436180869462,3.50963857324512,3.06651802787631,-0.000160422017564614,8.88411881885098e-07
26454,"395392",103.019855198688,5375.11780551153,4.64458179629135,8.57037331518059,3.95461403148876,3.92579151888924,0.00791526433978428,5375.11780551153,8.58972179519049,3.06635804959117,-0.000159535026253087,8.85570741170204e-07
