"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score"
0.3,9271,0.0116200470526525,0.170786168786161,9267,9271,0.552006463699421,9305,0.0533951846411843,0.122545802718666,9305,9305,1.26309090739293,9288,0.0650152316938368,0.293331971504828,2,0.333333333333333,0.649623727230535
0.31,9580,0.0336400388096958,0.176079905938494,8180,9580,0.397345700072684,9615,0.0602404136490486,0.0805540181949331,9615,9618.5,0.398738073598537,9598,0.0938804524587444,0.256633924133427,701.75,0.00142298114549982,0.290325148507624
0.32,9889,0.0352366700730826,0.12861835530926,9889,9825,0.295210171107653,9925,0.0382465278754511,0.122084510647919,9857,9925,0.254793467603374,9907,0.0734831979485337,0.250702865957179,2,0.333333333333333,0.599432767813817
0.33,10198,0.0159215246098093,0.123186682106715,10873.5,10057,0.239927393191906,10235,0.0353224168243664,0.110023801283066,9695.5,10235,0.210270001018508,10216,0.0512439414341757,0.233210483389781,138.5,0.00716845878136201,0.233818508765321
0.34,10507,0.0134078604784665,0.192338191346105,9079,10507,0.409324186149801,10545,0.0330661160426647,0.152426229755796,10212.5,10545,0.305519053129964,10526,0.0464739765211313,0.344764421101902,880.25,0.00113475177304965,0.371877288367883
0.35,10816,0.0403103210836483,0.0979580746969737,10816,10509,0.213368883436954,10856,0.0651253906722429,0.0992036443891162,10856,11082,0.230740190427966,10836,0.105435711755891,0.19716171908609,40.5,0.0240963855421687,0.242787230713874
0.36,11125,0.0484210359300547,0.0804612173714121,11125,10666.5,0.179944478866655,11166,0.0654090075925118,0.104232894292691,11166,11176.5,0.325243242279932,11146,0.113830043522566,0.184694111664103,224,0.00444444444444444,0.212795102919417
0.37,11434,0.0290417674714975,0.0837326073463456,11758.5,11434,0.161463340323418,11476,0.0506624457249517,0.112358430937469,11476,11058.5,0.238174435622897,11455,0.0797042131964492,0.196091038283814,371,0.00268817204301075,0.201095553175597
0.38,11743,0.049782568772066,0.0643904018235732,11743,11768,0.177846767782467,11786,0.0628264880090839,0.102779835059994,11786,11786,1.23124641897156,11764,0.11260905678115,0.167170236883567,12.5,0.0740740740740741,0.258344751459187
0.39,12052,0.0646465495879898,0.0643617666545853,12052,11979,0.173984585121671,12096,0.0549230251200732,0.216744563132699,13547,12096,0.482210508449707,12074,0.119569574708063,0.281106329787285,762,0.00131061598951507,0.341426512476904
0.4,12361,0.0395270182335211,0.0818428201063206,12542,11835,0.169987090988048,12406,0.0465629902379652,0.111612611422535,11792.5,12504.5,0.229594588750572,12384,0.0860900084714863,0.193455431528855,2.5,0.285714285714286,0.485316871798317
0.41,12670,0.0380846846220155,0.110807478463031,12597,12670,0.252706244948724,12717,0.0301926573161648,0.139037728936404,13692,12717,0.268688924850761,12694,0.0682773419381802,0.249845207399435,451,0.00221238938053097,0.263360059407935
0.42,12979,0.0805025298213403,0.037343888083548,12979,12992,0.186682634316843,13027,0.0448578860022592,0.116498443484616,14480,12726.5,0.237531730153895,13003,0.1253604158236,0.153842331568164,870.25,0.00114777618364419,0.177134731874585
0.43,13288,0.0411432920414577,0.0853258307019354,13461.5,13288,0.185344684900558,13337,0.0411362416395775,0.102115681341435,13634,12809,0.199817062666287,13312,0.0822795336810352,0.18744151204337,499.25,0.00199900049975012,0.190851025609723
0.44,13597,0.0519118220745445,0.116993704280671,14964.5,14081,0.275526118704648,13647,0.0415219156335942,0.111985176438055,14574,12960,0.222434910880923,13622,0.0934337377081387,0.228978880718727,1248.75,0.000800160032006401,0.252786153984126
0.45,13906,0.0641296238914246,0.08953735371955,13906,13946,0.247290008040233,13957,0.0574015375598654,0.0703734384432422,13957,13496.5,0.15124007469141,13932,0.12153116145129,0.159910792162792,210.25,0.00473372781065089,0.185941782876202
0.46,14215,0.0509044690325303,0.0959297436107691,14215,13869.5,0.222999056695509,14267,0.0643530479963771,0.0791820563228769,14267,14495.5,0.183623440680509,14241,0.115257517028907,0.175111799933646,58.5,0.0168067226890756,0.213526288627774
0.47,14524,0.0286429564483561,0.116943627392898,13645,14524,0.242284891886895,14578,0.0594121830737298,0.0744001557186388,15268.5,14516,0.162528289316059,14551,0.0880551395220859,0.191343783111537,63.25,0.0155642023346304,0.213813878811908
0.48,14833,0.0413040725436007,0.135212661532429,16301,15401,0.306116733796715,14888,0.0400055315746178,0.079322093017297,15274.5,14596,0.146131926788623,14860,0.0813096041182185,0.214534754549726,789.25,0.00126542233470421,0.225251622227033
0.49,15142,0.0327811545065649,0.140633307505132,15533.5,15530,0.528697560602573,15198,0.039281587324676,0.051822957371657,15323,15621.5,0.0838346429887938,15170,0.0720627418312409,0.192456264876789,147.5,0.00673400673400673,0.194729551047176
0.5,15452,0.0280992574769746,0.111143945660104,15452,15415.5,0.252490124085806,15508,0.0766243602261764,0.0514852707913543,15508,15602.5,0.143761258953925,15480,0.104723617703151,0.162629216451459,29,0.0333333333333333,0.205814293377248
0.51,15761,0.0148611275125457,0.16129731329156,16277.5,15761,0.334745107887039,15818,0.0348369071674439,0.174868618821416,15561.5,15818,0.360462218365932,15790,0.0496980346799896,0.336165932112976,130,0.00763358778625954,0.369363961578689
0.52,16070,0.0333727258382735,0.119630605240096,17355,16070,0.255400096328362,16128,0.0601194669961418,0.119996385383598,16128,16300.5,0.272648462989365,16099,0.0934921928344153,0.239626990623694,556.25,0.00179452669358457,0.267911219416376
0.53,16379,0.0402323660850084,0.174462047346681,15650.5,16379,0.403327236699703,16438,0.0272050762235241,0.115581891923035,16438,16284.5,0.216006695486944,16408,0.0674374423085324,0.290043939269717,287.5,0.00346620450606586,0.317182431087414
0.54,16688,0.0683274732550235,0.16432130616643,18129,17206.5,0.417587712221455,16749,0.0221788628514342,0.110443552386572,18008.5,16264,0.191101449239114,16718,0.0905063361064577,0.274764858553002,1333.5,0.000749344323716748,0.311165421765674
0.55,16997,0.145076062597241,0.270699758524851,16997,16997,1.79264943512748,17059,0.0216474810580002,0.156693728110996,18590.5,17059,0.296588966591604,17028,0.166723543655242,0.427393486635848,765.75,0.0013042060645582,0.56953770384992
0.56,17306,0.0469144103784232,0.110559472349194,17861,16823,0.252101366111541,17369,0.017086841038531,0.117521424267128,17904,17369,0.20133723724284,17338,0.0640012514169542,0.228080896616321,786.5,0.00126984126984127,0.230487207666109
0.57,17615,0.0554227219286116,0.115899704833928,17977.5,16983,0.277652742816187,17679,0.0474531435037794,0.0759655164122695,17679,17828,0.154305546395892,17647,0.102875865432391,0.191865221246197,422.75,0.0023598820058997,0.212166330190614
0.58,17924,0.0595104314556716,0.0530768857827985,18018,18685.5,0.126342810869186,17989,0.0344524699920339,0.160155165076342,19250.5,18209,0.323210812615925,17956,0.0939629014477056,0.213232050859141,187,0.00531914893617021,0.236859506855059
0.59,18233,0.0588133374039425,0.0488339123996423,17952,17670.5,0.116749047251071,18299,0.0631144885554834,0.130644419184612,18299,18177,0.303754545549513,18266,0.121927825959426,0.179478331584254,201.75,0.00493218249075216,0.212319649951986
0.6,18542,0.0679372840236148,0.0958121938896842,19928.5,19836.5,0.254815663195154,18610,0.0243256249973828,0.144646200668674,17912,18112,0.277097597878361,18576,0.0922629090209976,0.240458394558358,54,0.0181818181818182,0.2844971500869
0.61,18851,0.0947968115522879,0.429717540484481,20131.5,18851,1.12083024538118,18920,0.0318734188178597,0.128377388116953,19023,18269.5,0.246929345619894,18886,0.126670230370148,0.558094928601435,1017,0.000982318271119843,0.712770604199912
0.62,19160,0.0595263907396663,0.109814265329144,19899.5,20026,0.275064490586025,19230,0.055998696578858,0.103726832972882,19230,18901.5,0.226660512000482,19195,0.115525087318524,0.213541098302026,101,0.00980392156862745,0.257563040824459
0.63,19469,0.0698589729538814,0.115962431166605,20858.5,19922,0.298421114500351,19540,0.0277136354737536,0.0941815972699838,19968.5,18968,0.162136534416667,19504,0.0975726084276349,0.210144028436589,968.5,0.00103145951521403,0.231132969481259
0.64,19778,0.0572256181239947,0.110941927176713,19875,19940.5,0.28181323809675,19850,0.0263497282626267,0.0978086698541525,19915.5,18952.5,0.168544977173138,19814,0.0835753463866213,0.208750597030865,448.75,0.00222345747637576,0.220218299056174
0.65,20087,0.0559773232964215,0.110561062687548,19897.5,19960.5,0.279668223287134,20160,0.0599771923446637,0.280149081181005,20160,20160,1.63432122326496,20124,0.115954515641085,0.390710143868554,31.5,0.0307692307692308,0.513244332083122
0.66,20396,0.062489076030479,0.227111193533978,21842.5,20396,0.566422431393747,20471,0.0391371195424091,0.21606052865849,21473,20471,0.45830314432027,20434,0.101626195572888,0.443171722192467,1224.25,0.000816159967353601,0.54219399775592
0.67,20705,0.0608800619427663,0.219222362571411,19955.5,21091,0.544528429875582,20781,0.0297242482619108,0.125833809275597,21171,21313,0.243674967980572,20743,0.0906043102046771,0.345056171847008,638.75,0.00156311059007425,0.4050489985975
0.68,21014,0.0807920000012028,0.263632217101956,21014,22198,0.684257934454604,21091,0.0409595789896703,0.137969208616706,21804.5,21829,0.319872684662978,21052,0.121751578990873,0.401601425718662,604.25,0.00165220983064849,0.502787412066467
0.69,21323,0.0608644149150291,0.223383757773762,20930,22000,0.555000736483156,21401,0.0640635034821304,0.183379430166372,20039.5,20056.5,0.473597935924009,21362,0.124927918397159,0.406763187940135,543.5,0.00183654729109275,0.512129912984147
0.7,21632,0.112487865173603,0.23930069507683,22929,22998,0.681769522489786,21711,0.0456356989719682,0.143627699281735,22700.5,20947.5,0.300924598410263,21672,0.158123564145571,0.382928394358565,842,0.00118623962040332,0.504285098290559
0.71,21941,0.0896060278257375,0.237332842801623,22782,21971.5,0.631208371431716,22021,0.0350212619616578,0.118442956242719,22492.5,22021,0.229430945055175,21981,0.124627289787395,0.355775799044342,641,0.00155763239875389,0.444172393419336
0.72,22250,0.0809748952006871,0.202818676143732,21869,21965,0.541405037131105,22332,0.0405362825887086,0.120867948960052,21078.5,21394.5,0.243947326340414,22291,0.121511177789396,0.323686625103784,206,0.00483091787439614,0.40270572673396
0.73,22559,0.154437998101254,0.213941771298802,23309,21645.5,0.664172766028138,22642,0.0320359320522161,0.153288212160843,22591.5,22642,0.322438928396877,22600,0.18647393015347,0.367229983459645,806.5,0.00123839009287926,0.504354804852781
0.74,22868,0.215918525168218,0.210889267213717,23466.5,23080,0.746006633452321,22952,0.0484675990616051,0.125966964340785,24340.5,22952,0.264595290773074,22910,0.264386124229824,0.336856231554502,887.5,0.00112549240292628,0.521183299852162
0.75,23177,0.15634644263887,0.221735449895071,23523.5,23084.5,0.688115243896758,23262,0.0492284572157465,0.0878181165327841,23262,22611.5,0.178928933809426,23220,0.205574899854617,0.309553566427855,544.75,0.00183234081539166,0.442646011298525
0.76,23486,0.166952889993288,0.247364543091082,23476.5,22087.5,0.765961692563372,23572,0.0397888514159431,0.187814537325136,24298.5,24236.5,0.409273640240902,23529,0.206741741409231,0.435179080416218,725.5,0.00137646249139711,0.609252828943533
0.77,23795,0.162770111135795,0.224413473210944,23499.5,23062.5,0.703988247974138,23882,0.0590791420683228,0.166946405680079,23882,23882,1.37316910543025,23838,0.221849253204118,0.391359878891023,218.5,0.00455580865603645,0.565534939584673
0.78,24104,0.184402709399081,0.27587909173097,23484.5,22884,0.863285009241916,24192,0.0936651067859124,0.2632550542715,24192,24192,1.64386639668584,24148,0.278067816184994,0.539134146002469,300.25,0.0033195020746888,0.801030099963066
0.79,24413,0.204669689035366,0.33499289989965,23642,24413,1.04008033066228,24503,0.0416207996681584,0.119184059606459,24503,25846.5,0.239226826627297,24458,0.246290488703525,0.454176959506109,1057.25,0.000944956295771321,0.662954242578323
0.8,24722,0.124002295946796,0.204770612427968,25184,26019,0.598435317844146,24813,0.0407513918529596,0.0767494046676471,26251.5,23842.5,0.140239389107663,24768,0.164753687799756,0.281520017095615,787,0.00126903553299492,0.375062264752339
0.81,25031,0.133361396104742,0.208113592705963,25170,26144.5,0.619973588419681,25123,0.154891117774289,0.466250061269795,25123,25123,2.19768496925643,25077,0.288252513879031,0.674363653975758,487.25,0.00204813108038914,0.986139954826041
0.82,25340,0.149317560513369,0.221570018008544,24058.5,26189,0.675891557123402,25433,0.0534303062957616,0.122783608823468,25433,25433,1.26368718942536,25386,0.202747866809131,0.344353626832012,1065.25,0.000937866354044549,0.485720442968459
0.83,25649,0.133174107336888,0.230961622474174,24208.5,26217.5,0.67650414594193,25743,0.0393027383474958,0.157218408238004,25168.5,25743,0.324205566737859,25696,0.172476845684384,0.388180030712177,1291.75,0.0007735447689035,0.521344659344159
0.84,25959,0.114648349889793,0.228322617406969,25143.5,26212,0.643950563927626,26053,0.0358058932586167,0.159203148167042,26053,26663.5,0.323643020691197,26006,0.15045424314841,0.38752576557401,839.5,0.00118976799524093,0.504747797751127
0.85,26268,0.156829922531767,0.28412281575426,25039.5,25634.5,0.844735855231563,26364,0.08043885058665,0.370316508067275,27764,26364,0.871372928336612,26316,0.237268773118416,0.654439323821535,402.5,0.00247831474597274,0.922827095339942
